 ,Char. Length,Eucl. Length,File Name
1,345.1540,330.2760,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
2,251.3500,229.5060,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
3,241.0190,156.5180,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
4,177.3680,155.1160,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
5,171.6220,156.9840,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
6,168.5510,154.6160,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
7,157.9120,147.4620,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
8,157.3800,148.3850,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
9,153.2840,145.4960,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
10,151.5510,142.4110,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
11,151.3260,71.1970,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
12,149.8820,138.5780,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
13,149.2670,138.1920,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
14,147.6400,136.6240,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
15,146.4800,122.6420,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
16,144.3140,141.0140,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
17,142.5270,133.0340,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
18,141.4090,132.6080,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
19,135.0240,125.2400,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
20,133.8940,125.8770,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
21,133.8230,126.2460,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
22,133.0830,123.7620,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
23,131.5270,120.2040,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
24,130.4970,118.6630,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
25,129.4090,120.9670,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
26,128.5690,108.6000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
27,128.3550,120.2210,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
28,126.6980,119.5200,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
29,126.2670,114.5860,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
30,126.0240,116.6190,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
31,125.1420,121.0660,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
32,123.3090,119.5200,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
33,118.9120,109.4170,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
34,118.6810,109.7130,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
35,118.5100,110.3180,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
36,113.1960,105.3940,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
37,111.7110,103.8320,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
38,111.1540,92.0220,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
39,109.6270,101.9660,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
40,107.9710,103.3100,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
41,103.4560,96.5190,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
42,99.9830,87.8640,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
43,97.7820,92.4550,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
44,97.0540,89.8890,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
45,95.4260,88.2550,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
46,94.3550,85.7030,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
47,93.4260,83.1930,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
48,92.5270,85.1470,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
49,92.2130,86.7010,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
50,91.6980,45.0110,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
51,91.0830,79.8810,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
52,90.3260,83.6300,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
53,89.8410,80.4980,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
54,89.4850,87.2070,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
55,88.6400,82.9280,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
56,88.5270,82.2800,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
57,87.4560,80.8950,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
58,87.3140,84.0000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
59,86.2840,79.2460,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
60,86.1420,82.2190,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
61,84.4260,74.4310,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
62,84.1420,80.0250,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
63,84.0540,78.6450,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
64,83.6980,75.0600,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
65,82.7700,76.5510,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
66,81.5390,79.2460,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
67,81.4560,75.7100,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
68,81.1540,73.8780,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
69,80.9120,72.1800,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
70,80.6270,75.7100,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
71,80.5980,56.0090,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
72,79.0830,71.8680,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
73,78.7400,71.4210,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
74,78.5980,70.2350,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
75,77.6690,67.4170,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
76,77.4970,69.3540,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
77,77.1420,73.0000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
78,76.4560,71.3090,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
79,75.7990,71.0210,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
80,75.7400,71.0210,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
81,74.9120,65.8030,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
82,74.7280,69.5840,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
83,74.3260,68.6000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
84,73.8110,70.0070,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
85,73.7400,68.6000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
86,73.6690,67.7420,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
87,73.2840,66.9400,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
88,72.1840,64.8850,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
89,72.0830,66.0300,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
90,71.6270,66.2190,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
91,71.1130,65.7880,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
92,70.9830,67.3570,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
93,70.5690,67.2010,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
94,70.3550,65.0000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
95,69.7400,65.2990,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
96,69.3850,64.6300,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
97,68.3850,62.8010,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
98,68.0420,63.3250,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
99,68.0120,63.0630,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
100,67.4560,62.6420,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
101,66.5270,58.3100,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
102,65.4970,61.8550,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
103,64.8410,58.8980,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
104,64.6270,60.1660,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
105,64.0830,60.2160,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
106,64.0120,58.5230,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
107,64.0120,59.9420,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
108,63.6980,56.7980,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
109,63.5560,60.0170,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
110,63.0710,61.0740,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
111,62.6270,58.2410,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
112,62.2130,57.9740,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
113,61.4970,58.4120,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
114,61.4850,59.1350,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
115,60.2130,56.0450,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
116,59.7700,53.4130,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
117,59.6690,56.2230,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
118,59.4560,55.0270,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
119,59.3550,54.5890,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
120,58.6980,54.2310,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
121,58.0710,55.1450,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
122,57.9710,52.0100,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
123,57.6980,53.3100,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
124,57.2840,52.3930,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
125,56.9120,55.3170,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
126,56.1420,52.9530,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
127,55.3140,52.6120,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
128,55.0420,49.2440,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
129,54.8280,54.0000,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
130,53.5270,47.8020,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
131,53.4140,53.0090,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
132,53.2130,48.7650,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
133,53.1840,49.6490,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
134,53.1130,39.2940,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
135,53.0710,51.0880,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
136,52.4560,48.4660,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
137,52.4560,45.6180,Gel-glu ES 221023_LM_01_segmented_Intersections2.csv
