 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
1,2529,80.5074,39.9966,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
2,326,24.8474,16.7050,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
3,2318,87.7073,33.6502,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
4,8179,109.8514,94.7992,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
5,4214,79.3883,67.5847,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
6,2678,138.9595,24.5376,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
7,68,9.8216,8.8153,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
8,1953,105.8736,23.4869,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
9,7358,121.7682,76.9371,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
10,2062,94.2671,27.8509,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
11,3331,110.7825,38.2837,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
12,863,47.8642,22.9567,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
13,1946,65.2861,37.9518,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
14,7058,111.8072,80.3752,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
15,22,5.5671,5.0316,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
16,922,43.6683,26.8828,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
17,2182,85.5186,32.4866,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
18,4016,93.7316,54.5529,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
19,442,26.5532,21.1941,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
20,466,43.7627,13.5579,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
21,2556,65.6856,49.5451,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
22,2505,82.2840,38.7617,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
23,60,9.1470,8.3518,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
24,795,51.4780,19.6632,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
25,5322,96.1123,70.5027,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
26,5986,104.3066,73.0693,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
27,571,36.1542,20.1089,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
28,2855,64.4828,56.3731,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
29,4185,93.6411,56.9035,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
30,12802,145.2378,112.2298,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
31,2105,66.9444,40.0357,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
32,74,18.5885,5.0687,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
33,3884,108.6598,45.5114,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
34,6614,97.2887,86.5590,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
35,3426,86.1930,50.6087,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
36,46,7.8443,7.4664,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
37,8501,153.6360,70.4510,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
38,4985,86.3837,73.4756,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
39,7132,230.5401,39.3890,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
40,6357,145.6904,55.5561,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
41,1321,52.6364,31.9541,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
42,1897,60.4368,39.9646,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
43,2445,93.0115,33.4697,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
44,6551,160.5028,51.9679,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
45,10828,175.2507,78.6681,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
46,541,32.6395,21.1039,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
47,5239,119.5027,55.8188,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
48,106,20.0158,6.7428,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
49,571,34.6278,20.9953,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
50,236,25.8948,11.6040,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
51,48197,314.5907,195.0672,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
52,9199,119.0145,98.4127,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
53,74,13.3449,7.0603,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
54,11209,146.0782,97.6993,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
55,3415,105.1502,41.3515,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
56,2546,71.2850,45.4748,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
57,216,18.1186,15.1789,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
58,3018,77.5572,49.5458,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
59,3826,78.9468,61.7050,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
60,4318,144.5898,38.0238,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
61,1020,56.1199,23.1416,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
62,724,38.4856,23.9524,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
63,5629,113.4105,63.1958,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
64,164,15.6147,13.3727,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
65,975,44.5741,27.8504,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
66,2988,73.7120,51.6122,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
67,577,32.3086,22.7388,Gel-glu ES 221023_LM_01_segmented_Pore Data2.csv
68,164,15.8598,13.1661,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
69,3314,115.3948,36.5659,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
70,5113,91.5777,71.0880,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
71,155,19.0566,10.3561,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
72,106,19.1947,7.0313,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
73,94,11.6311,10.2901,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
74,527,45.8113,14.6470,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
75,4413,100.9369,55.6665,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
76,585,37.4264,19.9016,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
77,591,33.0642,22.7583,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
78,829,34.8158,30.3171,GelGlu_A 06.06.23 10k_65 KR_segmented_Pore Data2.csv
