 ,Metric,Gel-glu ES 221023_LM_01_segmented_Total Summary.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_Total Summary.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_Total Summary.csv,PCL PEO CAM kont 160818 x10k11_segmented_Total Summary.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_Total Summary.csv,PCL_CAM_4%_10KX_1_segmented_Total Summary.csv,PCL_CAM_4%_10KX_2_segmented_Total Summary.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_Total Summary.csv,binary_0_Total Summary.csv,binary_1_Total Summary.csv,binary_2_Total Summary.csv,binary_3_Total Summary.csv,binary_4_Total Summary.csv,binary_5_Total Summary.csv,binary_6_Total Summary.csv,pclpeo cam 06.09.23 10k KR_segmented_Total Summary.csv
1,Super Pixel,24.8396,18.0269,17.9897,29.6677,33.4405,20.2302,22.1214,33.6283,25.2203,22.4788,29.5920,23.3137,27.0144,32.8798,21.6866,72.0694
2,Histogram Mean,24.4175,14.6693,20.7173,28.9625,27.7187,19.0757,18.0142,-614.6052,17.6737,19.6527,18.0917,21.2484,18.8394,16.2491,24.3765,14.1049
3,Histogram SD,6.5277,5.8630,7.6675,22.7972,21.1071,8.9575,9.7698,178.2402,5.0821,5.4765,2.5861,4.5967,6.3751,5.9076,4.6034,8.7231
4,Histogram Mode,26.0000,14.0000,22.0000,32.0000,36.0000,18.0000,12.0000,8.0000,20.0000,20.0000,18.0000,20.0000,22.0000,10.0000,26.0000,14.0000
5,Histogram Median,26.0000,16.0000,22.0000,32.0000,30.0000,20.0000,18.0000,32.0000,18.0000,20.0000,18.0000,20.0000,20.0000,16.0000,24.0000,24.0000
6,Histogram Min Diam.,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
7,Histogram Max Diam.,78.0000,74.0000,64.0000,154.0000,106.0000,62.0000,64.0000,194.0000,40.0000,44.0000,48.0000,66.0000,50.0000,46.0000,76.0000,168.0000
8,Histogram Integrated Density,108672.0000,98909.0000,102039.0000,114563.0000,102727.0000,112032.0000,107355.0000,100854.0000,116170.0000,126112.0000,116756.0000,117036.0000,116768.0000,107556.0000,123718.0000,106330.0000
9,Histogram Raw Integrated Density,108672.0000,98909.0000,102039.0000,114563.0000,102727.0000,112032.0000,107355.0000,100854.0000,116170.0000,126112.0000,116756.0000,117036.0000,116768.0000,107556.0000,123718.0000,106330.0000
10,Diameter Skewness,0.7940,1.1706,0.6944,1.4298,0.4580,0.8815,0.9509,1.1467,0.1991,0.0289,-0.0625,0.6993,0.4719,0.5379,0.7031,1.0234
11,Diameter Kurtosis,2.2503,2.4057,0.8911,2.6275,-0.0289,0.8983,0.8777,0.4714,1.0674,1.1989,1.8812,5.3902,0.7953,1.7737,4.1459,-0.3820
12,Fiber Length,8390.0000,11418.0000,9078.0000,6006.0000,6654.0000,10495.0000,10270.0000,4555.0000,13728.0000,12841.0000,11615.0000,10641.0000,12049.0000,13255.0000,10117.0000,4469.0000
13,Mean Pore Area,3903.3433,1753.3819,2030.1553,5497.7353,6524.4348,2630.1573,2645.6040,2318.2778,1793.9818,2097.2231,1695.4135,1732.6381,2156.0684,1841.0833,1888.6923,5820.4444
14,Pore Area SD,6277.0364,2934.4223,2924.4879,8329.6100,15628.5837,3543.3801,4640.9967,3846.9840,2036.6555,3373.8364,2263.0440,2587.3589,3173.4923,3469.3540,2943.3232,12113.5306
15,Min. Pore Area,22.0000,10.0000,11.0000,38.0000,10.0000,23.0000,10.0000,118.0000,11.0000,41.0000,14.0000,11.0000,18.0000,10.0000,10.0000,86.0000
16,Max. Pore Area,48197.0000,20234.0000,14642.0000,42541.0000,71480.0000,21859.0000,29004.0000,13256.0000,8022.0000,20732.0000,9469.0000,14769.0000,23228.0000,29195.0000,17178.0000,37236.0000
17,Percent Porosity,0.5539,0.5561,0.6056,0.6140,0.5142,0.5665,0.5437,0.6602,0.4557,0.4976,0.4831,0.5316,0.4695,0.4408,0.5625,0.5601
18,Number of Pores,67.0000,144.0000,103.0000,34.0000,23.0000,89.0000,101.0000,18.0000,110.0000,121.0000,104.0000,105.0000,117.0000,144.0000,104.0000,9.0000
19,# of Intersections,179.0000,387.0000,269.0000,97.0000,131.0000,267.0000,281.0000,94.0000,387.0000,327.0000,397.0000,364.0000,319.0000,482.0000,333.0000,53.0000
20,Intersection Density (100x100px),2.2761,4.9210,3.4205,1.2334,1.6658,3.3951,3.5731,1.1953,4.9210,4.1580,5.0481,4.6285,4.0563,6.1289,4.2343,0.6739
21,Char. Length,52.2137,35.0240,44.1454,70.3708,48.5556,42.4114,40.9027,59.7262,37.7896,40.0482,35.7200,37.3018,38.3287,32.9297,38.6956,72.6688
22,SD Char. Length,46.1982,28.4930,34.7616,57.2333,50.3565,35.2096,32.6595,69.1096,44.8529,41.6593,41.8719,40.2207,42.9322,38.8625,39.9351,87.2402
23,Max Span Length,345.1540,218.4924,235.1371,288.3036,295.1665,211.0071,173.6812,371.1737,422.9605,263.5219,214.4264,257.6396,249.9146,296.8894,270.9117,593.8650
24,Old Char. Length (Tot. Fiber Len./# intersections),80.6172,50.6062,65.1429,105.8366,87.2039,63.5613,58.2658,84.6094,45.1583,54.7156,36.0754,45.1070,49.8030,29.7212,48.7759,94.8006
