 ,Angle,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv Normalized,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv Normalized,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv Normalized,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv Normalized,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv Normalized,binary_0_OrientJ Hist.csv,binary_0_OrientJ Hist.csv Normalized,binary_1_OrientJ Hist.csv,binary_1_OrientJ Hist.csv Normalized,binary_2_OrientJ Hist.csv,binary_2_OrientJ Hist.csv Normalized,binary_3_OrientJ Hist.csv,binary_3_OrientJ Hist.csv Normalized,binary_4_OrientJ Hist.csv,binary_4_OrientJ Hist.csv Normalized,binary_5_OrientJ Hist.csv,binary_5_OrientJ Hist.csv Normalized,binary_6_OrientJ Hist.csv,binary_6_OrientJ Hist.csv Normalized,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
1,-90,1342.6430,0.0050,2512.5675,0.0163,2995.5433,0.0157,20323.9708,0.0531,1320.3114,0.0049,63.0037,0.0004,2039.8054,0.0135,1180.2258,0.0031,432.3453,0.0016,2334.5229,0.0089,171.5649,0.0006,281.6312,0.0012,700.1235,0.0028,157.0336,0.0006,6350.9435,0.0204,10828.9041,0.0263,53035.1399,0.1744
2,-89,2272.6880,0.0080,3528.2125,0.0229,2582.2205,0.0136,9327.7950,0.0244,1168.6028,0.0043,48.7954,0.0003,2279.7282,0.0150,1310.3196,0.0034,533.3185,0.0020,7939.4106,0.0302,214.3622,0.0008,422.2206,0.0018,869.8008,0.0035,172.0259,0.0007,6522.3439,0.0209,1545.5166,0.0038,40737.3611,0.1556
3,-88,3647.1660,0.0130,3355.1068,0.0217,2361.5560,0.0124,4874.9620,0.0127,772.0659,0.0029,117.5516,0.0007,1691.2077,0.0112,1286.5305,0.0034,715.0639,0.0027,4990.2295,0.0190,120.7989,0.0004,524.8329,0.0022,2109.9245,0.0085,173.1443,0.0007,3632.2526,0.0117,914.3601,0.0022,31286.7532,0.1254
4,-87,3926.6710,0.0140,2846.4513,0.0184,1820.6570,0.0096,3363.3214,0.0088,668.8606,0.0025,159.5859,0.0010,2241.4030,0.0148,6887.1428,0.0181,709.5051,0.0027,13694.3999,0.0521,41.1121,0.0001,515.9218,0.0022,2305.0041,0.0092,315.3666,0.0013,2429.9969,0.0078,786.3687,0.0019,42711.7682,0.1645
5,-86,3966.2550,0.0140,3784.2511,0.0245,1257.4091,0.0066,2581.0599,0.0067,767.2736,0.0029,106.2091,0.0007,1882.4782,0.0124,2774.7783,0.0073,506.9461,0.0019,2628.6086,0.0100,20.8938,7.359E-5,610.5682,0.0026,1526.2670,0.0061,1393.6774,0.0057,2700.8693,0.0087,978.3131,0.0024,27485.8578,0.1126
6,-85,3429.5940,0.0120,1255.0066,0.0081,1016.1779,0.0053,1826.8116,0.0048,562.0583,0.0021,81.3099,0.0005,1308.6193,0.0086,1415.0862,0.0037,898.6174,0.0034,1622.3564,0.0062,11.4966,4.049E-5,192.2708,0.0008,1576.5278,0.0063,976.0396,0.0040,3301.6188,0.0106,1069.0682,0.0026,20542.6594,0.0790
7,-84,3296.1700,0.0110,834.0869,0.0054,972.9438,0.0051,1596.1639,0.0042,276.2709,0.0010,104.9627,0.0007,1056.7807,0.0070,895.2768,0.0024,3367.2704,0.0128,1213.8207,0.0046,18.0139,6.345E-5,113.3770,0.0005,1524.7307,0.0061,693.1673,0.0028,2115.6176,0.0068,1035.6743,0.0025,19114.3276,0.0730
8,-83,2449.7310,0.0080,747.0007,0.0048,1198.5983,0.0063,1287.2080,0.0034,373.5986,0.0014,145.9675,0.0009,1055.1981,0.0070,611.0317,0.0016,716.9840,0.0027,913.1809,0.0035,51.3728,0.0002,154.9206,0.0006,1400.5145,0.0056,518.6873,0.0021,1574.3097,0.0051,2019.1309,0.0049,15217.4346,0.0581
9,-82,2094.8540,0.0070,667.6548,0.0043,1080.9140,0.0057,1110.7092,0.0029,596.0834,0.0022,58.3111,0.0004,1195.6255,0.0079,448.5046,0.0012,513.1316,0.0020,829.2524,0.0032,112.3849,0.0004,259.4948,0.0011,1570.3691,0.0063,630.5087,0.0026,1514.5385,0.0049,2233.7356,0.0054,14916.0722,0.0575
10,-81,1650.5330,0.0060,566.4170,0.0037,859.0964,0.0045,1013.2242,0.0026,499.3307,0.0019,76.3152,0.0005,592.4583,0.0039,350.4537,0.0009,522.6845,0.0020,857.0883,0.0033,260.4452,0.0009,238.3462,0.0010,2631.6203,0.0105,718.5799,0.0029,1248.9714,0.0040,865.5693,0.0021,12951.1336,0.0507
