 ,Radius,Diameters,Gel-glu ES 221023_LM_01_segmented_Radius Histo.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_Radius Histo.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_Radius Histo.csv,PCL PEO CAM kont 160818 x10k11_segmented_Radius Histo.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_Radius Histo.csv,PCL_CAM_4%_10KX_1_segmented_Radius Histo.csv,PCL_CAM_4%_10KX_2_segmented_Radius Histo.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_Radius Histo.csv,binary_0_Radius Histo.csv,binary_1_Radius Histo.csv,binary_2_Radius Histo.csv,binary_3_Radius Histo.csv,binary_4_Radius Histo.csv,binary_5_Radius Histo.csv,binary_6_Radius Histo.csv,pclpeo cam 06.09.23 10k KR_segmented_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis,,,"Random pick (pcl_cam, combined): 300"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1259,7.2316,3.89,22.4819,,,"0.23, 0.4, 0.63, 0.74, 0.29, 0.8, 0.97, 0.29, 0.17, 1.49, 0.69, 0.8, 0.29, 0.51, 1.31, 0.4, 0.4, 0.4, 0.46, 0.91, 0.86, 1.09, 0.57, 1.03, 0.63, 0.74, 1.94, 1.03, 0.97, 0.74, 1.37, 0.34, 0.86, 0.34, 0.69, 0.57, 0.34, 0.57, 0.97, 0.51, 1.09, 0.46, 1.2, 0.74, 0.23, 0.57, 0.51, 0.74, 1.03, 0.46, 0.34, 0.69, 0.34, 0.4, 0.74, 0.29, 0.91, 0.4, 0.97, 0.4, 1.09, 0.46, 0.11, 0.86, 0.4, 0.34, 0.97, 0.46, 1.31, 0.34, 1.2, 0.34, 0.46, 0.63, 0.97, 0.8, 1.09, 0.51, 0.69, 0.57, 0.11, 0.23, 0.74, 1.09, 0.86, 0.34, 0.63, 0.4, 0.29, 0.74, 0.97, 0.57, 0.23, 0.34, 0.51, 0.34, 0.86, 0.29, 0.69, 0.63, 0.57, 1.09, 0.46, 1.31, 1.26, 0.97, 0.69, 0.4, 0.29, 0.8, 0.17, 0.8, 0.57, 0.29, 0.63, 0.69, 0.46, 0.34, 0.8, 0.34, 0.4, 0.91, 1.14, 0.4, 1.26, 0.51, 0.4, 0.74, 0.34, 0.8, 0.51, 0.69, 0.23, 0.29, 0.63, 0.69, 1.49, 0.74, 0.69, 1.43, 0.63, 0.17, 1.03, 0.57, 1.14, 0.8, 0.69, 0.69, 1.09, 0.63, 0.4, 1.26, 0.51, 0.46, 0.8, 0.51, 0.51, 1.31, 0.91, 1.03, 0.57, 1.09, 0.69, 1.6, 0.74, 0.57, 0.46, 1.54, 0.11, 0.69, 0.86, 0.63, 0.74, 1.31, 0.4, 2.0, 0.74, 0.51, 0.4, 0.51, 0.8, 0.69, 0.69, 1.14, 0.8, 0.91, 0.51, 0.8, 0.29, 0.86, 0.34, 0.46, 0.63, 0.4, 0.34, 0.8, 1.2, 0.51, 0.4, 0.29, 0.4, 0.57, 0.46, 0.4, 0.91, 0.51, 0.86, 0.91, 0.74, 0.97, 0.69, 0.4, 0.4, 0.91, 1.66, 0.4, 0.34, 0.63, 0.63, 0.46, 1.49, 0.23, 0.4, 0.63, 0.63, 0.17, 1.26, 0.57, 0.34, 0.57, 0.74, 0.46, 0.4, 0.29, 0.46, 0.63, 0.63, 0.86, 0.86, 0.74, 0.57, 0.8, 0.74, 0.4, 0.86, 0.46, 0.69, 0.46, 0.57, 0.69, 0.57, 0.74, 0.8, 0.74, 0.97, 0.63, 1.54, 1.03, 0.74, 0.4, 1.09, 0.4, 0.91, 0.97, 0.4, 0.29, 1.6, 0.91, 0.57, 0.8, 0.74, 0.23, 1.26, 0.4, 1.49, 2.23, 1.43, 0.69, 0.46, 0.34, 1.6, 0.46, 0.4, 0.8, 0.4, 1.54, 0.69, 1.26, 0.17, 0.86, 0.34, 1.43, 0.74, 0.57, 0.51, 0.57, 0.86, 0.8, 0.8, 0.17"
2,1,2,107,131,110,45,151,78,58,179,213,151,306,222,168,252,124,97,2392,0,0,0,0,,,
3,2,4,57,199,85,40,117,128,120,131,67,67,92,74,51,75,34,155,1492,0,0,0,0,,,random pick (kx_1) : 200 
4,3,6,106,293,142,48,147,245,165,227,75,66,95,82,59,81,52,131,2014,0,0,0,0,,,"0.23, 0.63, 0.34, 0.8, 0.46, 0.63, 0.17, 0.57, 0.8, 0.51, 1.03, 0.63, 0.63, 0.46, 0.46, 0.86, 0.51, 0.57, 0.86, 0.74, 0.29, 0.86, 0.46, 0.29, 1.14, 0.4, 0.34, 0.69, 0.69, 0.34, 0.57, 0.46, 0.51, 1.09, 0.46, 0.97, 0.74, 0.23, 0.57, 0.29, 1.03, 0.34, 0.34, 0.74, 0.91, 0.4, 0.51, 0.4, 1.09, 0.46, 0.11, 0.4, 0.8, 1.31, 0.34, 1.2, 0.34, 0.46, 0.34, 1.09, 0.51, 0.17, 0.57, 0.29, 1.09, 0.8, 0.4, 0.74, 0.8, 0.57, 0.23, 0.34, 0.34, 0.8, 0.63, 0.69, 0.63, 0.57, 1.09, 1.31, 1.26, 0.46, 0.63, 0.29, 0.4, 0.57, 0.34, 0.57, 0.29, 0.69, 0.69, 0.46, 0.63, 0.8, 0.34, 0.8, 1.14, 1.26, 0.51, 0.74, 0.8, 0.17, 0.23, 0.69, 1.31, 0.29, 0.17, 1.2, 0.51, 0.91, 0.8, 0.29, 0.17, 0.51, 0.63, 0.4, 1.26, 0.8, 0.69, 1.31, 0.46, 0.51, 0.86, 1.6, 0.74, 1.6, 0.11, 0.74, 0.4, 0.69, 0.74, 0.57, 0.4, 0.29, 0.69, 0.4, 0.51, 0.74, 0.17, 0.69, 0.51, 0.8, 0.91, 0.51, 0.74, 0.29, 0.86, 0.63, 0.63, 0.63, 0.4, 0.8, 0.97, 0.51, 0.4, 0.29, 0.4, 0.69, 0.91, 0.8, 0.46, 0.29, 0.46, 0.69, 0.4, 0.46, 0.63, 0.34, 0.63, 0.69, 1.31, 0.57, 0.63, 0.57, 0.97, 0.57, 0.29, 0.63, 0.63, 0.8, 0.86, 0.29, 0.34, 0.34, 0.8, 0.17, 0.69, 0.69, 0.29, 0.8, 0.29, 0.8, 0.63, 1.49, 1.03, 0.74, 0.4, 1.09, 0.4, 0.91"
5,4,8,163,752,336,214,264,449,469,304,118,78,122,85,717,169,50,236,4526,0,0,0,0,,,
6,5,10,116,1023,321,268,225,609,823,211,2418,80,89,52,396,2540,115,198,9484,0,0,0,0,,,random pick (kx_2):200
7,6,12,144,1412,327,228,295,800,1239,215,1138,886,93,78,909,1721,510,250,10245,0,0,0,0,,,"0.23, 0.63, 0.34, 0.86, 0.46, 0.57, 0.17, 0.51, 0.86, 0.46, 1.09, 0.63, 0.63, 0.46, 0.4, 0.91, 0.46, 0.57, 0.86, 0.74, 0.29, 0.86, 0.46, 0.29, 1.26, 0.4, 0.34, 0.69, 0.69, 0.34, 0.51, 0.46, 0.46, 1.14, 0.4, 0.97, 0.74, 0.29, 0.51, 0.29, 1.09, 0.34, 0.34, 0.8, 0.97, 0.34, 0.46, 0.4, 1.14, 0.4, 0.11, 0.4, 0.86, 1.54, 0.34, 1.31, 0.34, 0.46, 0.34, 1.14, 0.46, 0.17, 0.51, 0.29, 1.14, 0.8, 0.4, 0.8, 0.86, 0.51, 0.23, 0.34, 0.34, 0.8, 0.57, 0.69, 0.63, 0.57, 1.14, 1.43, 1.37, 0.46, 0.63, 0.29, 0.4, 0.57, 0.34, 0.51, 0.29, 0.74, 0.69, 0.4, 0.63, 0.8, 0.34, 0.86, 1.26, 1.37, 0.51, 0.74, 0.8, 0.17, 0.23, 0.74, 1.54, 0.34, 0.17, 1.37, 0.46, 0.97, 0.86, 0.29, 0.17, 0.46, 0.57, 0.4, 1.37, 0.86, 0.69, 1.43, 0.4, 0.46, 0.91, 0.8, 0.11, 0.74, 0.4, 0.74, 0.74, 0.51, 0.4, 0.29, 0.69, 0.4, 0.46, 0.8, 0.23, 0.74, 0.46, 0.86, 0.91, 0.46, 0.8, 0.29, 0.86, 0.63, 0.63, 0.57, 0.4, 0.86, 1.03, 0.46, 0.4, 0.29, 0.4, 0.63, 0.91, 0.8, 0.4, 0.34, 0.4, 0.69, 0.4, 0.4, 0.63, 0.34, 0.63, 0.63, 1.43, 0.57, 0.63, 0.57, 1.03, 0.57, 0.34, 0.63, 0.63, 0.8, 0.91, 0.29, 0.34, 0.34, 0.8, 0.17, 0.69, 0.69, 0.29, 0.8, 0.34, 0.86, 0.63, 1.83, 1.09, 0.74, 0.4, 1.14, 0.4, 0.97, 0.86, 0.63"
8,7,14,157,1492,417,215,213,766,854,146,190,1594,102,100,1081,279,81,304,7991,0,0,0,0,,,
9,8,16,228,1281,691,176,317,820,736,113,1892,926,2187,894,968,1780,477,274,13760,0,0,0,0,,,
10,9,18,523,1150,1007,221,293,961,675,195,1965,1912,2792,1165,1581,1745,804,151,17140,0,0,0,0,,,
