 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,345.154,427,717,0,756,688,0,330.276
2,,1,251.350,390,561,0,598,464,0,229.506
3,,1,241.019,377,115,0,530,82,0,156.518
4,,1,177.368,25,322,0,31,477,0,155.116
5,,1,171.622,60,578,0,170,690,0,156.984
6,,1,168.551,673,514,0,764,639,0,154.616
7,,1,157.912,208,500,0,351,464,0,147.462
8,,1,157.380,641,255,0,724,378,0,148.385
9,,1,153.284,761,212,0,773,357,0,145.496
10,,1,151.551,262,31,0,377,115,0,142.411
11,,1,151.326,915,67,0,985,54,0,71.197
12,,1,149.882,199,448,0,329,400,0,138.578
13,,1,149.267,834,380,0,958,441,0,138.192
14,,1,147.640,777,684,0,906,639,0,136.624
15,,1,146.480,812,743,0,916,678,0,122.642
16,,1,144.314,859,351,0,1000,353,0,141.014
17,,1,142.527,984,112,0,987,245,0,133.034
18,,1,141.409,143,171,0,255,242,0,132.608
19,,1,135.024,802,0,0,691,58,0,125.240
20,,1,133.894,623,465,0,721,386,0,125.877
21,,1,133.823,548,151,0,651,78,0,126.246
22,,1,133.083,148,111,0,267,145,0,123.762
23,,1,131.527,1000,353,0,1007,473,0,120.204
24,,1,130.497,60,578,0,85,694,0,118.663
25,,1,129.409,213,534,0,301,617,0,120.967
26,,1,128.569,0,56,0,87,121,0,108.600
27,,1,128.355,859,351,0,882,233,0,120.221
28,,1,126.698,430,432,0,548,413,0,119.520
29,,1,126.267,551,301,0,634,380,0,114.586
30,,1,126.024,27,221,0,87,121,0,116.619
31,,1,125.142,213,534,0,217,655,0,121.066
32,,1,123.309,25,322,0,111,405,0,119.520
33,,1,118.912,923,129,0,957,233,0,109.417
34,,1,118.681,521,183,0,602,257,0,109.713
35,,1,118.510,176,319,0,255,242,0,110.318
36,,1,113.196,563,20,0,651,78,0,105.394
37,,1,111.711,856,548,0,906,639,0,103.832
38,,1,111.154,236,78,0,304,140,0,92.022
39,,1,109.627,389,579,0,403,680,0,101.966
40,,1,107.971,877,515,0,980,523,0,103.310
41,,1,103.456,143,171,0,153,267,0,96.519
42,,1,99.983,613,1,0,679,59,0,87.864
43,,1,97.782,111,415,0,169,487,0,92.455
44,,1,97.054,323,281,0,399,329,0,89.889
45,,1,95.426,673,514,0,756,544,0,88.255
46,,1,94.355,171,367,0,199,448,0,85.703
47,,1,93.426,47,531,0,122,495,0,83.193
48,,1,92.527,101,12,0,184,31,0,85.147
49,,1,92.213,435,172,0,521,183,0,86.701
50,,1,91.698,985,54,0,986,99,0,45.011
51,,1,91.083,870,1,0,915,67,0,79.881
52,,1,90.326,13,21,0,88,58,0,83.630
53,,1,89.841,337,387,0,409,351,0,80.498
54,,1,89.485,634,380,0,721,386,0,87.207
55,,1,88.640,311,188,0,380,234,0,82.928
56,,1,88.527,799,201,0,878,224,0,82.280
57,,1,87.456,430,432,0,442,352,0,80.895
58,,1,87.314,220,727,0,304,727,0,84.000
59,,1,86.284,389,528,0,403,450,0,79.246
60,,1,86.142,828,462,0,834,380,0,82.219
61,,1,84.426,351,464,0,389,528,0,74.431
62,,1,84.142,327,713,0,407,711,0,80.025
63,,1,84.054,906,639,0,965,587,0,78.645
64,,1,83.698,715,132,0,718,207,0,75.060
65,,1,82.770,545,174,0,617,200,0,76.551
66,,1,81.539,148,111,0,206,57,0,79.246
67,,1,81.456,878,224,0,894,150,0,75.710
68,,1,81.154,323,281,0,380,234,0,73.878
69,,1,80.912,828,462,0,877,515,0,72.180
70,,1,80.627,107,745,0,181,729,0,75.710
71,,1,80.598,184,31,0,240,30,0,56.009
72,,1,79.083,721,386,0,759,447,0,71.868
73,,1,78.740,548,413,0,598,464,0,71.421
74,,1,78.598,530,82,0,563,20,0,70.235
75,,1,77.669,987,713,0,1011,650,0,67.417
76,,1,77.497,486,253,0,537,300,0,69.354
77,,1,77.142,27,221,0,27,294,0,73.000
78,,1,76.456,530,82,0,548,151,0,71.309
79,,1,75.799,83,279,0,153,267,0,71.021
80,,1,75.740,111,405,0,171,367,0,71.021
81,,1,74.912,948,766,0,987,713,0,65.803
82,,1,74.728,991,284,0,1000,353,0,69.584
83,,1,74.326,777,684,0,812,743,0,68.600
84,,1,73.811,623,465,0,673,514,0,70.007
85,,1,73.740,906,236,0,947,291,0,68.600
86,,1,73.669,108,113,0,143,171,0,67.742
87,,1,73.284,759,447,0,824,463,0,66.940
88,,1,72.184,319,0,0,262,31,0,64.885
89,,1,72.083,0,690,0,38,744,0,66.030
90,,1,71.627,965,587,0,982,651,0,66.219
91,,1,71.113,417,253,0,479,275,0,65.788
92,,1,70.983,551,301,0,602,257,0,67.357
93,,1,70.569,675,78,0,715,132,0,67.201
94,,1,70.355,343,655,0,403,680,0,65.000
95,,1,69.740,339,621,0,389,579,0,65.299
96,,1,69.385,408,317,0,417,253,0,64.630
97,,1,68.385,617,200,0,679,210,0,62.801
98,,1,68.042,923,129,0,984,112,0,63.325
99,,1,68.012,379,143,0,435,172,0,63.063
100,,1,67.456,759,447,0,777,507,0,62.642
101,,1,66.527,457,767,0,427,717,0,58.310
102,,1,65.497,486,234,0,521,183,0,61.855
103,,1,64.841,641,255,0,679,210,0,58.898
104,,1,64.627,327,713,0,343,655,0,60.166
105,,1,64.083,437,199,0,486,234,0,60.216
106,,1,64.012,958,441,0,1007,473,0,58.523
107,,1,64.012,771,148,0,799,201,0,59.942
108,,1,63.698,312,336,0,337,387,0,56.798
109,,1,63.556,773,357,0,832,368,0,60.017
110,,1,63.071,915,67,0,918,128,0,61.074
111,,1,62.627,715,132,0,771,148,0,58.241
112,,1,62.213,27,294,0,83,279,0,57.974
113,,1,61.497,76,459,0,122,495,0,58.412
114,,1,61.485,752,747,0,756,688,0,59.135
115,,1,60.213,965,587,0,980,533,0,56.045
116,,1,59.770,1022,566,0,980,533,0,53.413
117,,1,59.669,76,459,0,111,415,0,56.223
118,,1,59.456,842,168,0,894,150,0,55.027
119,,1,59.355,899,317,0,947,291,0,54.589
120,,1,58.698,88,58,0,109,108,0,54.231
121,,1,58.071,324,147,0,379,143,0,55.145
122,,1,57.971,770,96,0,771,148,0,52.010
123,,1,57.698,724,378,0,773,357,0,53.310
124,,1,57.284,773,621,0,794,573,0,52.393
125,,1,56.912,150,64,0,114,106,0,55.317
126,,1,56.142,270,242,0,280,190,0,52.953
127,,1,55.314,212,675,0,220,727,0,52.612
128,,1,55.042,589,400,0,634,380,0,49.244
129,,1,54.828,617,200,0,617,254,0,54.000
130,,1,53.527,756,544,0,794,573,0,47.802
131,,1,53.414,31,477,0,32,530,0,53.009
132,,1,53.213,47,531,0,60,578,0,48.765
133,,1,53.184,260,645,0,301,617,0,49.649
134,,1,53.113,0,734,0,38,744,0,39.294
135,,1,53.071,906,236,0,957,233,0,51.088
136,,1,52.456,31,477,0,76,459,0,48.466
137,,1,52.456,468,322,0,509,302,0,45.618
138,,1,51.971,88,58,0,101,12,0,47.802
139,,1,51.799,162,273,0,176,319,0,48.083
140,,1,51.485,354,456,0,403,450,0,49.366
141,,1,51.142,122,495,0,169,487,0,47.676
142,,1,50.971,267,145,0,280,190,0,46.840
143,,1,50.870,955,683,0,987,713,0,43.863
144,,1,50.841,270,242,0,301,280,0,49.041
145,,1,50.799,810,508,0,824,463,0,47.127
146,,1,50.355,794,573,0,833,547,0,46.872
147,,1,50.213,397,758,0,410,714,0,45.880
