 ,Angle,Frequency,Normalized Frequency
1,-90,1342.643,0.005
2,-89,2272.688,0.008
3,-88,3647.166,0.013
4,-87,3926.671,0.014
5,-86,3966.255,0.014
6,-85,3429.594,0.012
7,-84,3296.170,0.011
8,-83,2449.731,0.008
9,-82,2094.854,0.007
10,-81,1650.533,0.006
11,-80,1537.475,0.005
12,-79,1358.964,0.005
13,-78,1156.143,0.004
14,-77,1143.577,0.004
15,-76,865.568,0.003
16,-75,794.051,0.003
17,-74,782.904,0.003
18,-73,841.786,0.003
19,-72,1061.157,0.004
20,-71,1474.056,0.005
21,-70,919.531,0.003
22,-69,611.778,0.002
23,-68,590.840,0.002
24,-67,754.866,0.003
25,-66,922.998,0.003
26,-65,943.441,0.003
27,-64,911.582,0.003
28,-63,1175.311,0.004
29,-62,1156.486,0.004
30,-61,1115.638,0.004
31,-60,936.406,0.003
32,-59,870.761,0.003
33,-58,1009.911,0.004
34,-57,1210.478,0.004
35,-56,1417.456,0.005
36,-55,1771.363,0.006
37,-54,1725.284,0.006
38,-53,1805.740,0.006
39,-52,2042.477,0.007
40,-51,3381.828,0.012
41,-50,4968.118,0.017
42,-49,3235.326,0.011
43,-48,2794.298,0.010
44,-47,3039.894,0.011
45,-46,3653.760,0.013
46,-45,4152.597,0.014
47,-44,2241.822,0.008
48,-43,1880.739,0.007
49,-42,1704.461,0.006
50,-41,1439.418,0.005
51,-40,1339.279,0.005
52,-39,1594.459,0.006
53,-38,1968.588,0.007
54,-37,2713.886,0.009
55,-36,2745.169,0.010
56,-35,2776.359,0.010
57,-34,1744.012,0.006
58,-33,1327.475,0.005
59,-32,1370.605,0.005
60,-31,1526.277,0.005
61,-30,1579.563,0.005
62,-29,1486.294,0.005
63,-28,1709.306,0.006
64,-27,1717.817,0.006
65,-26,1199.912,0.004
66,-25,785.549,0.003
67,-24,423.922,0.001
68,-23,414.992,0.001
69,-22,459.048,0.002
70,-21,506.358,0.002
71,-20,500.085,0.002
72,-19,782.087,0.003
73,-18,748.845,0.003
74,-17,642.223,0.002
75,-16,680.973,0.002
76,-15,599.368,0.002
77,-14,552.222,0.002
78,-13,525.003,0.002
79,-12,484.434,0.002
80,-11,536.416,0.002
81,-10,659.460,0.002
82,-9,781.041,0.003
83,-8,1022.315,0.004
84,-7,1200.664,0.004
85,-6,1203.360,0.004
86,-5,1515.914,0.005
87,-4,1342.268,0.005
88,-3,1315.853,0.005
89,-2,1199.059,0.004
90,-1,1436.137,0.005
91,0,1864.386,0.006
92,1,1223.497,0.004
93,2,934.420,0.003
94,3,1903.508,0.007
95,4,8941.204,0.031
96,5,14498.654,0.050
97,6,4818.307,0.017
98,7,2382.319,0.008
99,8,2313.143,0.008
100,9,1788.141,0.006
101,10,1739.178,0.006
102,11,1456.582,0.005
103,12,1263.422,0.004
104,13,1246.282,0.004
105,14,1607.934,0.006
106,15,1064.837,0.004
107,16,932.085,0.003
108,17,1032.092,0.004
109,18,1441.411,0.005
110,19,1244.272,0.004
111,20,1104.017,0.004
112,21,1121.784,0.004
113,22,1415.931,0.005
114,23,2893.698,0.010
115,24,2524.812,0.009
116,25,1148.268,0.004
117,26,1222.261,0.004
118,27,2405.208,0.008
119,28,2168.164,0.008
120,29,1856.853,0.006
121,30,2356.114,0.008
122,31,2611.615,0.009
123,32,1911.067,0.007
124,33,2529.917,0.009
125,34,1609.178,0.006
126,35,994.461,0.003
127,36,1080.185,0.004
128,37,1243.930,0.004
129,38,1356.688,0.005
130,39,1340.355,0.005
131,40,1548.008,0.005
132,41,1546.014,0.005
133,42,1592.648,0.006
134,43,1448.787,0.005
135,44,1442.392,0.005
136,45,1597.641,0.006
137,46,2471.492,0.009
138,47,3511.058,0.012
139,48,3106.718,0.011
140,49,2201.440,0.008
141,50,1838.267,0.006
142,51,1352.837,0.005
143,52,796.022,0.003
144,53,714.545,0.002
145,54,1077.034,0.004
146,55,773.092,0.003
147,56,563.205,0.002
148,57,524.841,0.002
149,58,302.247,0.001
150,59,191.912,6.657E-4
151,60,115.297,3.999E-4
152,61,77.898,2.702E-4
153,62,100.145,3.474E-4
154,63,137.788,4.780E-4
155,64,128.736,4.466E-4
156,65,21.593,7.490E-5
157,66,0.000,0.000
158,67,13.344,4.629E-5
159,68,32.481,1.127E-4
160,69,58.045,2.013E-4
161,70,93.020,3.227E-4
162,71,185.565,6.437E-4
163,72,277.278,9.618E-4
164,73,493.857,0.002
165,74,386.950,0.001
166,75,221.970,7.700E-4
167,76,357.997,0.001
168,77,746.337,0.003
169,78,777.595,0.003
170,79,628.599,0.002
171,80,709.690,0.002
172,81,686.651,0.002
173,82,828.246,0.003
174,83,985.059,0.003
175,84,935.214,0.003
176,85,748.164,0.003
177,86,992.364,0.003
178,87,812.580,0.003
179,88,907.152,0.003
180,89,1050.887,0.004
