 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,2529,233.4214,80.5074,39.9966,155.8373,0.5833,2.0129,0.4968,0.8760
2,,326,67.5980,24.8474,16.7050,168.6913,0.8965,1.4874,0.6723,0.9504
3,,2318,225.0955,87.7073,33.6502,81.2531,0.5749,2.6064,0.3837,0.9459
4,,8179,367.1026,109.8514,94.7992,128.7248,0.7627,1.1588,0.8630,0.9732
5,,4214,268.8772,79.3883,67.5847,38.4199,0.7325,1.1746,0.8513,0.9565
6,,2678,293.8894,138.9595,24.5376,146.8518,0.3896,5.6631,0.1766,0.9173
7,,68,30.6274,9.8216,8.8153,130.2014,0.9110,1.1142,0.8975,0.8774
8,,1953,269.5219,105.8736,23.4869,167.5378,0.3379,4.5078,0.2218,0.7913
9,,7358,364.5757,121.7682,76.9371,167.6015,0.6957,1.5827,0.6318,0.9656
10,,2062,226.9949,94.2671,27.8509,103.1207,0.5029,3.3847,0.2954,0.9420
11,,3331,301.0193,110.7825,38.2837,147.3947,0.4620,2.8937,0.3456,0.9149
12,,863,125.1960,47.8642,22.9567,136.1259,0.6919,2.0850,0.4796,0.9391
13,,1946,195.6812,65.2861,37.9518,99.8589,0.6386,1.7202,0.5813,0.9525
14,,7058,356.7767,111.8072,80.3752,71.9187,0.6968,1.3911,0.7189,0.9387
15,,22,16.7279,5.5671,5.0316,32.4247,0.9880,1.1064,0.9038,0.8627
16,,922,147.1960,43.6683,26.8828,35.0861,0.5347,1.6244,0.6156,0.8314
17,,2182,207.8650,85.5186,32.4866,155.7805,0.6346,2.6324,0.3799,0.9547
18,,4016,356.1320,93.7316,54.5529,116.3664,0.3979,1.7182,0.5820,0.8189
19,,442,80.0833,26.5532,21.1941,151.3002,0.8661,1.2529,0.7982,0.9414
20,,466,102.4680,43.7627,13.5579,148.1424,0.5577,3.2278,0.3098,0.9182
21,,2556,208.3503,65.6856,49.5451,171.9403,0.7399,1.3258,0.7543,0.9166
22,,2505,214.4924,82.2840,38.7617,146.3902,0.6842,2.1228,0.4711,0.9563
23,,60,26.9706,9.1470,8.3518,112.9401,1.0000,1.0952,0.9131,0.9302
24,,795,122.8528,51.4780,19.6632,147.4249,0.6619,2.6180,0.3820,0.9358
