 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,218.4924,99,0,0,17,166,0,185.1486
2,,1,153.2132,198,365,0,345,352,0,147.5737
3,,1,146.1421,1003,55,0,1011,197,0,142.2252
4,,1,144.3848,901,107,0,906,246,0,139.0899
5,,1,143.8112,634,646,0,760,603,0,133.1353
6,,1,141.1127,460,351,0,592,329,0,133.8208
7,,1,124.3970,509,738,0,615,713,0,108.9082
8,,1,122.8944,502,231,0,590,311,0,118.9285
9,,1,117.2965,677,8,0,726,105,0,108.6738
10,,1,109.8701,1008,390,0,1014,289,0,101.1781
11,,1,108.5391,394,221,0,448,306,0,100.7025
12,,1,107.4975,86,130,0,179,97,0,98.6813
13,,1,106.1249,1023,478,0,969,396,0,98.1835
14,,1,105.4975,728,476,0,819,441,0,97.4987
15,,1,103.8528,195,141,0,274,81,0,99.2018
16,,1,102.1543,206,396,0,292,435,0,94.4299
17,,1,101.9117,509,738,0,539,681,0,64.4127
18,,1,101.2965,823,482,0,892,543,0,92.0978
19,,1,100.9117,463,544,0,549,508,0,93.2309
20,,1,100.7990,748,7,0,842,14,0,94.2603
21,,1,99.7107,448,306,0,502,231,0,92.4175
22,,1,98.5563,424,457,0,518,446,0,94.6414
23,,1,97.2843,174,517,0,186,606,0,89.8053
24,,1,96.5563,1011,197,0,1014,289,0,92.0489
25,,1,96.4558,210,476,0,299,460,0,90.4268
26,,1,94.9706,906,298,0,995,287,0,89.6772
27,,1,94.0538,155,397,0,199,472,0,86.9540
28,,1,93.7401,1022,505,0,950,549,0,84.3801
29,,1,92.9411,696,424,0,779,400,0,86.4002
30,,1,92.1543,194,517,0,270,556,0,85.4225
31,,1,91.3259,876,642,0,913,566,0,84.5281
32,,1,90.5685,386,640,0,425,713,0,82.7647
33,,1,90.3553,820,492,0,844,571,0,82.5651
34,,1,90.2132,430,766,0,350,751,0,81.3941
35,,1,90.0538,725,148,0,783,207,0,82.7345
36,,1,90.0122,478,45,0,556,16,0,83.2166
37,,1,88.5980,606,508,0,683,480,0,81.9329
38,,1,88.4264,786,564,0,820,492,0,79.6241
39,,1,87.0122,823,445,0,898,416,0,80.4114
40,,1,86.7186,592,329,0,596,411,0,82.0975
41,,1,86.6690,424,457,0,458,529,0,79.6241
42,,1,85.9117,819,761,0,857,692,0,78.7718
43,,1,85.8406,561,402,0,592,329,0,79.3095
44,,1,85.6396,323,0,0,373,60,0,78.1025
45,,1,85.3848,358,255,0,364,334,0,79.2275
46,,1,85.2254,271,183,0,204,159,0,71.1688
47,,1,84.9828,697,260,0,754,310,0,75.8222
48,,1,84.7990,610,434,0,689,422,0,79.9062
