 ,Angle,Frequency,Normalized Frequency
1,-90,2512.5675,0.0163
2,-89,3528.2125,0.0229
3,-88,3355.1068,0.0217
4,-87,2846.4513,0.0184
5,-86,3784.2511,0.0245
6,-85,1255.0066,0.0081
7,-84,834.0869,0.0054
8,-83,747.0007,0.0048
9,-82,667.6548,0.0043
10,-81,566.4170,0.0037
11,-80,447.9717,0.0029
12,-79,445.4515,0.0029
13,-78,569.3961,0.0037
14,-77,647.2732,0.0042
15,-76,427.8547,0.0028
16,-75,328.6606,0.0021
17,-74,396.8091,0.0026
18,-73,337.1716,0.0022
19,-72,336.0641,0.0022
20,-71,319.7510,0.0021
21,-70,377.5675,0.0024
22,-69,447.0551,0.0029
23,-68,495.4900,0.0032
24,-67,386.0980,0.0025
25,-66,627.6649,0.0041
26,-65,500.7542,0.0032
27,-64,557.9635,0.0036
28,-63,753.0117,0.0049
29,-62,761.5916,0.0049
30,-61,841.0079,0.0054
31,-60,867.4415,0.0056
32,-59,818.9329,0.0053
33,-58,842.2096,0.0055
34,-57,961.3495,0.0062
35,-56,987.8368,0.0064
36,-55,1052.6378,0.0068
37,-54,1258.2937,0.0081
38,-53,1343.0608,0.0087
39,-52,1124.3721,0.0073
40,-51,1408.7106,0.0091
41,-50,1872.1813,0.0121
42,-49,1368.1354,0.0089
43,-48,1484.2672,0.0096
44,-47,2516.6947,0.0163
45,-46,2946.6036,0.0191
46,-45,2367.9100,0.0153
47,-44,2109.2980,0.0137
48,-43,1833.5363,0.0119
49,-42,1408.6661,0.0091
50,-41,1066.4816,0.0069
51,-40,791.2117,0.0051
52,-39,687.2163,0.0045
53,-38,700.6243,0.0045
54,-37,775.7964,0.0050
55,-36,733.0808,0.0047
56,-35,601.6313,0.0039
57,-34,680.2186,0.0044
58,-33,605.6580,0.0039
59,-32,601.1572,0.0039
60,-31,591.8917,0.0038
61,-30,613.9786,0.0040
62,-29,506.7606,0.0033
63,-28,492.0759,0.0032
64,-27,429.6425,0.0028
65,-26,329.2080,0.0021
66,-25,307.0029,0.0020
67,-24,476.3442,0.0031
68,-23,801.5638,0.0052
69,-22,780.4078,0.0051
70,-21,540.6228,0.0035
71,-20,475.6508,0.0031
72,-19,422.6094,0.0027
73,-18,448.8042,0.0029
74,-17,444.4623,0.0029
75,-16,498.4329,0.0032
76,-15,591.7290,0.0038
77,-14,539.8979,0.0035
78,-13,465.8667,0.0030
79,-12,476.4395,0.0031
80,-11,583.2744,0.0038
81,-10,556.7194,0.0036
82,-9,478.6008,0.0031
83,-8,522.8718,0.0034
84,-7,411.4717,0.0027
85,-6,621.7137,0.0040
86,-5,691.8558,0.0045
87,-4,490.4679,0.0032
88,-3,468.0017,0.0030
89,-2,450.1556,0.0029
90,-1,467.5254,0.0030
91,0,603.6558,0.0039
92,1,1000.5319,0.0065
93,2,1381.0341,0.0089
94,3,2103.7489,0.0136
95,4,3070.6093,0.0199
96,5,2373.6132,0.0154
97,6,1956.5934,0.0127
98,7,1578.9598,0.0102
99,8,1220.9095,0.0079
100,9,1038.4119,0.0067
101,10,933.2209,0.0060
102,11,978.0300,0.0063
103,12,946.9020,0.0061
104,13,834.1134,0.0054
105,14,896.5015,0.0058
106,15,767.2051,0.0050
107,16,901.8412,0.0058
108,17,1119.5742,0.0073
109,18,1223.8003,0.0079
110,19,1278.7678,0.0083
111,20,1601.4579,0.0104
112,21,1454.8939,0.0094
113,22,1383.4056,0.0090
114,23,1258.0858,0.0081
115,24,869.2323,0.0056
116,25,686.4327,0.0044
117,26,594.0568,0.0038
118,27,550.8446,0.0036
119,28,548.4657,0.0036
120,29,570.1385,0.0037
121,30,505.3799,0.0033
122,31,522.8179,0.0034
123,32,541.5558,0.0035
124,33,554.5468,0.0036
125,34,534.0780,0.0035
126,35,423.6342,0.0027
127,36,382.3334,0.0025
128,37,455.7644,0.0030
129,38,564.6246,0.0037
130,39,791.3368,0.0051
131,40,1021.4600,0.0066
132,41,972.8776,0.0063
133,42,857.8953,0.0056
134,43,797.9222,0.0052
135,44,831.8799,0.0054
136,45,776.6829,0.0050
137,46,720.9832,0.0047
138,47,799.5874,0.0052
139,48,1036.9918,0.0067
140,49,1636.0961,0.0106
141,50,2710.4391,0.0176
142,51,1140.9004,0.0074
143,52,413.5173,0.0027
144,53,430.9923,0.0028
145,54,513.5387,0.0033
146,55,562.1948,0.0036
147,56,628.5265,0.0041
148,57,570.0663,0.0037
149,58,511.2284,0.0033
150,59,488.2899,0.0032
151,60,570.1154,0.0037
152,61,551.5227,0.0036
153,62,387.4760,0.0025
154,63,275.4799,0.0018
155,64,86.9620,0.0006
156,65,12.5097,8.102E-5
157,66,23.8716,0.0002
158,67,59.0247,0.0004
159,68,46.1054,0.0003
160,69,41.1424,0.0003
161,70,62.0258,0.0004
162,71,45.1609,0.0003
163,72,43.2585,0.0003
164,73,21.5040,0.0001
165,74,0.0000,0.0000
166,75,20.2368,0.0001
167,76,88.0507,0.0006
168,77,110.7015,0.0007
169,78,80.5563,0.0005
170,79,23.4155,0.0002
171,80,110.4115,0.0007
172,81,244.1981,0.0016
173,82,295.8466,0.0019
174,83,466.6698,0.0030
175,84,711.4243,0.0046
176,85,831.9437,0.0054
177,86,817.2798,0.0053
178,87,874.4270,0.0057
179,88,1040.4602,0.0067
180,89,1539.9960,0.0100
