 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,164,45.9411,15.8598,13.1661,141.7455,0.9765,1.2046,0.8302,0.9318
2,,3314,305.9899,115.3948,36.5659,123.0315,0.4448,3.1558,0.3169,0.8635
3,,5113,385.5046,91.5777,71.0880,105.2263,0.4323,1.2882,0.7763,0.8493
4,,155,49.6985,19.0566,10.3561,155.7506,0.7886,1.8401,0.5434,0.9038
5,,106,47.9411,19.1947,7.0313,53.4172,0.5796,2.7299,0.3663,0.8185
6,,94,34.6274,11.6311,10.2901,50.9518,0.9851,1.1303,0.8847,0.9307
7,,527,111.5391,45.8113,14.6470,118.8883,0.5323,3.1277,0.3197,0.9016
8,,4413,295.3209,100.9369,55.6665,116.5935,0.6359,1.8132,0.5515,0.9172
9,,585,101.6396,37.4264,19.9016,148.7467,0.7116,1.8806,0.5318,0.8918
10,,591,93.7401,33.0642,22.7583,86.9181,0.8452,1.4528,0.6883,0.9479
11,,829,117.5391,34.8158,30.3171,23.9238,0.7540,1.1484,0.8708,0.9247
12,,20234,1120.9058,198.9956,129.4638,112.8643,0.2024,1.5371,0.6506,0.7910
13,,15870,855.3423,298.7935,67.6263,132.4947,0.2726,4.4183,0.2263,0.8602
14,,49,26.1421,8.9352,6.9824,90.8750,0.9010,1.2797,0.7814,0.8909
15,,12102,556.9676,174.5693,88.2672,98.1338,0.4902,1.9777,0.5056,0.8339
16,,1645,200.7523,84.1655,24.8853,108.1909,0.5129,3.3821,0.2957,0.9430
17,,125,43.1127,16.9137,9.4099,118.8312,0.8451,1.7974,0.5563,0.9058
18,,509,89.4975,31.6146,20.4994,86.5383,0.7986,1.5422,0.6484,0.9331
19,,101,36.8701,12.5973,10.2083,94.1967,0.9336,1.2340,0.8104,0.9018
20,,3249,299.4041,82.1747,50.3410,81.4841,0.4555,1.6324,0.6126,0.7554
21,,432,105.0538,43.4107,12.6706,120.3771,0.4919,3.4261,0.2919,0.8807
22,,450,89.5980,36.0308,15.9019,94.6831,0.7044,2.2658,0.4413,0.9444
23,,418,91.0538,40.1297,13.2623,46.9550,0.6336,3.0258,0.3305,0.9147
24,,28,19.3137,6.8084,5.2363,173.7614,0.9433,1.3002,0.7691,0.8889
