 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,235.1371,37,183,0,126,56,0,155.0806
2,,1,171.2548,565,334,0,594,177,0,159.6559
3,,1,159.8650,374,250,0,485,351,0,150.0733
4,,1,155.4680,317,291,0,317,426,0,135.0000
5,,1,155.4386,0,272,0,59,403,0,143.6732
6,,1,146.6224,35,200,0,137,295,0,139.3879
7,,1,145.7939,766,442,0,853,334,0,138.6831
8,,1,145.5513,37,183,0,122,75,0,137.4373
9,,1,135.0538,384,13,0,500,37,0,118.4567
10,,1,133.4975,678,0,0,795,35,0,122.1229
11,,1,131.7107,1023,622,0,973,511,0,121.7415
12,,1,128.9239,669,522,0,766,452,0,119.6202
13,,1,123.3970,989,135,0,994,32,0,103.1213
14,,1,123.0416,322,755,0,437,745,0,115.4340
15,,1,121.4558,474,534,0,480,422,0,112.1606
16,,1,120.4386,730,351,0,824,290,0,112.0580
17,,1,119.7817,203,223,0,260,318,0,110.7881
18,,1,117.5391,83,387,0,137,295,0,106.6771
19,,1,114.7523,646,426,0,729,355,0,109.2245
20,,1,113.9117,369,126,0,377,225,0,99.3227
21,,1,112.3259,88,669,0,125,572,0,103.8171
22,,1,111.3675,903,27,0,957,116,0,104.1009
23,,1,109.3675,726,127,0,785,47,0,99.4032
24,,1,109.2965,0,501,0,48,413,0,100.2397
25,,1,107.4975,647,117,0,682,210,0,99.3680
26,,1,105.4386,61,403,0,135,469,0,99.1564
27,,1,105.1838,487,79,0,581,106,0,97.8008
28,,1,103.1838,916,264,0,1008,237,0,95.8801
29,,1,102.1960,669,526,0,744,586,0,96.0469
30,,1,100.7817,162,369,0,235,429,0,94.4934
31,,1,100.4975,872,84,0,957,116,0,90.8240
32,,1,100.4680,895,259,0,957,193,0,90.5539
33,,1,98.1034,637,731,0,684,727,0,47.1699
34,,1,97.7401,467,620,0,506,701,0,89.8999
35,,1,97.6690,506,701,0,537,617,0,89.5377
36,,1,95.7401,794,557,0,828,635,0,85.0882
37,,1,95.5980,618,198,0,641,277,0,82.2800
38,,1,95.4264,842,167,0,872,84,0,88.2553
39,,1,95.2843,202,674,0,286,653,0,86.5852
40,,1,94.7279,903,27,0,994,32,0,91.1373
41,,1,94.6985,756,162,0,842,167,0,86.1452
42,,1,94.1838,62,729,0,96,677,0,62.1289
43,,1,93.5269,562,22,0,581,106,0,86.1220
44,,1,93.0122,336,599,0,417,608,0,81.4985
45,,1,92.9411,167,299,0,194,219,0,84.4334
46,,1,91.6985,510,186,0,593,165,0,85.6154
47,,1,91.6690,374,250,0,451,216,0,84.1724
48,,1,91.5685,408,485,0,474,534,0,82.2010
49,,1,91.3848,310,579,0,312,494,0,85.0235
50,,1,91.1543,880,347,0,904,413,0,70.2282
51,,1,91.0244,624,39,0,682,106,0,88.6172
52,,1,91.0122,877,694,0,956,665,0,84.1546
53,,1,90.1127,482,217,0,505,297,0,83.2406
54,,1,89.8112,956,761,0,884,718,0,83.8630
55,,1,89.3675,283,268,0,280,324,0,56.0803
56,,1,88.4558,437,745,0,510,725,0,75.6902
57,,1,88.2132,782,470,0,795,552,0,83.0241
58,,1,86.7696,49,584,0,125,572,0,76.9415
59,,1,85.8701,15,602,0,19,675,0,73.1095
60,,1,85.7696,607,113,0,617,38,0,75.6637
61,,1,85.0416,559,722,0,637,731,0,78.5175
62,,1,84.7696,282,579,0,286,653,0,74.1080
63,,1,84.7401,561,718,0,630,680,0,78.7718
64,,1,84.3259,159,385,0,203,447,0,76.0263
65,,1,83.2843,563,556,0,590,488,0,73.1642
66,,1,83.2254,601,460,0,652,518,0,77.2334
67,,1,83.1127,302,214,0,318,288,0,75.7100
68,,1,82.8701,729,355,0,750,428,0,75.9605
69,,1,82.4558,190,95,0,206,20,0,76.6877
70,,1,81.9828,440,142,0,482,206,0,76.5506
71,,1,81.5269,669,526,0,688,598,0,74.4648
72,,1,81.1127,206,573,0,277,576,0,71.0634
73,,1,79.5269,619,620,0,688,598,0,72.4224
74,,1,79.3259,879,340,0,917,277,0,73.5731
75,,1,79.2254,682,210,0,730,153,0,74.5185
76,,1,79.1421,608,546,0,619,620,0,74.8131
77,,1,78.9828,618,198,0,671,248,0,72.8629
78,,1,77.8406,222,17,0,287,20,0,65.0692
79,,1,77.5980,240,429,0,269,494,0,71.1758
80,,1,77.4975,1000,426,0,1008,488,0,62.5140
81,,1,76.8112,936,377,0,983,322,0,72.3464
82,,1,76.3553,795,552,0,861,527,0,70.5762
83,,1,76.1838,989,142,0,1003,206,0,65.5134
84,,1,76.1127,645,357,0,712,339,0,69.3758
85,,1,75.8701,801,703,0,810,635,0,68.5930
86,,1,75.4680,731,672,0,778,616,0,73.1095
87,,1,75.3259,505,297,0,565,334,0,70.4911
88,,1,75.2843,500,37,0,562,22,0,63.7887
89,,1,75.0122,408,682,0,437,745,0,69.3542
90,,1,74.9117,302,214,0,362,250,0,69.9714
91,,1,74.8995,134,389,0,139,461,0,72.1734
92,,1,74.8701,807,223,0,824,290,0,69.1231
93,,1,74.6985,0,452,0,48,413,0,61.8466
94,,1,73.5269,222,17,0,286,24,0,64.3817
95,,1,73.3259,647,670,0,705,633,0,68.7968
96,,1,73.1421,19,675,0,88,669,0,69.2604
97,,1,72.9117,152,110,0,200,156,0,66.4831
98,,1,72.8701,98,3,0,160,21,0,64.5600
99,,1,72.4975,921,609,0,956,665,0,66.0379
100,,1,71.8406,22,749,0,81,744,0,59.2115
101,,1,71.5980,146,549,0,206,573,0,64.6220
102,,1,70.9706,500,120,0,510,186,0,66.7533
103,,1,70.9117,865,522,0,905,470,0,65.6049
104,,1,70.1543,201,478,0,245,527,0,65.8559
105,,1,69.0122,286,653,0,316,597,0,63.5295
106,,1,68.0122,928,471,0,973,511,0,60.2080
107,,1,67.5685,647,670,0,690,718,0,64.4438
108,,1,67.0833,377,225,0,413,174,0,62.4260
109,,1,66.0122,783,760,0,748,712,0,59.4054
110,,1,66.0122,443,118,0,487,79,0,58.7963
111,,1,65.9411,543,399,0,590,426,0,54.2033
112,,1,65.4853,194,219,0,200,156,0,63.2851
113,,1,65.1421,1001,297,0,1008,237,0,60.4070
114,,1,65.0416,190,95,0,205,153,0,59.9083
115,,1,64.5685,836,216,0,882,258,0,62.2896
116,,1,64.5269,0,33,0,47,8,0,53.2353
117,,1,64.2548,957,193,0,989,142,0,60.2080
118,,1,64.1127,828,635,0,854,686,0,57.2451
119,,1,63.8406,707,91,0,746,48,0,58.0517
120,,1,63.6690,212,337,0,251,381,0,58.7963
121,,1,63.6690,642,295,0,692,294,0,50.0100
122,,1,63.0711,641,356,0,642,295,0,61.0082
123,,1,62.9411,366,50,0,418,75,0,57.6975
124,,1,62.8701,485,351,0,505,297,0,57.5847
125,,1,62.8406,247,154,0,294,120,0,58.0086
126,,1,62.6625,245,527,0,277,576,0,58.5235
127,,1,62.3848,19,675,0,28,732,0,57.7062
128,,1,62.3553,280,347,0,297,397,0,52.8110
129,,1,61.7401,86,12,0,126,56,0,59.4643
130,,1,61.4853,323,455,0,382,461,0,59.3043
131,,1,60.9706,14,255,0,20,199,0,56.3205
132,,1,60.6985,853,32,0,872,84,0,55.3624
133,,1,60.3259,318,288,0,362,250,0,58.1378
134,,1,60.0833,974,442,0,1008,488,0,57.2014
135,,1,59.8406,1021,362,0,983,322,0,55.1725
136,,1,59.2843,1014,375,0,1000,426,0,52.8867
137,,1,59.2426,795,35,0,853,32,0,58.0775
138,,1,59.0711,904,413,0,905,470,0,57.0088
139,,1,58.9117,413,174,0,451,216,0,56.6392
140,,1,58.2843,135,469,0,155,519,0,53.8516
141,,1,57.9117,164,520,0,201,478,0,55.9732
142,,1,57.8701,336,599,0,355,649,0,53.4883
143,,1,57.6690,369,126,0,413,159,0,55.0000
144,,1,57.4558,590,488,0,609,537,0,52.5547
145,,1,56.7279,748,712,0,801,703,0,53.7587
146,,1,56.5269,975,666,0,1007,704,0,49.6790
147,,1,55.8701,212,337,0,260,318,0,51.6236
148,,1,55.6274,806,703,0,854,686,0,50.9215
149,,1,55.3848,546,613,0,596,626,0,51.6624
150,,1,55.3137,630,680,0,637,731,0,51.4782
151,,1,55.1127,298,713,0,322,755,0,48.3735
152,,1,54.8701,1007,704,0,1013,658,0,46.3897
153,,1,54.7696,418,75,0,443,118,0,49.7393
154,,1,54.4853,148,679,0,96,677,0,52.0384
155,,1,53.8701,692,294,0,712,339,0,49.2443
156,,1,53.7279,853,32,0,903,27,0,50.2494
157,,1,53.2843,565,673,0,561,718,0,45.1774
158,,1,53.2843,705,633,0,731,672,0,46.8722
159,,1,52.6985,301,91,0,333,58,0,45.9674
160,,1,52.5563,240,429,0,251,381,0,49.2443
161,,1,52.1127,122,75,0,152,110,0,46.0977
162,,1,52.1127,121,765,0,81,744,0,45.1774
163,,1,51.8284,83,387,0,134,389,0,51.0392
164,,1,51.6985,377,649,0,408,682,0,45.2769
165,,1,51.6985,406,640,0,408,682,0,42.0476
166,,1,51.4558,615,626,0,633,670,0,47.5395
167,,1,51.4558,609,537,0,652,518,0,47.0106
168,,1,51.3848,957,193,0,1003,206,0,47.8017
169,,1,51.3553,849,291,0,882,258,0,46.6690
170,,1,51.0711,510,725,0,559,722,0,49.0918
171,,1,50.8701,825,487,0,782,470,0,46.2385
172,,1,50.7696,974,764,0,1007,731,0,46.6690
173,,1,50.3848,690,718,0,735,707,0,46.3249
174,,1,50.3553,950,466,0,975,506,0,47.1699
175,,1,49.9706,290,169,0,302,214,0,46.5725
176,,1,49.9706,563,556,0,608,546,0,46.0977
177,,1,49.9706,162,369,0,174,324,0,46.5725
178,,1,49.2843,827,743,0,806,703,0,45.1774
179,,1,49.2132,247,154,0,290,169,0,45.5412
180,,1,49.1127,483,553,0,517,581,0,44.0454
181,,1,48.8995,565,334,0,572,380,0,46.5296
182,,1,48.6274,255,381,0,297,397,0,44.9444
183,,1,48.5563,423,609,0,467,620,0,45.3542
184,,1,48.2132,164,520,0,206,535,0,44.5982
185,,1,48.0122,139,58,0,168,94,0,46.2277
186,,1,47.9411,769,199,0,807,223,0,44.9444
187,,1,47.8284,593,118,0,593,165,0,47.0000
188,,1,47.6985,962,398,0,995,425,0,42.6380
189,,1,47.4853,290,169,0,296,124,0,45.3982
190,,1,47.3848,487,79,0,500,37,0,43.9659
191,,1,47.3137,836,216,0,844,172,0,44.7214
192,,1,47.2426,160,21,0,206,20,0,46.0109
193,,1,46.8701,591,414,0,610,379,0,39.8246
194,,1,46.7990,366,50,0,384,13,0,41.1461
195,,1,45.9411,418,447,0,452,421,0,42.8019
196,,1,45.8701,680,39,0,699,77,0,42.4853
197,,1,45.6985,139,58,0,160,21,0,42.5441
198,,1,45.6274,350,90,0,369,126,0,40.7063
199,,1,45.6274,706,603,0,744,586,0,41.6293
200,,1,45.4853,849,291,0,853,334,0,43.1856
201,,1,44.2132,295,43,0,333,58,0,40.8534
202,,1,43.8284,269,494,0,312,494,0,43.0000
203,,1,43.5563,408,485,0,418,447,0,39.2938
204,,1,43.5563,312,494,0,323,455,0,40.5216
205,,1,43.3848,174,324,0,212,337,0,40.1622
206,,1,43.3848,671,248,0,682,210,0,39.5601
207,,1,43.3488,245,527,0,269,494,0,40.8044
208,,1,43.2426,205,153,0,247,154,0,42.0119
209,,1,43.2132,756,162,0,769,199,0,39.2173
210,,1,43.1838,450,577,0,423,609,0,41.8688
211,,1,43.1421,283,757,0,322,755,0,39.0512
212,,1,42.6985,951,298,0,917,277,0,39.9625
213,,1,42.4558,582,20,0,617,38,0,39.3573
214,,1,42.3137,47,8,0,86,12,0,39.2046
215,,1,42.3137,206,535,0,245,527,0,39.8121
216,,1,41.7990,382,461,0,418,447,0,38.6264
217,,1,41.6569,607,113,0,647,117,0,40.1995
218,,1,41.3553,895,350,0,920,381,0,39.8246
219,,1,41.2426,298,713,0,299,673,0,40.0125
220,,1,41.1127,720,452,0,750,428,0,38.4187
221,,1,41.1127,610,379,0,641,356,0,38.6005
222,,1,40.6985,770,586,0,794,557,0,37.6431
223,,1,40.3848,467,620,0,502,607,0,37.3363
224,,1,40.3848,699,77,0,711,43,0,36.0555
225,,1,40.1421,647,117,0,682,106,0,36.6879
226,,1,40.0416,203,447,0,235,429,0,36.7151
227,,1,39.8701,778,616,0,810,635,0,37.2156
228,,1,39.8701,957,116,0,989,135,0,37.2156
229,,1,39.6985,920,396,0,951,417,0,37.4433
230,,1,39.6274,674,265,0,692,294,0,34.1321
231,,1,39.4142,746,48,0,785,47,0,39.0128
232,,1,39.1421,502,607,0,537,617,0,36.4005
233,,1,39.1421,590,426,0,601,460,0,35.7351
234,,1,38.8284,206,535,0,206,573,0,38.0000
235,,1,38.5563,641,277,0,674,265,0,35.1141
236,,1,38.4558,297,397,0,317,426,0,35.2278
237,,1,38.0416,482,206,0,510,186,0,34.4093
238,,1,37.9706,637,0,0,656,26,0,32.2025
239,,1,37.9706,624,39,0,656,26,0,34.5398
240,,1,37.6274,936,377,0,962,398,0,33.4215
241,,1,37.4853,731,672,0,735,707,0,35.2278
242,,1,37.4558,543,399,0,572,380,0,34.6699
243,,1,37.4558,578,656,0,596,626,0,34.9857
244,,1,37.3848,975,506,0,1007,493,0,34.5398
245,,1,37.2843,316,0,0,287,20,0,35.2278
246,,1,37.0711,711,43,0,746,48,0,35.3553
247,,1,36.9706,492,378,0,517,397,0,31.4006
248,,1,36.5563,406,640,0,417,608,0,33.8378
249,,1,36.4853,878,176,0,844,172,0,34.2345
250,,1,36.3137,333,58,0,366,50,0,33.9559
251,,1,36.2843,0,171,0,20,199,0,34.4093
252,,1,36.2426,299,673,0,334,670,0,35.1283
253,,1,35.5563,580,383,0,591,414,0,32.8938
254,,1,35.0416,594,177,0,618,198,0,31.8904
255,,1,34.7990,983,322,0,1001,297,0,30.8058
256,,1,34.3137,146,549,0,155,519,0,31.3209
257,,1,34.3137,490,409,0,492,378,0,31.0644
258,,1,34.2843,543,582,0,563,556,0,32.8024
259,,1,34.1421,770,586,0,778,616,0,31.0483
260,,1,34.0416,413,159,0,440,142,0,31.9061
261,,1,33.8995,1003,206,0,1008,237,0,31.4006
262,,1,33.7990,741,191,0,769,199,0,29.1204
263,,1,33.4558,880,552,0,861,527,0,31.4006
264,,1,33.4558,125,572,0,146,549,0,31.1448
265,,1,33.0416,703,107,0,726,127,0,30.4795
266,,1,32.7279,377,649,0,406,640,0,30.3645
267,,1,32.6569,680,39,0,711,43,0,31.2570
268,,1,32.5563,590,488,0,601,460,0,30.0832
269,,1,32.2426,282,726,0,283,757,0,31.0161
270,,1,32.2426,543,582,0,546,613,0,31.1448
271,,1,32.2132,502,607,0,517,581,0,30.0167
272,,1,31.9706,892,530,0,865,522,0,28.1603
273,,1,31.8995,294,120,0,301,91,0,29.8329
274,,1,31.8995,807,223,0,836,216,0,29.8329
275,,1,31.8284,201,478,0,203,447,0,31.0644
276,,1,31.7990,346,696,0,334,670,0,28.6356
277,,1,31.6569,137,295,0,167,299,0,30.2655
278,,1,31.4853,317,426,0,323,455,0,29.6142
279,,1,31.4558,919,332,0,895,350,0,30.0000
280,,1,31.4142,451,216,0,482,217,0,31.0161
281,,1,31.2426,705,633,0,706,603,0,30.0167
282,,1,30.8701,334,670,0,355,649,0,29.6985
283,,1,30.7279,485,351,0,492,378,0,27.8927
284,,1,30.6274,227,207,0,203,223,0,28.8444
285,,1,30.3137,293,70,0,295,43,0,27.0740
286,,1,30.2843,973,1,0,995,21,0,29.7321
287,,1,30.2426,28,732,0,56,728,0,28.2843
288,,1,29.7279,730,153,0,756,162,0,27.5136
289,,1,29.3848,656,26,0,680,39,0,27.2947
290,,1,29.2132,61,403,0,83,387,0,27.2029
291,,1,29.2132,974,442,0,995,425,0,27.0185
292,,1,29.1421,951,417,0,961,442,0,26.9258
293,,1,28.7279,167,299,0,174,324,0,25.9615
294,,1,28.5563,950,466,0,961,442,0,26.4008
295,,1,28.4853,853,334,0,879,340,0,26.6833
296,,1,28.4142,452,421,0,480,422,0,28.0179
297,,1,28.2843,602,0,0,582,20,0,28.2843
298,,1,28.2132,1023,752,0,1007,731,0,26.4008
299,,1,28.0416,903,761,0,885,743,0,25.4558
300,,1,28.0000,282,579,0,310,579,0,28.0000
301,,1,27.8284,1007,704,0,1007,731,0,27.0000
302,,1,27.7990,1023,513,0,1007,493,0,25.6125
303,,1,27.6569,726,127,0,730,153,0,26.3059
304,,1,26.8995,877,694,0,884,718,0,25.0000
305,,1,26.8284,444,75,0,418,75,0,26.0000
306,,1,26.8284,517,397,0,543,399,0,26.0768
307,,1,26.6569,134,389,0,159,385,0,25.3180
308,,1,26.4142,517,581,0,543,582,0,26.0192
309,,1,26.3137,854,686,0,877,694,0,24.3516
310,,1,26.2426,884,718,0,885,743,0,25.0200
311,,1,26.1421,655,379,0,645,357,0,24.1661
312,,1,25.6569,661,727,0,637,731,0,24.3311
313,,1,25.6569,506,701,0,510,725,0,24.3311
314,,1,25.2426,440,142,0,443,118,0,24.1868
315,,1,25.2132,766,452,0,782,470,0,24.0832
316,,1,24.2132,904,413,0,920,396,0,23.3452
317,,1,24.1421,286,24,0,295,43,0,21.0238
318,,1,24.1421,951,417,0,962,398,0,21.9545
319,,1,24.0711,928,471,0,950,466,0,22.5610
320,,1,23.8284,280,324,0,280,347,0,23.0000
321,,1,23.7990,152,110,0,168,94,0,22.6274
322,,1,23.5563,474,534,0,483,553,0,21.0238
323,,1,23.4142,905,470,0,928,471,0,23.0217
324,,1,23.0711,895,259,0,916,264,0,21.5870
325,,1,22.9706,712,339,0,730,351,0,21.6333
326,,1,22.8995,478,573,0,483,553,0,20.6155
327,,1,22.4853,316,118,0,296,124,0,20.8806
328,,1,22.4853,260,318,0,280,324,0,20.8806
329,,1,22.4142,168,94,0,190,95,0,22.0227
330,,1,22.0711,262,731,0,282,726,0,20.6155
331,,1,22.0000,355,649,0,377,649,0,22.0000
332,,1,21.9706,267,364,0,255,381,0,20.8087
333,,1,21.8284,663,727,0,684,727,0,21.0000
334,,1,21.7990,750,428,0,766,442,0,21.2603
335,,1,21.4853,994,660,0,975,666,0,19.9249
336,,1,21.3848,368,0,0,384,13,0,20.6155
337,,1,20.8284,454,401,0,452,421,0,20.0998
338,,1,20.8284,316,597,0,336,599,0,20.0998
339,,1,20.8284,562,22,0,582,20,0,20.0998
340,,1,20.7279,292,74,0,301,91,0,19.2354
341,,1,20.7279,391,478,0,382,461,0,19.2354
342,,1,20.4853,41,26,0,47,8,0,18.9737
343,,1,20.4853,310,579,0,316,597,0,18.9737
344,,1,20.3848,267,362,0,280,347,0,19.8494
345,,1,20.3137,122,75,0,130,58,0,18.7883
346,,1,20.0711,688,598,0,706,603,0,18.6815
347,,1,19.7279,267,766,0,283,757,0,18.3576
348,,1,19.4853,22,749,0,28,732,0,18.0278
349,,1,19.4142,956,665,0,975,666,0,19.0263
350,,1,19.0000,596,626,0,615,626,0,19.0000
351,,1,18.6569,35,200,0,37,183,0,17.1172
352,,1,18.6569,652,518,0,669,522,0,17.4642
353,,1,18.4853,703,107,0,707,91,0,16.4924
354,,1,18.4142,641,277,0,642,295,0,18.0278
355,,1,18.2426,671,248,0,674,265,0,17.2627
356,,1,18.0000,810,635,0,828,635,0,18.0000
357,,1,17.8284,996,660,0,1013,658,0,17.1172
358,,1,17.6569,920,381,0,936,377,0,16.4924
359,,1,17.4853,393,479,0,408,485,0,16.1555
360,,1,17.4142,57,711,0,56,728,0,17.0294
361,,1,17.3137,699,77,0,707,91,0,16.1245
362,,1,17.2426,206,20,0,222,17,0,16.2788
363,,1,17.1421,480,422,0,490,409,0,16.4012
364,,1,16.8995,1009,14,0,995,21,0,15.6525
365,,1,16.7279,785,47,0,795,35,0,15.6205
366,,1,16.6569,595,379,0,580,383,0,15.5242
367,,1,16.0711,593,118,0,607,113,0,14.8661
368,,1,15.9640,896,401,0,904,413,0,14.4222
369,,1,15.8995,505,405,0,517,397,0,14.4222
370,,1,15.8284,920,381,0,920,396,0,15.0000
371,,1,15.7279,95,0,0,86,12,0,15.0000
372,,1,15.4142,20,199,0,35,200,0,15.0333
373,,1,15.3137,877,755,0,885,743,0,14.4222
374,,1,15.1421,48,413,0,59,403,0,14.8661
375,,1,14.8284,64,715,0,62,729,0,14.1421
376,,1,14.2426,503,406,0,490,409,0,13.3417
377,,1,14.0000,633,670,0,647,670,0,14.0000
378,,1,13.8284,593,165,0,594,177,0,12.0416
379,,1,13.4142,757,587,0,744,586,0,13.0384
380,,1,13.4142,882,258,0,895,259,0,13.0384
381,,1,13.0711,150,466,0,139,461,0,12.0830
382,,1,13.0000,597,379,0,610,379,0,13.0000
383,,1,13.0000,837,290,0,824,290,0,13.0000
384,,1,13.0000,961,442,0,974,442,0,13.0000
385,,1,12.8995,1020,648,0,1013,658,0,12.2066
386,,1,12.8284,376,238,0,374,250,0,12.1655
387,,1,12.8191,291,664,0,286,653,0,12.0830
388,,1,12.4142,590,426,0,591,414,0,12.0416
389,,1,12.0000,362,250,0,374,250,0,12.0000
390,,1,11.4142,759,587,0,770,586,0,11.0454
391,,1,11.4142,994,32,0,995,21,0,11.0454
392,,1,11.3137,88,669,0,96,677,0,11.3137
