 ,Angle,Frequency,Normalized Frequency
1,-90,2995.5433,0.0157
2,-89,2582.2205,0.0136
3,-88,2361.5560,0.0124
4,-87,1820.6570,0.0096
5,-86,1257.4091,0.0066
6,-85,1016.1779,0.0053
7,-84,972.9438,0.0051
8,-83,1198.5983,0.0063
9,-82,1080.9140,0.0057
10,-81,859.0964,0.0045
11,-80,800.0742,0.0042
12,-79,810.7653,0.0043
13,-78,912.7388,0.0048
14,-77,1175.6557,0.0062
15,-76,1329.4496,0.0070
16,-75,1507.9525,0.0079
17,-74,1491.7134,0.0078
18,-73,1350.9005,0.0071
19,-72,1371.5086,0.0072
20,-71,1215.5241,0.0064
21,-70,1083.8227,0.0057
22,-69,1054.4710,0.0055
23,-68,1236.0814,0.0065
24,-67,1362.7181,0.0072
25,-66,1310.1625,0.0069
26,-65,1253.0419,0.0066
27,-64,1218.0699,0.0064
28,-63,1115.4106,0.0059
29,-62,1049.9911,0.0055
30,-61,1062.1635,0.0056
31,-60,1142.9050,0.0060
32,-59,1279.8538,0.0067
33,-58,1235.9526,0.0065
34,-57,1408.0342,0.0074
35,-56,1653.1649,0.0087
36,-55,2014.2090,0.0106
37,-54,1879.4017,0.0099
38,-53,1722.7442,0.0091
39,-52,1915.4522,0.0101
40,-51,2054.0599,0.0108
41,-50,2523.5543,0.0133
42,-49,3423.3975,0.0180
43,-48,4273.2125,0.0225
44,-47,3337.2623,0.0175
45,-46,2902.1812,0.0153
46,-45,2939.5301,0.0155
47,-44,2826.5318,0.0149
48,-43,2796.3206,0.0147
49,-42,3246.6859,0.0171
50,-41,2334.5042,0.0123
51,-40,1991.7393,0.0105
52,-39,1752.0967,0.0092
53,-38,1843.7230,0.0097
54,-37,1065.1800,0.0056
55,-36,709.0270,0.0037
56,-35,691.0510,0.0036
57,-34,630.4799,0.0033
58,-33,467.6306,0.0025
59,-32,408.3981,0.0021
60,-31,495.8939,0.0026
61,-30,322.3893,0.0017
62,-29,242.8708,0.0013
63,-28,108.0922,0.0006
64,-27,33.4214,0.0002
65,-26,5.4529,2.866E-5
66,-25,10.3939,5.463E-5
67,-24,6.3548,3.340E-5
68,-23,0.0000,0.0000
69,-22,6.4926,3.413E-5
70,-21,20.3344,0.0001
71,-20,67.6458,0.0004
72,-19,179.5967,0.0009
73,-18,238.6587,0.0013
74,-17,272.3986,0.0014
75,-16,279.7646,0.0015
76,-15,343.0059,0.0018
77,-14,457.0280,0.0024
78,-13,611.5353,0.0032
79,-12,535.3613,0.0028
80,-11,456.2208,0.0024
81,-10,569.7407,0.0030
82,-9,744.2287,0.0039
83,-8,710.2991,0.0037
84,-7,762.4970,0.0040
85,-6,726.9947,0.0038
86,-5,758.4377,0.0040
87,-4,676.2346,0.0036
88,-3,652.6088,0.0034
89,-2,651.4786,0.0034
90,-1,807.0091,0.0042
91,0,1022.7368,0.0054
92,1,1217.6866,0.0064
93,2,1381.9271,0.0073
94,3,1230.1182,0.0065
95,4,1027.7141,0.0054
96,5,1535.2715,0.0081
97,6,1311.2662,0.0069
98,7,1377.7156,0.0072
99,8,997.5316,0.0052
100,9,736.2545,0.0039
101,10,529.1070,0.0028
102,11,415.6271,0.0022
103,12,297.4785,0.0016
104,13,298.8826,0.0016
105,14,362.6923,0.0019
106,15,348.5240,0.0018
107,16,274.6401,0.0014
108,17,188.3774,0.0010
109,18,182.4543,0.0010
110,19,231.7267,0.0012
111,20,338.8364,0.0018
112,21,792.6946,0.0042
113,22,587.0179,0.0031
114,23,378.1588,0.0020
115,24,443.6391,0.0023
116,25,518.1566,0.0027
117,26,509.9167,0.0027
118,27,345.8554,0.0018
119,28,335.0776,0.0018
120,29,272.4841,0.0014
121,30,230.0707,0.0012
122,31,230.3890,0.0012
123,32,283.8550,0.0015
124,33,450.5433,0.0024
125,34,747.7650,0.0039
126,35,644.5742,0.0034
127,36,639.3624,0.0034
128,37,710.4119,0.0037
129,38,921.1057,0.0048
130,39,1710.9385,0.0090
131,40,1766.7186,0.0093
132,41,1307.5751,0.0069
133,42,1273.0560,0.0067
134,43,1013.5397,0.0053
135,44,920.2402,0.0048
136,45,1003.5153,0.0053
137,46,1386.8768,0.0073
138,47,1628.9019,0.0086
139,48,1796.2928,0.0094
140,49,1794.0843,0.0094
141,50,1786.3011,0.0094
142,51,2022.2493,0.0106
143,52,2003.8546,0.0105
144,53,1750.3672,0.0092
145,54,1700.3411,0.0089
146,55,1719.8856,0.0090
147,56,1768.8021,0.0093
148,57,1204.4753,0.0063
149,58,813.9295,0.0043
150,59,465.2376,0.0024
151,60,474.9302,0.0025
152,61,741.2137,0.0039
153,62,731.1149,0.0038
154,63,451.8626,0.0024
155,64,237.6276,0.0012
156,65,182.8578,0.0010
157,66,145.2151,0.0008
158,67,164.0314,0.0009
159,68,199.6768,0.0010
160,69,251.0483,0.0013
161,70,299.9706,0.0016
162,71,492.7866,0.0026
163,72,764.7770,0.0040
164,73,795.3580,0.0042
165,74,807.7995,0.0042
166,75,522.3503,0.0027
167,76,531.1481,0.0028
168,77,496.6503,0.0026
169,78,533.9073,0.0028
170,79,581.4529,0.0031
171,80,578.7471,0.0030
172,81,673.1474,0.0035
173,82,888.7824,0.0047
174,83,1154.1230,0.0061
175,84,1118.0690,0.0059
176,85,1144.7214,0.0060
177,86,1282.9017,0.0067
178,87,1710.7215,0.0090
179,88,1908.3799,0.0100
180,89,1728.3558,0.0091
