 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,4552,362.4752,83.7657,69.1905,151.3005,0.4354,1.2107,0.8260,0.7632
2,,323,71.0122,27.3527,15.0353,163.6546,0.8049,1.8192,0.5497,0.9308
3,,6434,390.6173,96.8266,84.6051,29.9792,0.5299,1.1445,0.8738,0.8884
4,,1697,189.3797,53.7816,40.1752,127.4755,0.5946,1.3387,0.7470,0.8292
5,,904,120.1249,44.5736,25.8226,67.8913,0.7872,1.7261,0.5793,0.9496
6,,684,116.8528,49.8763,17.4611,135.8008,0.6295,2.8564,0.3501,0.9312
7,,668,115.3970,46.6530,18.2309,109.0526,0.6304,2.5590,0.3908,0.9369
8,,2286,215.4214,79.5821,36.5739,149.1243,0.6190,2.1759,0.4596,0.9354
9,,46,24.3848,8.7217,6.7154,142.0247,0.9721,1.2988,0.7700,0.9020
10,,968,161.0366,67.9416,18.1405,136.0987,0.4691,3.7453,0.2670,0.8996
11,,109,40.0416,15.5991,8.8969,160.1900,0.8543,1.7533,0.5703,0.9121
12,,436,101.2965,44.0779,12.5944,121.0534,0.5340,3.4998,0.2857,0.9036
13,,667,115.0538,43.7082,19.4300,60.2492,0.6332,2.2495,0.4445,0.8799
14,,8012,592.3402,134.0339,76.1091,56.7385,0.2870,1.7611,0.5678,0.6630
15,,6983,333.2203,104.0870,85.4192,30.0646,0.7903,1.2185,0.8207,0.9699
16,,4223,291.0610,103.4670,51.9672,41.2904,0.6264,1.9910,0.5023,0.9461
17,,153,46.2843,17.5947,11.0719,130.9416,0.8975,1.5891,0.6293,0.9245
18,,11189,446.6417,150.3407,94.7600,87.6449,0.7048,1.5865,0.6303,0.9378
19,,5177,412.7178,99.5878,66.1885,18.8325,0.3819,1.5046,0.6646,0.8575
20,,8820,440.2569,129.0939,86.9907,75.3576,0.5718,1.4840,0.6739,0.9083
21,,182,49.6985,16.9053,13.7075,114.7176,0.9260,1.2333,0.8108,0.9309
22,,180,55.8406,23.2437,9.8600,46.2921,0.7254,2.3574,0.4242,0.8889
23,,1583,169.8234,57.1798,35.2491,115.6707,0.6898,1.6222,0.6165,0.9462
24,,1270,156.5097,59.0392,27.3888,68.2765,0.6515,2.1556,0.4639,0.9294
25,,1136,204.5513,95.0185,15.2223,115.7184,0.3412,6.2421,0.1602,0.9158
26,,668,103.0538,37.4534,22.7088,117.6651,0.7904,1.6493,0.6063,0.9402
27,,1383,159.9239,65.4235,26.9152,155.2331,0.6795,2.4307,0.4114,0.9508
28,,5383,319.3625,116.8941,58.6330,99.0545,0.6632,1.9937,0.5016,0.9472
29,,334,67.8406,21.6274,19.6631,49.2538,0.9120,1.0999,0.9092,0.9408
30,,8402,416.4163,139.5693,76.6484,117.0882,0.6089,1.8209,0.5492,0.9106
31,,4861,307.1787,113.2431,54.6542,96.4280,0.6474,2.0720,0.4826,0.9706
32,,513,89.7401,31.4609,20.7614,47.4995,0.8005,1.5154,0.6599,0.9413
33,,3970,362.7939,152.5062,33.1446,95.8637,0.3790,4.6012,0.2173,0.9223
34,,1630,195.2376,78.3604,26.4851,17.3124,0.5374,2.9587,0.3380,0.9272
35,,359,92.6690,39.3155,11.6263,111.7020,0.5253,3.3816,0.2957,0.9077
36,,309,65.8406,23.4513,16.7765,112.0767,0.8957,1.3979,0.7154,0.9364
37,,788,108.2254,37.4557,26.7867,130.5667,0.8454,1.3983,0.7152,0.9505
38,,4645,285.5046,93.9375,62.9589,119.5931,0.7161,1.4920,0.6702,0.9453
39,,815,160.0244,72.2688,14.3588,109.8102,0.3999,5.0331,0.1987,0.8022
40,,5021,369.6884,119.1395,53.6592,55.4165,0.4617,2.2203,0.4504,0.8727
41,,459,101.5391,44.8337,13.0352,55.1375,0.5594,3.4394,0.2907,0.8532
42,,14642,518.2986,144.9454,128.6193,100.6048,0.6849,1.1269,0.8874,0.9395
43,,101,38.6274,13.8994,9.2520,93.0730,0.8506,1.5023,0.6656,0.9058
44,,2882,256.0488,109.0439,33.6514,61.6894,0.5524,3.2404,0.3086,0.9135
45,,635,97.9828,34.5990,23.3680,18.8536,0.8312,1.4806,0.6754,0.9338
46,,2237,195.2792,75.6022,37.6740,123.5985,0.7372,2.0067,0.4983,0.9609
47,,1122,178.4264,82.1430,17.3913,85.9431,0.4429,4.7232,0.2117,0.9433
48,,751,105.2965,36.1777,26.4307,46.4083,0.8512,1.3688,0.7306,0.9518
49,,66,28.9706,9.3819,8.9570,4.3186,0.9882,1.0474,0.9547,0.9296
50,,7641,446.8427,134.0854,72.5569,84.5294,0.4809,1.8480,0.5411,0.8382
51,,8995,596.9676,115.4643,99.1890,113.8612,0.3172,1.1641,0.8590,0.7721
52,,586,103.6396,38.9498,19.1559,125.7854,0.6856,2.0333,0.4918,0.8733
53,,167,67.0122,28.5840,7.4388,117.2460,0.4673,3.8426,0.2602,0.8456
54,,20,16.4853,6.5108,3.9111,5.7168,0.9248,1.6647,0.6007,0.9091
55,,60,29.5563,10.4488,7.3113,176.4496,0.8631,1.4291,0.6997,0.9023
56,,351,80.1838,30.1825,14.8068,95.4948,0.6860,2.0384,0.4906,0.9164
57,,13,12.4853,4.2530,3.8919,120.9638,1.0000,1.0928,0.9151,0.8966
58,,143,44.5269,16.5924,10.9733,126.3116,0.9064,1.5121,0.6613,0.9196
59,,1455,175.0538,75.8202,24.4337,97.7327,0.5967,3.1031,0.3223,0.9200
60,,10177,418.0315,153.1232,84.6231,87.8007,0.7318,1.8095,0.5526,0.9607
61,,11,11.0711,4.3837,3.1950,15.0707,1.0000,1.3721,0.7288,0.9565
62,,754,114.3675,45.6693,21.0212,124.1631,0.7244,2.1725,0.4603,0.9396
63,,1307,178.0244,69.0130,24.1132,97.7701,0.5182,2.8620,0.3494,0.8638
64,,310,68.5269,27.1336,14.5467,94.4449,0.8296,1.8653,0.5361,0.9524
65,,3317,242.9361,81.0897,52.0822,91.7289,0.7063,1.5570,0.6423,0.9398
66,,351,71.8406,26.1420,17.0954,116.3107,0.8546,1.5292,0.6539,0.9385
67,,86,33.4558,10.8469,10.0949,26.4052,0.9655,1.0745,0.9307,0.9053
68,,779,109.5391,39.6489,25.0159,124.5494,0.8158,1.5849,0.6309,0.9346
69,,331,70.6690,27.6204,15.2584,139.6500,0.8329,1.8102,0.5524,0.9377
70,,10088,541.4285,171.6908,74.8115,153.6548,0.4324,2.2950,0.4357,0.8226
71,,522,103.7401,43.4171,15.3081,109.7945,0.6095,2.8362,0.3526,0.9214
72,,3513,236.9777,68.9304,64.8900,69.9347,0.7861,1.0623,0.9414,0.9357
73,,45,24.3848,8.7314,6.5620,155.2198,0.9510,1.3306,0.7515,0.8911
74,,157,45.6985,15.7446,12.6963,42.7096,0.9447,1.2401,0.8064,0.9235
75,,623,110.3259,42.0763,18.8521,75.3007,0.6432,2.2319,0.4480,0.9175
76,,1044,129.3970,51.0009,26.0635,99.8814,0.7835,1.9568,0.5110,0.9596
77,,1598,181.8234,64.7814,31.4077,114.3114,0.6074,2.0626,0.4848,0.8605
78,,398,85.1543,33.6986,15.0377,134.5147,0.6897,2.2409,0.4462,0.9213
79,,207,58.2843,23.0833,11.4178,159.4640,0.7657,2.0217,0.4946,0.9159
80,,497,99.1543,42.3438,14.9443,158.2547,0.6352,2.8334,0.3529,0.9264
81,,1724,158.3675,49.8932,43.9952,30.9793,0.8638,1.1341,0.8818,0.9685
82,,238,57.3553,19.4520,15.5784,99.0673,0.9092,1.2487,0.8009,0.9333
83,,26,18.1421,6.6815,4.9546,69.8626,0.9927,1.3486,0.7415,0.8814
84,,238,65.1127,27.5806,10.9871,82.5851,0.7054,2.5103,0.3984,0.9352
85,,438,79.4975,28.0430,19.8865,160.3388,0.8709,1.4102,0.7091,0.9429
