 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,288.3036,60,553,0,279,399,0,267.7256
2,,1,273.8944,81,651,0,319,714,0,246.1971
3,,1,235.6274,62,96,0,62,325,0,229.0000
4,,1,210.0955,720,300,0,888,379,0,185.6475
5,,1,206.7401,529,324,0,720,300,0,192.5019
6,,1,205.7229,653,599,0,730,742,0,162.4131
7,,1,196.9533,59,632,0,96,739,0,113.2166
8,,1,196.6569,60,553,0,62,358,0,195.0103
9,,1,193.8061,509,612,0,620,759,0,184.2010
10,,1,189.0071,747,493,0,891,390,0,177.0452
11,,1,183.9828,214,613,0,381,572,0,171.9593
12,,1,183.6274,813,173,0,990,181,0,177.1807
13,,1,182.4092,967,656,0,976,503,0,153.2645
14,,1,180.4264,452,733,0,620,759,0,170.0000
15,,1,172.6518,167,46,0,263,76,0,100.5783
16,,1,160.9239,62,96,0,196,161,0,148.9329
17,,1,153.0660,923,392,0,989,291,0,120.6524
18,,1,147.2843,437,117,0,576,137,0,140.4315
19,,1,146.0244,678,601,0,736,723,0,135.0852
20,,1,140.0955,137,47,0,196,161,0,128.3628
21,,1,139.1960,384,662,0,499,611,0,125.8014
22,,1,138.4386,686,0,0,597,84,0,122.3806
23,,1,138.4264,62,325,0,188,297,0,129.0736
24,,1,137.8584,529,324,0,622,420,0,133.6600
25,,1,135.9949,850,762,0,920,655,0,127.8632
26,,1,135.9655,736,723,0,832,635,0,130.2306
27,,1,135.1249,583,534,0,622,420,0,120.4865
28,,1,127.8528,622,420,0,713,492,0,116.0388
29,,1,127.2254,219,767,0,319,714,0,113.1769
30,,1,120.6690,381,300,0,387,406,0,106.1697
31,,1,120.4680,1014,757,0,967,656,0,111.4002
32,,1,120.0416,813,173,0,828,286,0,113.9912
33,,1,118.0244,522,0,0,453,83,0,107.9352
34,,1,116.4264,235,182,0,339,212,0,108.2405
35,,1,115.8284,874,293,0,989,291,0,115.0174
36,,1,113.7990,720,300,0,828,286,0,108.9036
37,,1,110.1665,506,181,0,429,254,0,106.1037
38,,1,108.0538,341,98,0,375,187,0,95.2733
39,,1,107.7523,642,568,0,713,492,0,104.0048
40,,1,106.8995,678,601,0,782,606,0,104.1201
41,,1,105.5685,597,84,0,661,147,0,89.8053
42,,1,105.2548,497,416,0,529,324,0,97.4064
43,,1,105.0538,290,295,0,339,212,0,96.3846
44,,1,104.4264,1021,444,0,936,419,0,88.6002
45,,1,104.1249,509,612,0,592,561,0,97.4166
46,,1,102.8284,188,297,0,290,295,0,102.0196
47,,1,101.4264,433,284,0,522,314,0,93.9202
48,,1,99.8406,868,497,0,781,528,0,92.3580
49,,1,98.3553,81,651,0,96,739,0,89.2693
50,,1,96.2670,920,565,0,859,636,0,93.6056
51,,1,95.2965,387,470,0,462,519,0,89.5879
52,,1,92.8995,381,572,0,384,662,0,90.0500
53,,1,92.6274,874,293,0,888,379,0,87.1321
54,,1,91.2965,375,187,0,424,116,0,86.2670
