 ,Angle,Frequency,Normalized Frequency
1,-90,20323.9708,0.0531
2,-89,9327.7950,0.0244
3,-88,4874.9620,0.0127
4,-87,3363.3214,0.0088
5,-86,2581.0599,0.0067
6,-85,1826.8116,0.0048
7,-84,1596.1639,0.0042
8,-83,1287.2080,0.0034
9,-82,1110.7092,0.0029
10,-81,1013.2242,0.0026
11,-80,869.8004,0.0023
12,-79,674.7811,0.0018
13,-78,559.1277,0.0015
14,-77,481.2991,0.0013
15,-76,476.6282,0.0012
16,-75,447.3837,0.0012
17,-74,441.5671,0.0012
18,-73,412.9163,0.0011
19,-72,394.8141,0.0010
20,-71,395.2820,0.0010
21,-70,393.5812,0.0010
22,-69,378.4710,0.0010
23,-68,376.5480,0.0010
24,-67,390.3363,0.0010
25,-66,506.2096,0.0013
26,-65,723.5829,0.0019
27,-64,815.9817,0.0021
28,-63,856.7386,0.0022
29,-62,790.0087,0.0021
30,-61,1237.0094,0.0032
31,-60,1141.7292,0.0030
32,-59,1261.6678,0.0033
33,-58,1269.8040,0.0033
34,-57,1114.0574,0.0029
35,-56,973.5688,0.0025
36,-55,1057.0756,0.0028
37,-54,1140.9418,0.0030
38,-53,978.5631,0.0026
39,-52,992.5582,0.0026
40,-51,1317.1310,0.0034
41,-50,1467.5540,0.0038
42,-49,3166.5441,0.0083
43,-48,4396.3922,0.0115
44,-47,2403.5067,0.0063
45,-46,2127.3483,0.0056
46,-45,2359.8595,0.0062
47,-44,4660.3253,0.0122
48,-43,6596.7003,0.0172
49,-42,3433.1364,0.0090
50,-41,1955.9164,0.0051
51,-40,1789.6783,0.0047
52,-39,1909.1056,0.0050
53,-38,1680.5853,0.0044
54,-37,1522.7061,0.0040
55,-36,1498.1334,0.0039
56,-35,1085.3307,0.0028
57,-34,828.7953,0.0022
58,-33,712.9130,0.0019
59,-32,618.1434,0.0016
60,-31,571.4531,0.0015
61,-30,534.8548,0.0014
62,-29,540.9439,0.0014
63,-28,539.7625,0.0014
64,-27,566.7286,0.0015
65,-26,665.2698,0.0017
66,-25,807.1840,0.0021
67,-24,1100.7554,0.0029
68,-23,1043.5256,0.0027
69,-22,1193.1932,0.0031
70,-21,1632.9479,0.0043
71,-20,2223.1361,0.0058
72,-19,4168.2745,0.0109
73,-18,3961.0084,0.0104
74,-17,3045.1237,0.0080
75,-16,3132.6420,0.0082
76,-15,3319.7726,0.0087
77,-14,2520.2438,0.0066
78,-13,1896.7235,0.0050
79,-12,1629.4242,0.0043
80,-11,1564.6294,0.0041
81,-10,1709.0377,0.0045
82,-9,1999.6263,0.0052
83,-8,2666.5018,0.0070
84,-7,3177.0209,0.0083
85,-6,5181.4523,0.0135
86,-5,5735.1476,0.0150
87,-4,8427.3409,0.0220
88,-3,6707.5626,0.0175
89,-2,6781.8761,0.0177
90,-1,6716.4669,0.0176
91,0,12511.8107,0.0327
92,1,5250.4396,0.0137
93,2,2669.8046,0.0070
94,3,2292.9073,0.0060
95,4,2262.3544,0.0059
96,5,1592.1417,0.0042
97,6,1363.8060,0.0036
98,7,1308.0336,0.0034
99,8,1426.0945,0.0037
100,9,1119.9926,0.0029
101,10,978.0854,0.0026
102,11,1040.4669,0.0027
103,12,1320.8120,0.0035
104,13,1439.4039,0.0038
105,14,1348.6454,0.0035
106,15,1769.2560,0.0046
107,16,5101.5734,0.0133
108,17,3178.7001,0.0083
109,18,1563.4689,0.0041
110,19,1096.5042,0.0029
111,20,1315.1758,0.0034
112,21,1526.6477,0.0040
113,22,1360.7513,0.0036
114,23,1084.3878,0.0028
115,24,848.3090,0.0022
116,25,826.8878,0.0022
117,26,857.8457,0.0022
118,27,783.9163,0.0020
119,28,804.9432,0.0021
120,29,1402.4880,0.0037
121,30,1633.1093,0.0043
122,31,1110.5568,0.0029
123,32,1034.0264,0.0027
124,33,1098.7745,0.0029
125,34,1180.0132,0.0031
126,35,1457.2471,0.0038
127,36,1832.4681,0.0048
128,37,1785.3070,0.0047
129,38,1945.3683,0.0051
130,39,2333.1652,0.0061
131,40,2763.4264,0.0072
132,41,2984.7047,0.0078
133,42,2944.8126,0.0077
134,43,6007.8737,0.0157
135,44,11415.3898,0.0298
136,45,5385.9777,0.0141
137,46,4733.4811,0.0124
138,47,4088.5768,0.0107
139,48,3556.3776,0.0093
140,49,2604.4459,0.0068
141,50,1875.8319,0.0049
142,51,1669.9772,0.0044
143,52,1674.2006,0.0044
144,53,1655.4059,0.0043
145,54,1599.1000,0.0042
146,55,1621.2504,0.0042
147,56,1917.7770,0.0050
148,57,1452.4150,0.0038
149,58,1017.5156,0.0027
150,59,844.2277,0.0022
151,60,658.1080,0.0017
152,61,535.5474,0.0014
153,62,424.3570,0.0011
154,63,394.1111,0.0010
155,64,155.4869,0.0004
156,65,41.2104,0.0001
157,66,47.4298,0.0001
158,67,29.2873,7.655E-5
159,68,0.0000,0.0000
160,69,32.7859,8.569E-5
161,70,33.2451,8.689E-5
162,71,14.1472,3.698E-5
163,72,21.3467,5.579E-5
164,73,28.6442,7.487E-5
165,74,68.7999,0.0002
166,75,89.6818,0.0002
167,76,301.1136,0.0008
168,77,625.5183,0.0016
169,78,503.5417,0.0013
170,79,534.1413,0.0014
171,80,634.3990,0.0017
172,81,815.9950,0.0021
173,82,714.9236,0.0019
174,83,701.5522,0.0018
175,84,840.7026,0.0022
176,85,1083.8510,0.0028
177,86,1317.3586,0.0034
178,87,1399.8070,0.0037
179,88,1835.9393,0.0048
180,89,5639.7628,0.0147
