 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,744,110.1249,42.4409,22.3202,150.4890,0.7709,1.9015,0.5259,0.9448
2,,111,40.7279,15.5129,9.1105,172.2105,0.8409,1.7027,0.5873,0.9487
3,,8721,457.4457,174.8444,63.5075,156.1970,0.5237,2.7531,0.3632,0.9414
4,,1826,187.0366,62.2653,37.3392,149.9210,0.6559,1.6676,0.5997,0.9391
5,,237,69.1127,29.5916,10.1974,167.9010,0.6235,2.9019,0.3446,0.9063
6,,818,119.1960,39.7512,26.2007,146.2509,0.7235,1.5172,0.6591,0.9243
7,,7455,541.1270,129.7661,73.1470,155.3607,0.3199,1.7740,0.5637,0.7530
8,,14895,668.0143,209.7808,90.4034,170.5201,0.4194,2.3205,0.4309,0.9140
9,,15214,551.7645,218.0961,88.8190,175.5138,0.6280,2.4555,0.4072,0.9772
10,,1953,190.9949,70.4334,35.3048,2.9127,0.6728,1.9950,0.5013,0.9595
11,,59,27.3137,8.8128,8.5241,125.5377,0.9938,1.0339,0.9672,0.9593
12,,1952,199.6812,71.3896,34.8141,12.0634,0.6152,2.0506,0.4877,0.9654
13,,5001,342.0488,124.7698,51.0337,0.1768,0.5371,2.4449,0.4090,0.9006
14,,73,30.3848,10.2835,9.0384,11.5217,0.9936,1.1378,0.8789,0.9241
15,,1947,239.3381,97.3523,25.4642,165.8896,0.4271,3.8231,0.2616,0.9472
16,,6434,380.5341,147.3448,55.5976,90.6189,0.5583,2.6502,0.3773,0.9317
17,,17191,660.1392,249.1653,87.8463,160.9257,0.4957,2.8364,0.3526,0.9727
18,,633,108.5685,41.7662,19.2970,24.8580,0.6748,2.1644,0.4620,0.9214
19,,766,145.9239,52.0380,18.7421,60.1311,0.4520,2.7765,0.3602,0.7595
20,,10357,542.3402,142.4272,92.5872,48.6383,0.4425,1.5383,0.6501,0.8415
21,,42541,1231.2834,274.8006,197.1062,58.3696,0.3526,1.3942,0.7173,0.9442
22,,5073,302.8772,119.7543,53.9366,119.5335,0.6949,2.2203,0.4504,0.9638
23,,16064,851.0925,198.5376,103.0199,137.6854,0.2787,1.9272,0.5189,0.8610
24,,3023,244.6934,81.7309,47.0936,137.7363,0.6345,1.7355,0.5762,0.9333
25,,121,41.2132,14.5864,10.5621,108.1773,0.8952,1.3810,0.7241,0.9237
26,,666,126.3259,52.6980,16.0913,97.6048,0.5244,3.2749,0.3053,0.8335
27,,38,26.1421,10.4520,4.6291,4.8119,0.6987,2.2579,0.4429,0.8539
28,,1626,171.4802,59.2453,34.9443,156.5699,0.6949,1.6954,0.5898,0.8988
29,,2105,177.6812,61.8739,43.3166,26.0742,0.8379,1.4284,0.7001,0.9718
30,,4261,271.0782,74.4667,72.8550,138.8410,0.7287,1.0221,0.9784,0.9545
31,,10460,567.3524,163.3523,81.5298,158.8514,0.4084,2.0036,0.4991,0.8808
32,,1579,185.9655,75.1959,26.7361,119.5915,0.5738,2.8125,0.3556,0.9075
33,,2319,209.5219,82.9999,35.5740,126.0786,0.6638,2.3332,0.4286,0.9579
34,,660,107.0122,45.0392,18.6579,0.5333,0.7242,2.4139,0.4143,0.9510
35,Mean,5497.7353,297.8099,95.6637,47.2161,104.0617,0.6200,2.0984,0.5262,0.9167
36,SD,8329.6100,270.9011,72.4497,39.2144,61.7053,0.1776,0.6491,0.1780,0.0553
37,Min,38,26.1421,8.8128,4.6291,0.1768,0.2787,1.0221,0.2616,0.7530
38,Max,42541,1231.2834,274.8006,197.1062,175.5138,0.9938,3.8231,0.9784,0.9772
