 ,Angle,Frequency,Normalized Frequency
1,-90,1320.3114,0.0049
2,-89,1168.6028,0.0043
3,-88,772.0659,0.0029
4,-87,668.8606,0.0025
5,-86,767.2736,0.0029
6,-85,562.0583,0.0021
7,-84,276.2709,0.0010
8,-83,373.5986,0.0014
9,-82,596.0834,0.0022
10,-81,499.3307,0.0019
11,-80,245.7993,0.0009
12,-79,347.5938,0.0013
13,-78,458.6509,0.0017
14,-77,556.4391,0.0021
15,-76,518.6663,0.0019
16,-75,502.6713,0.0019
17,-74,669.8918,0.0025
18,-73,794.5793,0.0030
19,-72,868.2748,0.0032
20,-71,993.4851,0.0037
21,-70,1084.1538,0.0040
22,-69,1423.5143,0.0053
23,-68,1680.1786,0.0062
24,-67,1455.4081,0.0054
25,-66,1579.7672,0.0059
26,-65,1865.4972,0.0069
27,-64,966.3711,0.0036
28,-63,840.2831,0.0031
29,-62,644.9427,0.0024
30,-61,483.4330,0.0018
31,-60,379.0355,0.0014
32,-59,369.0605,0.0014
33,-58,407.6708,0.0015
34,-57,363.1536,0.0014
35,-56,426.5488,0.0016
36,-55,547.1550,0.0020
37,-54,530.9858,0.0020
38,-53,335.3135,0.0012
39,-52,345.7886,0.0013
40,-51,342.4402,0.0013
41,-50,352.6281,0.0013
42,-49,424.3556,0.0016
43,-48,328.0717,0.0012
44,-47,403.1416,0.0015
45,-46,800.0420,0.0030
46,-45,913.8015,0.0034
47,-44,2115.4803,0.0079
48,-43,1823.9845,0.0068
49,-42,1506.4899,0.0056
50,-41,1370.3507,0.0051
51,-40,1376.1681,0.0051
52,-39,1441.2943,0.0054
53,-38,1484.3390,0.0055
54,-37,932.8810,0.0035
55,-36,792.0022,0.0029
56,-35,663.7727,0.0025
57,-34,625.6173,0.0023
58,-33,632.7443,0.0024
59,-32,608.9152,0.0023
60,-31,620.1678,0.0023
61,-30,685.2144,0.0025
62,-29,740.3477,0.0028
63,-28,891.2112,0.0033
64,-27,856.7451,0.0032
65,-26,763.3833,0.0028
66,-25,914.3101,0.0034
67,-24,1079.9862,0.0040
68,-23,623.7236,0.0023
69,-22,579.2063,0.0022
70,-21,661.3024,0.0025
71,-20,849.5367,0.0032
72,-19,2429.4198,0.0090
73,-18,3413.2040,0.0127
74,-17,2254.9840,0.0084
75,-16,1615.5768,0.0060
76,-15,1747.7262,0.0065
77,-14,1546.8873,0.0058
78,-13,1587.8434,0.0059
79,-12,1699.1720,0.0063
80,-11,1751.0114,0.0065
81,-10,1771.3900,0.0066
82,-9,2546.2264,0.0095
83,-8,3518.9901,0.0131
84,-7,1857.8695,0.0069
85,-6,1729.3983,0.0064
86,-5,1828.2843,0.0068
87,-4,2418.9550,0.0090
88,-3,3978.3817,0.0148
89,-2,5193.7562,0.0193
90,-1,5158.6532,0.0192
91,0,9973.4159,0.0371
92,1,7910.6991,0.0294
93,2,9043.7821,0.0336
94,3,3361.9845,0.0125
95,4,3744.8553,0.0139
96,5,3485.5927,0.0130
97,6,2641.6305,0.0098
98,7,2783.6071,0.0104
99,8,2188.2960,0.0081
100,9,1251.9384,0.0047
101,10,1495.5216,0.0056
102,11,1701.5385,0.0063
103,12,1639.4708,0.0061
104,13,992.1312,0.0037
105,14,699.2853,0.0026
106,15,596.5905,0.0022
107,16,495.6536,0.0018
108,17,997.3386,0.0037
109,18,1135.0878,0.0042
110,19,1017.7006,0.0038
111,20,690.9301,0.0026
112,21,741.1257,0.0028
113,22,1050.2089,0.0039
114,23,942.7228,0.0035
115,24,1008.3972,0.0037
116,25,1064.8888,0.0040
117,26,852.6106,0.0032
118,27,705.8385,0.0026
119,28,698.7533,0.0026
120,29,787.6959,0.0029
121,30,792.2654,0.0029
122,31,740.6771,0.0028
123,32,828.3622,0.0031
124,33,977.8672,0.0036
125,34,1200.3293,0.0045
126,35,1813.1437,0.0067
127,36,3235.5494,0.0120
128,37,3201.5734,0.0119
129,38,2600.2379,0.0097
130,39,3749.6327,0.0139
131,40,4997.1093,0.0186
132,41,4267.6058,0.0159
133,42,5445.2767,0.0202
134,43,6696.2225,0.0249
135,44,5451.9086,0.0203
136,45,4835.1107,0.0180
137,46,3794.1068,0.0141
138,47,1400.9200,0.0052
139,48,1266.4056,0.0047
140,49,1602.5450,0.0060
141,50,1870.8519,0.0070
142,51,1299.7975,0.0048
143,52,1153.8461,0.0043
144,53,1328.7885,0.0049
145,54,1660.7313,0.0062
146,55,1527.7902,0.0057
147,56,903.4327,0.0034
148,57,656.5973,0.0024
149,58,666.0876,0.0025
150,59,768.1754,0.0029
151,60,424.7150,0.0016
152,61,370.2562,0.0014
153,62,473.4176,0.0018
154,63,477.7224,0.0018
155,64,363.9049,0.0014
156,65,353.9633,0.0013
157,66,424.4763,0.0016
158,67,592.3793,0.0022
159,68,921.8827,0.0034
160,69,691.8774,0.0026
161,70,525.0723,0.0020
162,71,646.0570,0.0024
163,72,1590.2670,0.0059
164,73,1101.5989,0.0041
165,74,552.9446,0.0021
166,75,941.9995,0.0035
167,76,822.9193,0.0031
168,77,208.8689,0.0008
169,78,117.3608,0.0004
170,79,52.1309,0.0002
171,80,162.0449,0.0006
172,81,200.3456,0.0007
173,82,200.7240,0.0007
174,83,98.4885,0.0004
175,84,0.0000,0.0000
176,85,109.5864,0.0004
177,86,595.0466,0.0022
178,87,651.7484,0.0024
179,88,844.4103,0.0031
180,89,814.1471,0.0030
