 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,8553,502.5168,211.2026,51.5620,163.1979,0.4256,4.0961,0.2441,0.9379
2,,4884,322.0488,116.1634,53.5324,178.7404,0.5918,2.1700,0.4608,0.9606
3,,338,87.0538,37.7871,11.3889,47.2665,0.5605,3.3179,0.3014,0.8779
4,,160,49.9411,18.7039,10.8918,24.1081,0.8061,1.7173,0.5823,0.9014
5,,343,97.3553,44.6032,9.7913,104.6616,0.4548,4.5554,0.2195,0.9050
6,,4423,367.0782,139.9522,40.2390,170.5476,0.4125,3.4780,0.2875,0.9148
7,,364,87.6396,36.9112,12.5561,144.0310,0.5955,2.9397,0.3402,0.8782
8,,29346,1072.6488,405.0950,92.2364,3.0228,0.3205,4.3919,0.2277,0.8564
9,,1212,150.3675,53.9906,28.5821,5.1038,0.6736,1.8890,0.5294,0.9217
10,,145,44.8701,15.1116,12.2171,102.1152,0.9050,1.2369,0.8085,0.9119
11,,244,70.9117,30.2927,10.2556,36.8213,0.6098,2.9538,0.3386,0.8905
12,,119,41.1127,15.4741,9.7916,134.4136,0.8847,1.5803,0.6328,0.9154
13,,4735,426.8356,148.6175,40.5658,176.3949,0.3266,3.6636,0.2730,0.7338
14,,113,42.2843,15.6013,9.2220,10.0354,0.7942,1.6917,0.5911,0.8863
15,,71480,2584.0126,423.9450,214.6768,6.9383,0.1345,1.9748,0.5064,0.6898
16,,10,10.4853,4.1109,3.0972,90.0000,1.0000,1.3273,0.7534,0.9091
17,,614,107.2965,43.0181,18.1730,29.4907,0.6702,2.3671,0.4224,0.9331
18,,2231,254.4335,114.7447,24.7558,37.0987,0.4331,4.6351,0.2157,0.9143
19,,339,73.0122,26.7089,16.1604,90.0553,0.7991,1.6527,0.6051,0.9224
20,,14953,639.2275,186.5743,102.0438,4.4379,0.4599,1.8284,0.5469,0.8742
21,,1290,198.9777,90.0111,18.2475,39.2359,0.4094,4.9328,0.2027,0.9027
22,,3002,282.0488,107.6389,35.5101,28.9082,0.4742,3.0312,0.3299,0.8542
23,,1164,133.8823,44.3542,33.4140,37.8812,0.8161,1.3274,0.7533,0.9518
24,Mean,6524.4348,332.4365,101.3310,37.3439,72.3698,0.5895,2.7286,0.4423,0.8888
25,SD,15628.5837,549.6601,114.6791,46.4166,62.2158,0.2201,1.2002,0.1913,0.0624
26,Min,10,10.4853,4.1109,3.0972,3.0228,0.1345,1.2369,0.2027,0.6898
27,Max,71480,2584.0126,423.9450,214.6768,178.7404,1.0000,4.9328,0.8085,0.9606
