 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,211.0071,824,370,0,994,273,0,195.7269
2,,1,207.8650,354,299,0,525,388,0,192.7745
3,,1,176.6640,514,615,0,647,719,0,168.8342
4,,1,170.4802,204,625,0,333,711,0,155.0387
5,,1,165.4680,15,733,0,44,595,0,141.0142
6,,1,162.7401,271,403,0,418,441,0,151.8321
7,,1,151.2548,776,461,0,914,493,0,141.6616
8,,1,145.1249,674,269,0,725,393,0,134.0783
9,,1,143.9828,216,756,0,333,711,0,125.3555
10,,1,142.3970,845,687,0,730,645,0,122.4296
11,,1,141.8406,518,191,0,588,135,0,89.6437
12,,1,141.3259,199,264,0,325,299,0,130.7708
13,,1,136.8406,0,343,0,31,219,0,127.8163
14,,1,135.2132,221,207,0,350,216,0,129.3136
15,,1,132.1371,355,565,0,435,664,0,127.2831
16,,1,130.3675,80,128,0,139,25,0,118.7013
17,,1,129.8823,271,403,0,325,299,0,117.1836
18,,1,122.2548,729,728,0,838,696,0,113.6002
19,,1,117.9411,712,80,0,820,80,0,108.0000
20,,1,114.0151,435,664,0,496,751,0,106.2544
21,,1,112.9467,813,574,0,865,665,0,104.8094
22,,1,110.9117,183,143,0,220,52,0,98.2344
23,,1,110.2843,847,290,0,863,188,0,103.2473
24,,1,110.1249,970,570,0,1012,482,0,97.5090
25,,1,109.9117,145,599,0,157,694,0,95.7549
26,,1,108.9117,408,709,0,496,751,0,97.5090
27,,1,107.3381,270,409,0,337,488,0,103.5857
28,,1,106.0122,552,596,0,644,627,0,97.0824
29,,1,105.2548,0,74,0,64,14,0,87.7268
30,,1,104.0122,736,616,0,766,525,0,95.8175
31,,1,103.9117,15,442,0,55,513,0,81.4923
32,,1,103.3675,98,676,0,44,595,0,97.3499
33,,1,103.1838,1023,363,0,994,273,0,94.5569
34,,1,102.8528,378,511,0,453,574,0,97.9490
35,,1,102.1543,595,549,0,664,495,0,87.6185
36,,1,101.6690,15,442,0,50,370,0,80.0562
37,,1,99.8701,727,756,0,819,749,0,92.2659
38,,1,98.8701,645,44,0,602,33,0,44.3847
39,,1,98.4264,966,187,0,994,273,0,90.4434
40,,1,97.5980,418,441,0,504,413,0,90.4434
41,,1,97.5685,903,225,0,847,290,0,85.7963
42,,1,97.5391,424,241,0,354,299,0,90.9065
43,,1,97.4680,736,616,0,813,574,0,87.7097
44,,1,97.3553,64,14,0,139,25,0,75.8024
45,,1,96.0122,99,767,0,15,738,0,88.8651
46,,1,91.9828,157,694,0,204,625,0,83.4865
47,,1,90.2843,330,298,0,350,216,0,84.4038
48,,1,90.1127,966,187,0,1003,127,0,70.4911
49,,1,89.9411,57,207,0,80,128,0,82.2800
50,,1,89.6690,190,608,0,223,532,0,82.8553
51,,1,88.1543,349,49,0,421,10,0,81.8841
52,,1,87.3970,97,309,0,165,353,0,80.9938
53,,1,86.8112,649,375,0,718,418,0,81.3019
54,,1,86.7696,458,575,0,482,499,0,79.6994
55,,1,86.0445,393,766,0,333,711,0,81.3941
56,,1,84.4680,71,677,0,15,733,0,79.1960
57,,1,84.3970,609,308,0,649,375,0,78.0320
58,,1,83.5685,938,85,0,1003,127,0,77.3886
59,,1,82.4264,964,704,0,980,634,0,71.8053
60,,1,81.5980,871,446,0,941,474,0,75.3923
61,,1,81.4975,781,429,0,824,370,0,73.0068
62,,1,81.3137,739,118,0,817,118,0,78.0000
63,,1,80.8701,955,339,0,966,412,0,73.8241
64,,1,80.7990,537,485,0,612,483,0,75.0267
65,,1,80.6690,216,140,0,221,207,0,67.1863
66,,1,79.9411,543,341,0,560,272,0,71.0634
67,,1,79.2843,819,749,0,889,730,0,72.5328
68,,1,79.2548,13,154,0,49,92,0,71.6938
69,,1,78.9411,648,632,0,717,656,0,73.0548
70,,1,78.2132,638,127,0,651,199,0,73.1642
71,,1,77.8406,235,37,0,299,69,0,71.5542
72,,1,77.4853,333,711,0,408,709,0,75.0267
73,,1,76.9411,909,103,0,935,168,0,70.0071
74,,1,76.7990,725,117,0,733,188,0,71.4493
75,,1,76.3848,937,555,0,939,485,0,70.0286
76,,1,75.6569,577,203,0,651,199,0,74.1080
77,,1,75.0416,577,203,0,588,135,0,68.8840
78,,1,74.9117,766,525,0,813,574,0,67.8970
79,,1,74.5269,823,354,0,847,290,0,68.3520
80,,1,73.6985,595,549,0,616,484,0,68.3081
81,,1,73.4975,204,354,0,252,400,0,66.4831
82,,1,73.0122,1023,411,0,967,435,0,60.9262
83,,1,71.9411,378,170,0,439,147,0,65.1920
84,,1,71.7696,987,766,0,996,714,0,52.7731
85,,1,71.6690,543,341,0,600,307,0,66.3702
86,,1,71.4558,355,565,0,419,581,0,65.9697
87,,1,71.2548,364,489,0,415,450,0,64.2028
88,,1,70.5269,762,369,0,823,354,0,62.8172
89,,1,70.3553,456,642,0,514,615,0,63.9766
90,,1,69.7696,115,445,0,149,394,0,61.2944
91,,1,69.6274,873,181,0,935,168,0,63.3482
92,,1,69.5980,210,406,0,250,452,0,60.9590
93,,1,69.4264,1,494,0,52,530,0,62.4260
94,,1,68.5563,172,505,0,236,494,0,64.9384
95,,1,68.2132,378,170,0,393,108,0,63.7887
96,,1,68.1478,813,574,0,858,531,0,62.2415
97,,1,68.1127,880,531,0,937,555,0,61.8466
98,,1,67.6274,897,749,0,936,733,0,42.1545
99,,1,67.3553,775,261,0,762,204,0,58.4637
100,,1,67.1543,552,596,0,595,549,0,63.7024
101,,1,66.5980,459,582,0,514,610,0,61.7171
102,,1,66.4853,748,289,0,752,353,0,64.1249
103,,1,66.4264,255,165,0,266,114,0,52.1728
104,,1,66.2548,393,108,0,439,147,0,60.3075
105,,1,65.3848,105,562,0,113,503,0,59.5399
106,,1,65.1127,172,505,0,223,532,0,57.7062
107,,1,65.0711,766,525,0,769,462,0,63.0714
108,,1,64.6690,349,49,0,393,89,0,59.4643
109,,1,64.5980,762,204,0,815,176,0,59.9416
110,,1,64.5269,148,202,0,171,147,0,59.6154
111,,1,64.1421,479,60,0,538,67,0,59.4138
112,,1,64.0711,936,634,0,939,572,0,62.0725
113,,1,63.9411,819,749,0,838,696,0,56.3028
114,,1,63.9411,656,200,0,680,254,0,59.0931
115,,1,63.4975,853,682,0,889,730,0,60.0000
116,,1,63.2548,839,75,0,889,45,0,58.3095
117,,1,62.7696,478,153,0,518,191,0,55.1725
118,,1,62.6985,680,254,0,734,233,0,57.9396
119,,1,62.5563,873,181,0,882,123,0,58.6941
120,,1,62.3848,734,233,0,748,289,0,57.7235
121,,1,62.1421,646,68,0,703,61,0,57.4282
122,,1,62.0122,495,103,0,538,67,0,56.0803
123,,1,61.6569,422,499,0,482,499,0,60.0000
124,,1,61.4558,564,767,0,604,735,0,51.2250
125,,1,61.4264,822,1,0,871,31,0,57.4543
126,,1,60.7696,216,140,0,266,114,0,56.3560
127,,1,60.7279,255,540,0,312,547,0,57.4282
128,,1,60.6569,113,503,0,172,505,0,59.0339
129,,1,60.0122,105,562,0,145,599,0,54.4885
130,,1,59.9706,105,390,0,115,445,0,55.9017
131,,1,59.8995,59,71,0,64,14,0,57.2189
132,,1,59.7279,503,469,0,504,413,0,56.0089
133,,1,59.6985,297,496,0,312,547,0,53.1601
134,,1,59.3553,350,216,0,378,170,0,53.8516
135,,1,58.6274,548,767,0,496,751,0,54.4059
136,,1,58.1421,188,317,0,199,264,0,54.1295
137,,1,58.1127,915,682,0,964,704,0,53.7122
138,,1,57.9411,614,395,0,566,405,0,49.0306
139,,1,57.6274,659,448,0,701,473,0,48.8774
140,,1,57.5563,104,498,0,115,445,0,54.1295
141,,1,57.4264,560,272,0,600,307,0,53.1507
142,,1,57.3137,13,154,0,19,208,0,54.3323
143,,1,57.2548,839,75,0,871,31,0,54.4059
144,,1,56.4975,938,85,0,973,43,0,54.6717
145,,1,55.9117,123,263,0,84,225,0,54.4518
146,,1,55.8701,761,382,0,781,429,0,51.0784
147,,1,55.5563,54,551,0,105,562,0,52.1728
148,,1,55.5269,676,716,0,713,684,0,48.9183
149,,1,55.2132,55,513,0,104,498,0,51.2445
150,,1,55.0416,525,388,0,543,341,0,50.3289
151,,1,54.9706,415,450,0,422,499,0,49.4975
152,,1,54.7279,605,427,0,656,436,0,51.7880
153,,1,54.1838,718,418,0,745,461,0,50.7740
154,,1,54.1127,970,570,0,1004,603,0,47.3814
155,,1,53.8701,264,1,0,235,37,0,46.2277
156,,1,53.8406,880,531,0,914,493,0,50.9902
157,,1,53.1127,814,513,0,858,531,0,47.5395
158,,1,53.1127,825,153,0,855,117,0,46.8615
159,,1,53.0416,966,465,0,1012,482,0,49.0408
160,,1,52.9706,815,176,0,863,188,0,49.4773
161,,1,51.8995,612,121,0,613,72,0,49.0102
162,,1,51.8701,250,452,0,270,409,0,47.4236
163,,1,51.6985,178,0,0,139,25,0,46.3249
164,,1,51.6569,865,665,0,915,669,0,50.1597
165,,1,51.2132,713,684,0,729,728,0,46.8188
166,,1,50.7990,664,495,0,701,473,0,43.0465
167,,1,50.7279,199,401,0,204,354,0,47.2652
168,,1,50.4558,312,547,0,355,565,0,46.6154
169,,1,50.3848,701,473,0,745,461,0,45.6070
170,,1,50.2132,343,86,0,299,83,0,44.1022
171,,1,50.1127,419,581,0,450,613,0,44.5533
172,,1,50.0416,889,45,0,911,83,0,43.9090
173,,1,49.7990,81,351,0,97,309,0,44.9444
174,,1,48.7279,145,599,0,190,608,0,45.8912
175,,1,48.3553,31,219,0,69,244,0,45.4863
176,,1,48.1421,44,595,0,54,551,0,45.1221
177,,1,48.1127,566,405,0,605,427,0,44.7772
178,,1,48.0226,647,85,0,638,127,0,42.9535
179,,1,47.7990,634,757,0,676,747,0,43.1741
180,,1,47.5980,266,114,0,299,83,0,45.2769
181,,1,46.4853,50,370,0,81,351,0,36.3593
182,,1,45.6569,86,210,0,130,206,0,44.1814
183,,1,45.5563,503,469,0,537,485,0,37.5766
184,,1,45.4853,909,725,0,915,682,0,43.4166
185,,1,45.2843,570,63,0,597,33,0,40.3609
186,,1,45.2132,1003,127,0,1015,89,0,39.8497
187,,1,45.0711,210,406,0,252,400,0,42.4264
188,,1,45.0416,980,634,0,1004,603,0,39.2046
189,,1,45.0416,485,145,0,494,113,0,33.2415
190,,1,44.9706,499,487,0,537,485,0,38.0526
191,,1,44.9411,153,293,0,188,317,0,42.4382
192,,1,44.8284,936,634,0,980,634,0,44.0000
193,,1,44.7990,604,735,0,643,723,0,40.8044
194,,1,44.6985,861,766,0,897,749,0,39.8121
195,,1,44.6569,379,503,0,422,499,0,43.1856
196,,1,44.5269,569,712,0,604,735,0,41.8808
197,,1,43.8995,165,353,0,170,394,0,41.3038
198,,1,43.8995,297,496,0,337,488,0,40.7922
199,,1,43.8701,646,401,0,656,436,0,36.4005
200,,1,43.8701,691,749,0,727,756,0,36.6742
201,,1,43.7990,514,610,0,552,596,0,40.4969
202,,1,43.6985,915,669,0,936,634,0,40.8167
203,,1,42.5563,421,10,0,459,9,0,38.0132
204,,1,41.8995,656,200,0,694,192,0,38.8330
205,,1,41.8701,995,64,0,1012,32,0,36.2353
206,,1,41.5563,250,452,0,261,489,0,38.6005
207,,1,41.4853,439,147,0,478,153,0,39.4588
208,,1,41.4853,694,192,0,733,188,0,39.2046
209,,1,41.3848,169,765,0,151,734,0,35.8469
210,,1,41.2843,178,232,0,199,264,0,38.2753
211,,1,40.5563,1013,0,0,1012,32,0,32.0156
212,,1,40.5563,725,393,0,761,382,0,37.6431
213,,1,40.5269,42,418,0,65,387,0,38.6005
214,,1,40.4558,985,380,0,966,412,0,37.2156
215,,1,40.1838,576,369,0,549,398,0,39.6232
216,,1,40.1127,936,733,0,964,708,0,37.5366
217,,1,40.0711,418,48,0,421,10,0,38.1182
218,,1,39.8284,701,22,0,703,61,0,39.0512
219,,1,39.5563,691,749,0,726,738,0,36.6879
220,,1,39.3848,393,89,0,407,56,0,35.8469
221,,1,38.9706,997,0,0,988,33,0,34.2053
222,,1,38.8995,261,489,0,297,496,0,36.6742
223,,1,38.8701,935,168,0,966,187,0,36.3593
224,,1,38.8284,183,209,0,221,207,0,38.0526
225,,1,38.7990,147,236,0,130,206,0,34.4819
226,,1,38.5563,634,757,0,643,723,0,35.1710
227,,1,38.3137,817,118,0,825,153,0,35.9026
228,,1,37.9706,734,28,0,701,22,0,33.5410
229,,1,37.8995,148,202,0,183,209,0,35.6931
230,,1,37.7990,69,244,0,88,271,0,33.0151
231,,1,37.7279,493,0,0,459,9,0,35.1710
232,,1,37.6985,634,295,0,658,269,0,35.3836
233,,1,37.3137,651,482,0,659,448,0,34.9285
234,,1,37.1421,570,63,0,603,59,0,33.2415
235,,1,37.1127,354,537,0,378,511,0,35.3836
236,,1,36.9706,76,375,0,105,390,0,32.6497
237,,1,36.8995,419,581,0,453,574,0,34.7131
238,,1,36.8701,675,0,0,701,22,0,34.0588
239,,1,36.4558,676,163,0,694,192,0,34.1321
240,,1,36.3137,613,72,0,646,68,0,33.2415
241,,1,35.9706,539,215,0,559,238,0,30.4795
242,,1,35.8995,494,113,0,501,144,0,31.7805
243,,1,35.8284,616,484,0,651,482,0,35.0571
244,,1,35.3137,223,532,0,255,540,0,32.9848
245,,1,35.3137,450,613,0,459,582,0,32.2800
246,,1,35.2843,299,69,0,325,48,0,33.4215
247,,1,35.2843,882,123,0,909,103,0,33.6006
248,,1,35.2426,559,238,0,560,272,0,34.0147
249,,1,35.1421,280,0,0,311,10,0,32.5730
250,,1,34.7990,734,233,0,748,204,0,32.2025
251,,1,34.4853,964,708,0,996,714,0,32.5576
252,,1,34.4558,518,191,0,539,215,0,31.8904
253,,1,34.2426,183,143,0,216,140,0,33.1361
254,,1,34.1421,187,767,0,216,756,0,31.0161
255,,1,34.1421,539,215,0,569,209,0,30.5941
256,,1,34.0711,776,461,0,781,429,0,32.3883
257,,1,33.8701,151,122,0,171,147,0,32.0156
258,,1,33.6569,538,67,0,570,63,0,32.2490
259,,1,33.6569,712,80,0,716,112,0,32.2490
260,,1,32.4558,435,664,0,456,642,0,30.4138
261,,1,32.3137,68,415,0,65,387,0,28.1603
262,,1,32.3137,820,80,0,828,109,0,30.0832
263,,1,32.2132,647,243,0,658,269,0,28.2312
264,,1,31.8995,170,394,0,199,401,0,29.8329
265,,1,31.8284,676,716,0,676,747,0,31.0000
266,,1,31.8284,939,572,0,970,570,0,31.0644
267,,1,31.7990,311,10,0,337,4,0,26.6833
268,,1,31.6274,581,8,0,597,33,0,29.6816
269,,1,31.6274,165,353,0,188,335,0,29.2062
270,,1,31.4853,450,613,0,456,642,0,29.6142
271,,1,31.4853,730,645,0,736,616,0,29.6142
272,,1,31.2843,118,179,0,138,202,0,30.4795
273,,1,30.9706,31,219,0,57,207,0,28.6356
274,,1,30.7990,37,425,0,15,442,0,27.8029
275,,1,30.7279,124,725,0,151,734,0,28.4605
276,,1,30.6569,88,271,0,90,300,0,29.0689
277,,1,30.4142,966,465,0,967,435,0,30.0167
278,,1,30.3848,609,308,0,634,295,0,28.1780
279,,1,30.3137,828,109,0,855,117,0,28.1603
280,,1,30.3137,909,725,0,936,733,0,28.1603
281,,1,30.2426,57,207,0,86,210,0,29.1548
282,,1,30.2426,647,719,0,676,716,0,29.1548
283,,1,29.6569,125,716,0,153,712,0,28.2843
284,,1,29.6569,644,627,0,645,600,0,27.0185
285,,1,29.6569,713,684,0,717,656,0,28.2843
286,,1,29.4853,855,117,0,882,123,0,27.6586
287,,1,28.7279,941,474,0,966,465,0,26.5707
288,,1,28.6274,419,686,0,435,664,0,27.2029
289,,1,28.4853,612,121,0,638,127,0,26.6833
290,,1,28.4853,718,418,0,725,393,0,25.9615
291,,1,28.3137,914,493,0,939,485,0,26.2488
292,,1,28.0416,504,413,0,525,396,0,27.0185
293,,1,27.8284,911,83,0,938,85,0,27.0740
294,,1,27.5563,1023,459,0,1012,482,0,25.4951
295,,1,27.5563,64,110,0,80,128,0,24.0832
296,,1,27.4142,337,488,0,364,489,0,27.0185
297,,1,27.4049,236,494,0,261,489,0,25.4951
298,,1,27.2426,322,22,0,325,48,0,26.1725
299,,1,27.2426,602,33,0,603,59,0,26.0192
300,,1,27.2426,646,401,0,649,375,0,26.1725
301,,1,27.1421,815,176,0,825,153,0,25.0799
302,,1,27.0711,454,55,0,479,60,0,25.4951
303,,1,26.8995,76,375,0,81,351,0,24.5153
304,,1,26.4853,646,656,0,648,632,0,24.0832
305,,1,26.3848,69,244,0,84,225,0,24.2074
306,,1,26.3137,49,92,0,59,71,0,23.2594
307,,1,26.1421,477,467,0,499,477,0,24.1661
308,,1,25.9706,70,91,0,59,71,0,22.8254
309,,1,25.9706,322,22,0,337,4,0,23.4307
310,,1,25.7279,418,688,0,408,709,0,23.2594
311,,1,25.2426,988,33,0,1012,32,0,24.0208
312,,1,25.1421,206,735,0,216,756,0,23.2594
313,,1,25.0711,178,232,0,183,209,0,23.5372
314,,1,24.9706,158,244,0,178,232,0,23.3238
315,,1,24.8284,525,396,0,549,398,0,24.0832
316,,1,24.5563,484,83,0,495,103,0,22.8254
317,,1,24.4142,325,48,0,349,49,0,24.0208
318,,1,24.4142,330,298,0,354,299,0,24.0208
319,,1,24.4142,745,461,0,769,462,0,24.0208
320,,1,24.2426,966,412,0,967,435,0,23.0217
321,,1,24.0416,1021,586,0,1004,603,0,24.0416
322,,1,23.9706,105,737,0,124,725,0,22.4722
323,,1,23.6569,151,734,0,153,712,0,22.0907
324,,1,23.1421,644,314,0,634,295,0,21.4709
325,,1,23.0711,484,81,0,479,60,0,21.5870
326,,1,22.9706,115,698,0,125,716,0,20.5913
327,,1,22.7990,733,188,0,748,204,0,21.9317
328,,1,22.7279,703,61,0,712,80,0,21.0238
329,,1,22.6569,52,530,0,54,551,0,21.0950
330,,1,22.5563,364,489,0,379,503,0,20.5183
331,,1,22.5563,482,499,0,499,487,0,20.8087
332,,1,22.4142,127,389,0,105,390,0,22.0227
333,,1,22.3848,220,52,0,235,37,0,21.2132
334,,1,22.2132,596,468,0,612,483,0,21.9317
335,,1,22.0711,129,389,0,149,394,0,20.6155
336,,1,22.0000,858,531,0,880,531,0,22.0000
337,,1,21.9706,853,682,0,865,665,0,20.8087
338,,1,21.4853,973,43,0,988,33,0,18.0278
339,,1,20.8284,909,103,0,911,83,0,20.0998
340,,1,20.6569,733,349,0,752,353,0,19.4165
341,,1,20.4853,1014,708,0,996,714,0,18.9737
342,,1,20.4853,766,283,0,748,289,0,18.9737
343,,1,20.3848,0,139,0,13,154,0,19.8494
344,,1,20.3137,618,766,0,634,757,0,18.3576
345,,1,20.3137,50,370,0,67,378,0,18.7883
346,,1,20.2426,252,400,0,271,403,0,19.2354
347,,1,20.1421,752,353,0,762,369,0,18.8680
348,,1,19.8995,549,398,0,566,405,0,18.3848
349,,1,19.8284,393,89,0,393,108,0,19.0000
350,,1,19.6569,153,712,0,157,694,0,18.4391
351,,1,19.0711,52,530,0,55,513,0,17.2627
352,,1,18.8284,188,317,0,188,335,0,18.0000
353,,1,18.6569,609,444,0,605,427,0,17.4642
354,,1,18.4142,656,128,0,638,127,0,18.0278
355,,1,18.2426,896,732,0,897,749,0,17.0294
356,,1,17.7279,568,224,0,559,238,0,16.6433
357,,1,17.7279,603,59,0,613,72,0,16.4012
358,,1,17.5563,717,656,0,730,645,0,17.0294
359,,1,17.4853,674,269,0,680,254,0,16.1555
360,,1,16.5563,750,130,0,739,118,0,16.2788
361,,1,16.4142,485,145,0,501,144,0,16.0312
362,,1,16.2426,652,575,0,653,590,0,15.0333
363,,1,16.0000,658,269,0,674,269,0,16.0000
364,,1,15.8995,896,732,0,909,725,0,14.7648
365,,1,15.8284,84,225,0,86,210,0,15.1327
366,,1,15.8284,676,747,0,691,749,0,15.1327
367,,1,15.4853,885,32,0,889,45,0,13.6015
368,,1,15.2426,458,23,0,459,9,0,14.0357
369,,1,14.8995,71,98,0,64,110,0,13.8924
370,,1,14.4853,600,129,0,588,135,0,13.4164
371,,1,14.4142,725,117,0,739,118,0,14.0357
372,,1,14.3137,706,121,0,716,112,0,13.4536
373,,1,14.2426,171,147,0,183,143,0,12.6491
374,,1,14.1421,963,33,0,973,43,0,14.1421
375,,1,14.0711,656,436,0,659,448,0,12.3693
376,,1,14.0000,748,204,0,762,204,0,14.0000
377,,1,13.8995,1022,78,0,1015,89,0,13.0384
378,,1,13.8284,569,222,0,569,209,0,13.0000
379,,1,13.8284,915,669,0,915,682,0,13.0000
380,,1,13.6503,237,506,0,236,494,0,12.0416
381,,1,13.3137,198,343,0,188,335,0,12.8062
382,,1,13.3137,645,600,0,653,590,0,12.8062
383,,1,12.8995,602,128,0,612,121,0,12.2066
384,,1,12.6569,348,0,0,337,4,0,11.7047
385,,1,12.4853,90,300,0,97,309,0,11.4018
386,,1,12.0711,10,748,0,15,738,0,11.1803
387,,1,12.0711,153,254,0,158,244,0,11.1803
388,,1,12.0000,883,31,0,871,31,0,12.0000
389,,1,11.8995,96,263,0,88,271,0,11.3137
390,,1,11.8284,939,485,0,941,474,0,11.1803
391,,1,11.8284,1004,91,0,1015,89,0,11.1803
392,,1,11.6569,234,484,0,236,494,0,10.1980
393,,1,11.6569,397,52,0,407,56,0,10.7703
394,,1,11.6569,428,52,0,418,48,0,10.7703
395,,1,11.4853,478,153,0,485,145,0,10.6301
396,,1,11.3137,57,100,0,49,92,0,11.3137
397,,1,11.2426,830,77,0,820,80,0,10.4403
398,,1,10.8995,212,45,0,220,52,0,10.6301
399,,1,10.8284,499,477,0,499,487,0,10.0000
400,,1,10.6569,200,345,0,204,354,0,9.8489
401,,1,10.4853,196,616,0,190,608,0,10.0000
402,,1,10.4142,494,113,0,495,103,0,10.0499
403,,1,10.2426,67,378,0,76,375,0,9.4868
404,,1,10.2426,415,450,0,418,441,0,9.4868
405,,1,10.0711,59,102,0,64,110,0,9.4340
406,,1,10.0000,159,394,0,149,394,0,10.0000
407,,1,10.0000,138,202,0,148,202,0,10.0000
408,,1,9.8284,65,387,0,67,378,0,9.2195
409,,1,9.6569,130,206,0,138,202,0,8.9443
410,,1,9.4853,198,618,0,204,625,0,9.2195
411,,1,9.4142,254,549,0,255,540,0,9.0554
412,,1,9.4142,600,307,0,609,308,0,9.0554
413,,1,9.0711,843,689,0,838,696,0,8.6023
