 ,Angle,Frequency,Normalized Frequency
1,-90,63.0037,0.0004
2,-89,48.7954,0.0003
3,-88,117.5516,0.0007
4,-87,159.5859,0.0010
5,-86,106.2091,0.0007
6,-85,81.3099,0.0005
7,-84,104.9627,0.0007
8,-83,145.9675,0.0009
9,-82,58.3111,0.0004
10,-81,76.3152,0.0005
11,-80,195.0070,0.0012
12,-79,504.2031,0.0032
13,-78,377.2328,0.0024
14,-77,236.3517,0.0015
15,-76,147.0809,0.0009
16,-75,79.6989,0.0005
17,-74,20.7830,0.0001
18,-73,0.0000,0.0000
19,-72,32.3687,0.0002
20,-71,267.8314,0.0017
21,-70,692.3374,0.0043
22,-69,500.1193,0.0031
23,-68,398.6034,0.0025
24,-67,276.0691,0.0017
25,-66,316.6055,0.0020
26,-65,420.8022,0.0026
27,-64,280.1149,0.0018
28,-63,76.8260,0.0005
29,-62,8.8124,5.527E-5
30,-61,96.9611,0.0006
31,-60,241.7981,0.0015
32,-59,532.0194,0.0033
33,-58,988.9398,0.0062
34,-57,703.3027,0.0044
35,-56,420.1538,0.0026
36,-55,396.2363,0.0025
37,-54,507.9523,0.0032
38,-53,368.6378,0.0023
39,-52,337.4004,0.0021
40,-51,376.8785,0.0024
41,-50,504.0897,0.0032
42,-49,985.3501,0.0062
43,-48,1474.9677,0.0093
44,-47,2729.5096,0.0171
45,-46,3745.2770,0.0235
46,-45,1711.8021,0.0107
47,-44,1879.4281,0.0118
48,-43,2117.1625,0.0133
49,-42,1545.9386,0.0097
50,-41,1172.2788,0.0074
51,-40,1132.2424,0.0071
52,-39,1365.9967,0.0086
53,-38,2445.5248,0.0153
54,-37,1803.6034,0.0113
55,-36,1284.8405,0.0081
56,-35,1116.2216,0.0070
57,-34,1287.9144,0.0081
58,-33,1328.0450,0.0083
59,-32,1231.4137,0.0077
60,-31,1255.9015,0.0079
61,-30,1270.4052,0.0080
62,-29,1020.3798,0.0064
63,-28,826.9773,0.0052
64,-27,730.7660,0.0046
65,-26,702.7966,0.0044
66,-25,738.6996,0.0046
67,-24,762.1786,0.0048
68,-23,1648.8878,0.0103
69,-22,2931.6617,0.0184
70,-21,1640.9574,0.0103
71,-20,892.7375,0.0056
72,-19,900.7625,0.0056
73,-18,964.6888,0.0061
74,-17,1280.0997,0.0080
75,-16,1510.3229,0.0095
76,-15,1735.2626,0.0109
77,-14,1640.9374,0.0103
78,-13,1642.8312,0.0103
79,-12,1342.2367,0.0084
80,-11,1110.3472,0.0070
81,-10,1058.9904,0.0066
82,-9,1453.6901,0.0091
83,-8,2254.3805,0.0141
84,-7,1127.5519,0.0071
85,-6,895.8984,0.0056
86,-5,1034.8904,0.0065
87,-4,1394.8832,0.0087
88,-3,2084.3571,0.0131
89,-2,2798.4298,0.0176
90,-1,1862.7618,0.0117
91,0,1478.5951,0.0093
92,1,1076.8470,0.0068
93,2,965.6791,0.0061
94,3,873.1901,0.0055
95,4,611.5936,0.0038
96,5,595.9388,0.0037
97,6,507.9525,0.0032
98,7,462.3636,0.0029
99,8,399.6875,0.0025
100,9,287.6429,0.0018
101,10,209.5565,0.0013
102,11,222.4188,0.0014
103,12,290.8456,0.0018
104,13,239.9988,0.0015
105,14,250.8790,0.0016
106,15,298.4115,0.0019
107,16,487.4458,0.0031
108,17,639.4409,0.0040
109,18,573.3835,0.0036
110,19,742.0835,0.0047
111,20,619.7004,0.0039
112,21,410.8574,0.0026
113,22,250.1599,0.0016
114,23,394.2577,0.0025
115,24,349.5710,0.0022
116,25,277.3210,0.0017
117,26,185.7921,0.0012
118,27,191.2764,0.0012
119,28,233.0192,0.0015
120,29,321.2992,0.0020
121,30,334.9681,0.0021
122,31,326.8706,0.0021
123,32,344.5887,0.0022
124,33,429.2003,0.0027
125,34,613.8051,0.0039
126,35,1050.6572,0.0066
127,36,1590.3585,0.0100
128,37,1787.8273,0.0112
129,38,1492.4811,0.0094
130,39,1965.4825,0.0123
131,40,1489.4713,0.0093
132,41,1117.9757,0.0070
133,42,1145.5787,0.0072
134,43,1435.5387,0.0090
135,44,1782.6683,0.0112
136,45,1051.5087,0.0066
137,46,739.7286,0.0046
138,47,691.9598,0.0043
139,48,908.9963,0.0057
140,49,876.3621,0.0055
141,50,755.3196,0.0047
142,51,681.9912,0.0043
143,52,613.0221,0.0038
144,53,759.0891,0.0048
145,54,993.2043,0.0062
146,55,963.1736,0.0060
147,56,1049.1571,0.0066
148,57,995.4969,0.0062
149,58,919.5784,0.0058
150,59,910.0581,0.0057
151,60,847.3104,0.0053
152,61,796.1572,0.0050
153,62,791.4624,0.0050
154,63,753.7346,0.0047
155,64,723.5210,0.0045
156,65,814.7235,0.0051
157,66,989.7968,0.0062
158,67,1265.2738,0.0079
159,68,1610.3724,0.0101
160,69,1545.8671,0.0097
161,70,1367.9320,0.0086
162,71,1453.4845,0.0091
163,72,1172.4752,0.0074
164,73,970.8433,0.0061
165,74,944.9933,0.0059
166,75,1239.9904,0.0078
167,76,1003.5953,0.0063
168,77,870.3533,0.0055
169,78,926.5240,0.0058
170,79,972.9141,0.0061
171,80,768.6625,0.0048
172,81,856.2623,0.0054
173,82,1000.8774,0.0063
174,83,576.1432,0.0036
175,84,381.1462,0.0024
176,85,475.2595,0.0030
177,86,448.2727,0.0028
178,87,481.2365,0.0030
179,88,362.5416,0.0023
180,89,202.3339,0.0013
