 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,59,27.5563,9.1591,8.2018,164.1922,0.9764,1.1167,0.8955,0.9291
2,,3908,326.3919,116.6577,42.6532,72.7969,0.4610,2.7350,0.3656,0.8719
3,,1173,168.5513,54.3653,27.4717,53.8443,0.5189,1.9790,0.5053,0.8301
4,,62,28.1421,9.4937,8.3151,7.9424,0.9838,1.1417,0.8758,0.9466
5,,2294,258.3919,103.0637,28.3399,40.9598,0.4318,3.6367,0.2750,0.7820
6,,857,120.7107,38.5900,28.2759,1.9034,0.7391,1.3648,0.7327,0.9270
7,,37,21.5563,7.4158,6.3526,138.7365,1.0000,1.1674,0.8566,0.8916
8,,10121,645.4113,147.7761,87.2026,27.9473,0.3053,1.6946,0.5901,0.7460
9,,5767,483.4457,117.7635,62.3519,108.6266,0.3101,1.8887,0.5295,0.7787
10,,3837,266.4508,98.3095,49.6943,16.5628,0.6792,1.9783,0.5055,0.9437
11,,1951,211.2965,89.1324,27.8697,170.9513,0.5491,3.1982,0.3127,0.9322
12,,588,100.9117,39.8954,18.7657,166.5789,0.7256,2.1260,0.4704,0.9253
13,,2010,213.4802,80.5200,31.7836,76.0073,0.5542,2.5334,0.3947,0.9079
14,,836,125.0955,52.8130,20.1547,130.2147,0.6713,2.6204,0.3816,0.9167
15,,888,117.9828,35.6992,31.6712,151.3975,0.8017,1.1272,0.8872,0.9518
16,,36,21.3137,7.3613,6.2267,73.8642,0.9959,1.1822,0.8459,0.9231
17,,202,55.5980,21.8148,11.7899,36.6157,0.8212,1.8503,0.5405,0.9140
18,,2249,212.4092,67.3982,42.4865,22.4198,0.6264,1.5863,0.6304,0.8734
19,,524,113.1543,46.1963,14.4422,69.9006,0.5143,3.1987,0.3126,0.7850
20,,2325,199.5807,59.9930,49.3438,59.6593,0.7335,1.2158,0.8225,0.9352
21,,512,88.4264,29.4967,22.1007,97.4523,0.8228,1.3346,0.7493,0.9318
22,,2523,205.0955,59.3560,54.1206,88.0628,0.7537,1.0967,0.9118,0.9499
23,,716,122.1249,50.9249,17.9017,31.9183,0.6033,2.8447,0.3515,0.9353
24,,191,53.9411,20.9917,11.5850,127.6659,0.8249,1.8120,0.5519,0.9227
25,,21859,797.6194,194.7760,142.8910,134.8226,0.4318,1.3631,0.7336,0.8651
26,,8708,588.5240,133.2533,83.2052,67.0668,0.3159,1.6015,0.6244,0.7974
27,,7758,497.0021,151.2735,65.2976,68.6597,0.3947,2.3167,0.4317,0.8411
28,,1105,136.7107,49.6429,28.3410,17.6870,0.7430,1.7516,0.5709,0.9567
29,,4762,299.6640,85.9954,70.5057,24.4730,0.6664,1.2197,0.8199,0.9274
30,,54,26.3848,8.7883,7.8234,148.8952,0.9748,1.1233,0.8902,0.9153
31,,3793,343.0366,118.2762,40.8315,177.1937,0.4051,2.8967,0.3452,0.8563
32,,44,23.8995,7.6412,7.3317,132.2915,0.9680,1.0422,0.9595,0.9565
33,,5827,535.9554,109.6865,67.6398,120.1015,0.2549,1.6216,0.6167,0.7692
34,,3639,347.0193,130.4493,35.5182,101.1167,0.3797,3.6727,0.2723,0.8449
35,,6336,339.1615,94.5904,85.2861,134.1018,0.6922,1.1091,0.9016,0.9101
36,,4155,336.3747,111.0216,47.6512,118.9083,0.4615,2.3299,0.4292,0.8981
37,,648,102.2254,36.0123,22.9105,65.8611,0.7792,1.5719,0.6362,0.9432
38,,11409,486.7595,186.5910,77.8515,172.4255,0.6051,2.3968,0.4172,0.9703
39,,2051,215.7645,63.1629,41.3441,154.7220,0.5536,1.5277,0.6546,0.8532
40,,3303,353.7889,96.4105,43.6209,125.4176,0.3316,2.2102,0.4524,0.7735
41,,509,96.9117,36.4973,17.7569,96.4795,0.6810,2.0554,0.4865,0.9081
42,,33,22.1421,8.5874,4.8929,68.2741,0.8458,1.7551,0.5698,0.8462
43,,426,87.1543,34.2551,15.8341,131.9888,0.7048,2.1634,0.4622,0.9281
44,,413,92.5685,38.3466,13.7130,65.3213,0.6057,2.7964,0.3576,0.9037
45,,5590,459.7889,92.2472,77.1559,86.2188,0.3323,1.1956,0.8364,0.8315
46,,948,185.6640,77.3120,15.6125,134.2651,0.3456,4.9519,0.2019,0.8261
47,,510,95.2548,38.2613,16.9715,101.0113,0.7063,2.2544,0.4436,0.9506
48,,316,67.8406,23.1133,17.4075,76.4172,0.8628,1.3278,0.7531,0.9173
49,,6074,350.5341,103.7261,74.5584,175.4795,0.6212,1.3912,0.7188,0.9381
50,,437,79.2548,26.2573,21.1905,143.9047,0.8743,1.2391,0.8070,0.9469
51,,2989,252.8356,92.5854,41.1049,167.2432,0.5876,2.2524,0.4440,0.9566
52,,2069,183.4802,61.9451,42.5269,137.9984,0.7723,1.4566,0.6865,0.9650
53,,3743,342.6346,106.8855,44.5873,176.8237,0.4007,2.3972,0.4172,0.7587
54,,1705,203.3797,70.0340,30.9974,40.9430,0.5180,2.2593,0.4426,0.8732
55,,48,25.3137,7.9832,7.6555,90.0000,0.9413,1.0428,0.9589,0.9412
56,,407,87.0122,35.4842,14.6039,13.9985,0.6755,2.4298,0.4116,0.9335
57,,60,27.5563,9.1173,8.3790,60.8468,0.9929,1.0881,0.9190,0.9231
58,,1882,187.7229,73.7071,32.5102,58.0457,0.6711,2.2672,0.4411,0.9271
59,,3029,359.9483,81.4082,47.3741,18.9926,0.2938,1.7184,0.5819,0.7007
60,,11471,631.3107,157.9488,92.4688,33.0065,0.3617,1.7081,0.5854,0.8942
61,,6867,349.8478,127.9911,68.3121,36.8590,0.7050,1.8736,0.5337,0.9600
62,,2021,274.2082,106.5761,24.1444,169.8557,0.3378,4.4141,0.2265,0.8517
63,,270,88.7107,42.4252,8.1031,40.1601,0.4311,5.2357,0.1910,0.8372
64,,3331,387.1026,122.1062,34.7334,157.8080,0.2793,3.5155,0.2845,0.8013
65,,2305,213.8234,71.8915,40.8228,165.7323,0.6335,1.7611,0.5678,0.9347
66,,494,86.3259,29.8200,21.0925,164.1151,0.8330,1.4138,0.7073,0.9392
67,,3640,259.6224,93.0568,49.8039,156.9032,0.6786,1.8685,0.5352,0.9644
68,,330,68.6690,23.0197,18.2526,122.6708,0.8794,1.2612,0.7929,0.9296
69,,13672,546.6245,215.9691,80.6029,149.4722,0.5750,2.6794,0.3732,0.9569
70,,5584,297.2620,97.7459,72.7373,119.5258,0.7941,1.3438,0.7441,0.9737
71,,1377,170.6518,61.6732,28.4281,61.1877,0.5942,2.1694,0.4609,0.9183
72,,1971,214.0488,91.5509,27.4116,136.6610,0.5406,3.3399,0.2994,0.9435
73,,532,87.7401,29.5733,22.9045,26.5182,0.8684,1.2912,0.7745,0.9466
74,,103,37.4558,13.9320,9.4131,152.8912,0.9226,1.4801,0.6756,0.9115
75,,3595,265.3209,81.5657,56.1179,170.3166,0.6418,1.4535,0.6880,0.9555
76,,508,87.4975,30.1038,21.4859,24.4268,0.8338,1.4011,0.7137,0.9451
77,,6067,425.8721,145.7128,53.0135,156.9021,0.4204,2.7486,0.3638,0.8910
78,,935,131.5391,45.3992,26.2225,107.1481,0.6791,1.7313,0.5776,0.9253
79,,607,99.9828,36.8348,20.9817,28.3918,0.7630,1.7556,0.5696,0.9440
