 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,371.1737,407,245,0,239,546,0,344.7100
2,,1,313.0732,426,584,0,600,343,0,297.2491
3,,1,278.4163,303,103,0,104,280,0,266.3269
4,,1,261.2670,537,28,0,773,89,0,243.7560
5,,1,255.4630,1022,268,0,849,117,0,229.6301
6,,1,253.9188,500,146,0,600,343,0,220.9276
7,,1,238.7178,500,146,0,665,307,0,230.5342
8,,1,225.5219,628,606,0,739,437,0,202.1930
9,,1,223.8528,104,280,0,125,478,0,199.1105
10,,1,222.0955,3,18,0,100,148,0,162.2005
11,,1,214.8772,725,255,0,773,89,0,172.8005
12,,1,183.5685,173,721,0,332,683,0,163.4778
13,,1,168.8406,592,726,0,742,699,0,152.4106
14,,1,167.8650,35,348,0,125,478,0,158.1139
15,,1,166.4975,0,500,0,35,348,0,155.9776
16,,1,160.5219,948,268,0,845,380,0,152.1611
17,,1,158.9117,271,0,0,415,36,0,148.4318
18,,1,157.8944,780,497,0,906,518,0,127.7380
19,,1,152.1665,332,683,0,456,751,0,141.4214
20,,1,146.9655,744,344,0,845,380,0,107.2241
21,,1,144.0660,213,75,0,100,148,0,134.5288
22,,1,143.1371,882,603,0,968,707,0,134.9518
23,,1,142.7107,415,36,0,537,28,0,122.2620
24,,1,140.2082,740,295,0,845,380,0,135.0926
25,,1,137.7817,628,606,0,743,659,0,126.6254
26,,1,135.8944,333,672,0,426,584,0,128.0352
27,,1,133.8944,32,635,0,134,558,0,127.8006
28,,1,131.8406,83,767,0,26,674,0,109.0780
29,,1,127.2670,742,699,0,838,764,0,115.9353
30,,1,126.5269,482,632,0,599,649,0,118.2286
31,,1,124.2965,135,543,0,239,546,0,104.0433
32,,1,113.5269,149,618,0,173,721,0,105.7592
33,,1,110.4680,746,275,0,797,190,0,99.1262
34,,1,109.1249,747,638,0,835,587,0,101.7104
35,,1,105.5807,259,600,0,333,672,0,103.2473
36,,1,103.3381,36,455,0,100,531,0,99.3579
37,,1,99.5097,471,99,0,537,28,0,96.9381
38,,1,99.1960,780,497,0,836,573,0,94.4034
39,,1,97.5391,16,171,0,92,217,0,88.8369
40,,1,96.6102,76,675,0,149,618,0,92.6175
41,,1,95.1249,797,190,0,849,117,0,89.6270
42,,1,95.0711,739,437,0,744,344,0,93.1343
43,,1,94.6396,1023,412,0,966,476,0,85.7030
44,,1,92.7817,836,573,0,906,518,0,89.0225
45,,1,91.6812,0,227,0,62,293,0,90.5539
46,,1,89.6102,28,108,0,94,165,0,87.2067
47,,1,88.5685,520,766,0,592,726,0,82.3650
48,,1,87.5980,773,89,0,849,117,0,80.9938
49,,1,81.4975,726,550,0,761,483,0,75.5910
50,,1,80.4975,600,343,0,665,307,0,74.3034
51,,1,79.8995,592,726,0,599,649,0,77.3175
52,,1,75.8823,426,584,0,482,632,0,73.7564
53,,1,74.6690,1019,571,0,967,529,0,66.8431
54,,1,74.1838,918,518,0,966,476,0,63.7809
55,,1,68.8284,665,307,0,733,307,0,68.0000
56,,1,67.1543,49,570,0,100,531,0,64.2028
57,,1,66.1838,35,348,0,62,293,0,61.2699
58,,1,65.3970,126,764,0,173,721,0,63.7024
59,,1,65.3137,92,217,0,98,279,0,62.2896
60,,1,65.0000,732,190,0,797,190,0,65.0000
61,,1,63.4142,726,192,0,725,255,0,63.0079
62,,1,62.2548,25,619,0,49,570,0,54.5619
63,,1,60.9411,208,604,0,259,600,0,51.1566
64,,1,60.8995,150,611,0,208,604,0,58.4209
65,,1,60.4264,471,99,0,500,146,0,55.2268
66,,1,60.2132,134,558,0,150,611,0,55.3624
67,,1,59.6274,509,767,0,456,751,0,55.3624
68,,1,59.4975,936,760,0,980,726,0,55.6058
69,,1,59.3553,724,589,0,747,638,0,54.1295
70,,1,57.3553,599,649,0,628,606,0,51.8652
71,,1,56.5980,882,603,0,927,575,0,53.0000
72,,1,56.5980,924,732,0,968,707,0,50.6063
73,,1,56.5269,739,437,0,761,483,0,50.9902
74,,1,56.2132,0,560,0,49,570,0,50.0100
75,,1,53.6569,92,217,0,94,165,0,52.0384
76,,1,53.6274,835,587,0,882,603,0,49.6488
77,,1,51.2426,26,674,0,76,675,0,50.0100
78,,1,49.2426,125,478,0,126,526,0,48.0104
79,,1,48.4264,208,604,0,244,574,0,46.8615
80,,1,48.3137,927,530,0,927,575,0,45.0000
81,,1,47.4558,1023,480,0,987,502,0,42.1900
82,,1,43.1838,439,72,0,471,99,0,41.8688
83,,1,43.1127,437,70,0,415,36,0,40.4969
84,,1,42.6274,62,293,0,98,279,0,38.6264
85,,1,42.3848,733,307,0,744,344,0,38.6005
86,,1,41.2426,927,530,0,967,529,0,40.0125
87,,1,39.8284,724,589,0,726,550,0,39.0512
88,,1,36.3553,0,622,0,25,648,0,36.0694
89,,1,36.1421,851,762,0,883,760,0,32.0624
90,,1,35.9706,244,574,0,259,600,0,30.0167
