 ,Angle,Frequency,Normalized Frequency
1,-90,1180.2258,0.0031
2,-89,1310.3196,0.0034
3,-88,1286.5305,0.0034
4,-87,6887.1428,0.0181
5,-86,2774.7783,0.0073
6,-85,1415.0862,0.0037
7,-84,895.2768,0.0024
8,-83,611.0317,0.0016
9,-82,448.5046,0.0012
10,-81,350.4537,0.0009
11,-80,278.1028,0.0007
12,-79,233.5715,0.0006
13,-78,214.3643,0.0006
14,-77,224.8031,0.0006
15,-76,291.5284,0.0008
16,-75,287.0850,0.0008
17,-74,184.3190,0.0005
18,-73,134.5833,0.0004
19,-72,111.9745,0.0003
20,-71,87.2487,0.0002
21,-70,81.3604,0.0002
22,-69,82.4667,0.0002
23,-68,88.3110,0.0002
24,-67,87.9459,0.0002
25,-66,117.2419,0.0003
26,-65,138.0732,0.0004
27,-64,171.7870,0.0005
28,-63,421.5098,0.0011
29,-62,751.2943,0.0020
30,-61,647.3072,0.0017
31,-60,643.4429,0.0017
32,-59,745.1280,0.0020
33,-58,1385.8452,0.0036
34,-57,2896.1999,0.0076
35,-56,1829.4484,0.0048
36,-55,1399.6458,0.0037
37,-54,1547.6118,0.0041
38,-53,1674.4780,0.0044
39,-52,1895.7709,0.0050
40,-51,2268.3430,0.0060
41,-50,2948.6633,0.0077
42,-49,4511.8508,0.0119
43,-48,7026.3542,0.0185
44,-47,10490.8391,0.0276
45,-46,12886.4465,0.0339
46,-45,17097.9289,0.0449
47,-44,8864.2658,0.0233
48,-43,4259.3098,0.0112
49,-42,2508.5258,0.0066
50,-41,1914.3737,0.0050
51,-40,1558.5815,0.0041
52,-39,1502.4108,0.0039
53,-38,1398.4443,0.0037
54,-37,1380.6555,0.0036
55,-36,1378.4048,0.0036
56,-35,1262.4069,0.0033
57,-34,1047.2119,0.0028
58,-33,790.9620,0.0021
59,-32,668.7802,0.0018
60,-31,588.9901,0.0015
61,-30,538.3189,0.0014
62,-29,486.3439,0.0013
63,-28,598.6203,0.0016
64,-27,671.2044,0.0018
65,-26,297.3705,0.0008
66,-25,288.6577,0.0008
67,-24,581.0956,0.0015
68,-23,749.4692,0.0020
69,-22,788.1688,0.0021
70,-21,586.2944,0.0015
71,-20,499.2763,0.0013
72,-19,490.6609,0.0013
73,-18,897.7145,0.0024
74,-17,2298.8942,0.0060
75,-16,1688.0268,0.0044
76,-15,1637.7922,0.0043
77,-14,2851.8234,0.0075
78,-13,3994.4738,0.0105
79,-12,3240.8950,0.0085
80,-11,3123.1120,0.0082
81,-10,2718.9033,0.0071
82,-9,2513.7172,0.0066
83,-8,1189.0218,0.0031
84,-7,1258.3848,0.0033
85,-6,1124.5099,0.0030
86,-5,951.1307,0.0025
87,-4,958.2927,0.0025
88,-3,1026.6796,0.0027
89,-2,832.3083,0.0022
90,-1,1596.6010,0.0042
91,0,6125.7033,0.0161
92,1,4239.6965,0.0111
93,2,1725.4382,0.0045
94,3,849.9578,0.0022
95,4,573.4901,0.0015
96,5,401.3922,0.0011
97,6,302.7370,0.0008
98,7,206.2498,0.0005
99,8,154.2286,0.0004
100,9,117.4025,0.0003
101,10,89.7840,0.0002
102,11,57.4541,0.0002
103,12,62.3620,0.0002
104,13,58.1568,0.0002
105,14,63.8115,0.0002
106,15,88.3315,0.0002
107,16,134.1194,0.0004
108,17,122.0199,0.0003
109,18,41.2883,0.0001
110,19,9.9119,2.604E-5
111,20,11.9858,3.149E-5
112,21,23.3246,6.127E-5
113,22,68.2356,0.0002
114,23,230.6572,0.0006
115,24,634.7584,0.0017
116,25,747.1887,0.0020
117,26,860.0292,0.0023
118,27,1307.9832,0.0034
119,28,1817.6315,0.0048
120,29,1228.5510,0.0032
121,30,838.2685,0.0022
122,31,950.6754,0.0025
123,32,1158.6242,0.0030
124,33,1515.5903,0.0040
125,34,1849.6208,0.0049
126,35,1670.1098,0.0044
127,36,1779.2250,0.0047
128,37,1925.1398,0.0051
129,38,2299.7375,0.0060
130,39,3165.4638,0.0083
131,40,3551.3430,0.0093
132,41,3607.5392,0.0095
133,42,4238.9479,0.0111
134,43,7901.5295,0.0208
135,44,7048.2580,0.0185
136,45,8038.9445,0.0211
137,46,10009.3078,0.0263
138,47,8644.5471,0.0227
139,48,16242.3527,0.0427
140,49,15407.6398,0.0405
141,50,8055.0773,0.0212
142,51,6826.0417,0.0179
143,52,3004.4548,0.0079
144,53,1399.8337,0.0037
145,54,1131.6706,0.0030
146,55,1005.4360,0.0026
147,56,1143.4102,0.0030
148,57,1356.1362,0.0036
149,58,1870.9767,0.0049
150,59,1931.8244,0.0051
151,60,3302.7453,0.0087
152,61,16973.1047,0.0446
153,62,9855.8381,0.0259
154,63,939.7516,0.0025
155,64,660.8354,0.0017
156,65,1409.5765,0.0037
157,66,1475.7160,0.0039
158,67,1426.9941,0.0037
159,68,498.3997,0.0013
160,69,455.8791,0.0012
161,70,516.9573,0.0014
162,71,608.4811,0.0016
163,72,666.7354,0.0018
164,73,217.1725,0.0006
165,74,95.4830,0.0003
166,75,17.5325,4.606E-5
167,76,0.0000,0.0000
168,77,11.8170,3.104E-5
169,78,32.8046,8.617E-5
170,79,64.6808,0.0002
171,80,183.3799,0.0005
172,81,368.8455,0.0010
173,82,293.9536,0.0008
174,83,520.1306,0.0014
175,84,537.4490,0.0014
176,85,482.6634,0.0013
177,86,550.6772,0.0014
178,87,651.8994,0.0017
179,88,613.5014,0.0016
180,89,1015.0515,0.0027
