 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,1182.0000,160.7939,68.7956,21.8760,140.3619,0.5745,3.1448,0.3180,0.9318
2,,11964.0000,519.9382,206.6638,73.7093,139.0499,0.5561,2.8038,0.3567,0.9412
3,,2385.0000,290.9605,129.8543,23.3853,124.8621,0.3540,5.5528,0.1801,0.9347
4,,176.0000,60.7696,16.2345,13.8034,176.1519,0.5989,1.1761,0.8503,0.8844
5,,500.0000,108.1838,47.1721,13.4957,101.4723,0.5369,3.4953,0.2861,0.9372
6,,155.0000,47.4558,17.7243,11.1346,83.1058,0.8649,1.5918,0.6282,0.9337
7,,13256.0000,637.4945,258.5142,65.2887,57.0278,0.4099,3.9596,0.2526,0.9379
8,,1452.0000,172.7939,63.7847,28.9841,147.5580,0.6111,2.2007,0.4544,0.9438
9,,465.0000,85.9828,29.7903,19.8741,160.1457,0.7904,1.4989,0.6671,0.9118
10,,2564.0000,272.6518,104.1404,31.3479,73.6591,0.4334,3.3221,0.3010,0.8852
11,,1710.0000,190.9361,54.3632,40.0499,102.5307,0.5894,1.3574,0.7367,0.9166
12,,566.0000,109.2965,37.7423,19.0940,166.5191,0.5954,1.9767,0.5059,0.8789
13,,152.0000,47.2132,17.7345,10.9128,84.7323,0.8569,1.6251,0.6153,0.9354
14,,118.0000,39.6985,12.8894,11.6563,114.6576,0.9409,1.1058,0.9043,0.9042
15,,266.0000,74.7696,29.3435,11.5420,172.4303,0.5979,2.5423,0.3933,0.8498
16,,2514.0000,189.1371,63.2503,50.6072,78.4998,0.8831,1.2498,0.8001,0.9750
17,,499.0000,88.1838,34.2853,18.5312,0.0274,0.8064,1.8501,0.5405,0.9442
18,,1805.0000,195.1371,73.4890,31.2727,42.7704,0.5957,2.3499,0.4255,0.9426
19,Mean,2318.2778,182.8554,70.3206,27.5869,109.1979,0.6442,2.3780,0.5120,0.9216
20,SD,3846.9840,163.4305,67.3127,18.7491,48.8774,0.1728,1.1713,0.2184,0.0306
21,Min,118.0000,39.6985,12.8894,10.9128,0.0274,0.3540,1.1058,0.1801,0.8498
22,Max,13256.0000,637.4945,258.5142,73.7093,176.1519,0.9409,5.5528,0.9043,0.9750
