Radius_Values,Frequency
0,0
1,179
2,131
3,227
4,304
5,211
6,215
7,146
8,113
9,195
10,129
11,113
12,74
13,74
14,76
15,88
16,144
17,133
18,114
19,66
20,52
21,68
22,55
23,63
24,54
25,49
26,32
27,41
28,31
29,24
30,23
31,17
32,21
33,19
34,82
35,55
36,38
37,113
38,102
39,64
40,34
41,21
42,49
43,22
44,22
45,18
46,13
47,34
48,22
49,15
50,13
51,40
52,33
53,29
54,33
55,23
56,16
57,17
58,14
59,13
60,9
61,7
62,10
63,7
64,7
65,8
66,10
67,14
68,13
69,36
70,81
71,27
72,44
73,5
74,4
75,3
76,3
77,4
78,2
79,4
80,3
81,4
82,3
83,4
84,4
85,4
86,3
87,5
88,3
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
