 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,5576,321.4630,103.4554,68.6246,80.1881,0.6781,1.5076,0.6633,0.9624
2,,3380,260.3087,81.3108,52.9272,77.7777,0.6268,1.5363,0.6509,0.9555
3,,3573,264.4924,77.5431,58.6678,60.6843,0.6418,1.3217,0.7566,0.9573
4,,83,46.0416,13.9517,7.5746,64.1085,0.4920,1.8419,0.5429,0.7905
5,,8462,452.4579,149.4266,72.1033,58.5629,0.5194,2.0724,0.4825,0.9379
6,,1517,280.4335,105.5876,18.2929,118.9062,0.2424,5.7721,0.1732,0.8908
7,,621,150.8528,53.4047,14.8055,24.3100,0.3429,3.6071,0.2772,0.8554
8,,1276,163.5391,53.0923,30.6006,78.4329,0.5995,1.7350,0.5764,0.9331
9,,3173,251.2792,81.2086,49.7483,38.2460,0.6315,1.6324,0.6126,0.9376
10,,811,138.2254,38.7956,26.6164,154.8184,0.5334,1.4576,0.6861,0.9138
11,,3200,279.0610,90.2737,45.1335,120.3124,0.5164,2.0001,0.5000,0.9424
12,,4583,318.8183,93.4974,62.4109,130.2364,0.5666,1.4981,0.6675,0.9446
13,,95,73.2132,28.4761,4.2477,100.2266,0.2227,6.7039,0.1492,0.6909
14,,1414,204.7107,68.4519,26.3011,72.7920,0.4240,2.6026,0.3842,0.9318
15,,14353,474.4163,147.1478,124.1936,92.9171,0.8014,1.1848,0.8440,0.9755
16,,492,141.4975,59.4373,10.5394,78.4984,0.3088,5.6395,0.1773,0.8159
17,,8638,572.5168,221.0157,49.7623,20.1919,0.3312,4.4414,0.2252,0.9551
18,,87,47.6985,15.3212,7.2300,71.5155,0.4805,2.1191,0.4719,0.7733
19,,48,28.3848,8.1824,7.4691,73.8903,0.7487,1.0955,0.9128,0.8421
20,,2419,230.7939,69.2556,44.4724,67.9246,0.5707,1.5573,0.6421,0.9279
21,,2479,199.4802,61.5630,51.2704,29.8366,0.7829,1.2008,0.8328,0.9605
22,,779,143.1960,42.7778,23.1862,148.7002,0.4774,1.8450,0.5420,0.9027
23,,8359,509.8549,154.6025,68.8411,30.7715,0.4041,2.2458,0.4453,0.9126
24,,1949,193.1960,51.9321,47.7844,1.8063,0.6562,1.0868,0.9201,0.9463
25,,140,58.7279,27.7862,6.4152,88.9434,0.5101,4.3313,0.2309,0.9524
26,,3006,322.1909,111.0545,34.4638,66.1948,0.3639,3.2224,0.3103,0.9258
27,,2154,209.5807,61.3113,44.7317,63.6522,0.6162,1.3706,0.7296,0.9343
28,,37,26.9706,10.3596,4.5474,145.3427,0.6392,2.2781,0.4390,0.8222
29,,191,132.8112,61.6913,3.9420,70.7117,0.1361,15.6497,0.0639,0.7208
30,,1676,282.6102,123.0781,17.3382,178.8963,0.2637,7.0987,0.1409,0.8208
31,,306,82.6690,23.8672,16.3242,100.7756,0.5627,1.4621,0.6840,0.8730
32,,289,88.3259,27.8119,13.2305,148.5254,0.4655,2.1021,0.4757,0.8488
33,,615,125.7401,40.8737,19.1576,176.7597,0.4888,2.1335,0.4687,0.9018
34,,205,93.8406,36.0667,7.2370,14.8366,0.2925,4.9837,0.2007,0.7930
35,,103,43.7990,15.1197,8.6737,151.1573,0.6747,1.7432,0.5737,0.8512
36,,1031,148.6102,57.8051,22.7093,159.4335,0.5866,2.5454,0.3929,0.9305
37,,127,54.2843,15.2944,10.5726,74.6244,0.5416,1.4466,0.6913,0.8328
38,,16,17.5563,6.3944,3.1859,135.1790,0.6523,2.0071,0.4982,0.7111
39,,195,110.8528,39.1442,6.3427,127.7950,0.1994,6.1715,0.1620,0.7290
40,,2865,282.2670,105.5813,34.5500,1.0212,0.4519,3.0559,0.3272,0.9473
41,,2540,290.3503,113.9077,28.3916,159.7399,0.3786,4.0120,0.2493,0.9255
42,,241,74.7696,21.2233,14.4582,85.3493,0.5417,1.4679,0.6812,0.8700
43,,1157,142.0244,51.2947,28.7191,133.6727,0.7208,1.7861,0.5599,0.9376
44,,11,17.8995,7.2360,1.9355,165.3904,0.4314,3.7385,0.2675,0.6471
45,,38,39.2132,16.7085,2.8957,161.6569,0.3105,5.7701,0.1733,0.7170
46,,79,46.0416,14.4785,6.9473,171.3544,0.4683,2.0840,0.4798,0.7707
47,,4355,295.8650,95.4644,58.0840,156.8305,0.6252,1.6436,0.6084,0.9554
48,,54,61.4558,27.4761,2.5024,76.2697,0.1797,10.9801,0.0911,0.6429
49,,3452,241.5807,71.6336,61.3570,61.6655,0.7433,1.1675,0.8565,0.9628
50,,99,50.0416,19.5073,6.4617,169.8842,0.4968,3.0189,0.3312,0.8761
51,,3761,294.6934,92.6931,51.6614,161.7454,0.5442,1.7942,0.5573,0.9262
52,,2529,247.9066,82.6617,38.9542,156.3605,0.5171,2.1220,0.4712,0.9445
53,,767,154.0244,58.4189,16.7168,112.9064,0.4063,3.4946,0.2862,0.8997
54,,2103,206.4924,76.3682,35.0620,135.7360,0.6198,2.1781,0.4591,0.9289
55,,62,52.2843,19.6068,4.0262,160.1809,0.2850,4.8698,0.2053,0.7294
56,,1020,227.8650,99.0440,13.1124,153.4939,0.2469,7.5535,0.1324,0.8722
57,,1085,177.4802,51.7839,26.6775,148.4785,0.4329,1.9411,0.5152,0.8343
58,,1203,167.5807,57.8117,26.4948,26.5652,0.5383,2.1820,0.4583,0.9275
59,,150,118.0660,56.3640,3.3884,131.4389,0.1352,16.6342,0.0601,0.6522
60,,14769,517.1026,160.1984,117.3824,25.2953,0.6941,1.3648,0.7327,0.9784
61,,237,90.9117,30.4279,9.9171,34.6263,0.3603,3.0682,0.3259,0.7783
62,,218,74.8701,26.4760,10.4837,0.6485,0.4887,2.5254,0.3960,0.8703
63,,489,115.8823,39.1512,15.9028,133.7748,0.4576,2.4619,0.4062,0.8678
64,,540,125.8406,40.7738,16.8625,170.9853,0.4285,2.4180,0.4136,0.8654
65,,21,16.7279,5.4829,4.8766,148.1474,0.9431,1.1243,0.8894,0.8571
66,,293,170.0833,76.7416,4.8612,169.7236,0.1273,15.7864,0.0633,0.7325
67,,49,46.8701,17.9940,3.4672,22.8944,0.2803,5.1898,0.1927,0.7206
68,,716,134.2254,46.3593,19.6647,10.5439,0.4994,2.3575,0.4242,0.8967
69,,490,94.9117,32.6495,19.1086,58.9725,0.6835,1.7086,0.5853,0.9041
70,,1384,186.3675,74.5782,23.6284,175.3477,0.5007,3.1563,0.3168,0.9310
71,,11,13.8995,4.8706,2.8756,167.7780,0.7155,1.6938,0.5904,0.7333
72,,355,106.1838,37.3937,12.0876,178.1370,0.3957,3.0936,0.3233,0.8798
73,,243,92.6690,33.3089,9.2887,11.2248,0.3556,3.5859,0.2789,0.8223
74,,26,22.7279,8.9445,3.7011,77.4353,0.6325,2.4167,0.4138,0.7761
75,,3236,256.8944,95.2017,43.2787,20.2839,0.6162,2.1997,0.4546,0.9494
76,,1019,159.5807,47.8090,27.1378,19.5126,0.5028,1.7617,0.5676,0.9070
77,,161,59.3553,20.4381,10.0299,109.9749,0.5743,2.0377,0.4907,0.8564
78,,2262,234.2498,82.4426,34.9342,31.3592,0.5180,2.3599,0.4237,0.9353
79,,15,23.5563,10.1669,1.8785,157.7789,0.3397,5.4123,0.1848,0.6122
80,,3162,261.4630,82.1261,49.0220,36.4237,0.5812,1.6753,0.5969,0.9517
81,,408,107.8406,40.2528,12.9055,175.6297,0.4409,3.1190,0.3206,0.9200
82,,319,85.3553,26.8339,15.1362,20.4111,0.5502,1.7728,0.5641,0.9075
83,,487,99.2965,33.9001,18.2910,170.4717,0.6207,1.8534,0.5396,0.8936
84,,7006,373.7716,126.3056,70.6249,144.5023,0.6302,1.7884,0.5592,0.9488
85,,620,115.7401,38.5777,20.4628,173.4510,0.5816,1.8853,0.5304,0.9240
86,,1013,181.4802,80.3777,16.0466,152.9104,0.3865,5.0090,0.1996,0.9012
87,,2157,196.9777,61.1106,44.9411,0.9085,0.6986,1.3598,0.7354,0.9477
88,,2823,268.7939,98.3705,36.5389,171.8065,0.4910,2.6922,0.3714,0.9478
89,,30,25.5563,7.3210,5.2175,77.6335,0.5772,1.4031,0.7127,0.7500
90,,846,192.4508,65.1654,16.5297,30.8468,0.2870,3.9423,0.2537,0.8351
91,,1926,194.2670,61.2643,40.0276,50.1974,0.6413,1.5306,0.6534,0.9354
92,,72,39.4558,12.2076,7.5095,52.9858,0.5812,1.6256,0.6152,0.8045
93,,11,11.8995,4.1484,3.3762,36.8699,0.9762,1.2287,0.8139,0.8462
94,,45,28.9706,10.6158,5.3972,47.5513,0.6738,1.9669,0.5084,0.8182
95,,649,138.1665,43.5686,18.9662,144.4468,0.4272,2.2972,0.4353,0.8729
96,,3524,292.6346,84.4386,53.1380,27.2059,0.5171,1.5890,0.6293,0.9428
97,,2329,233.8234,79.5517,37.2761,17.5826,0.5353,2.1341,0.4686,0.9466
98,,2107,232.4924,67.0588,40.0055,104.0251,0.4898,1.6762,0.5966,0.8735
99,,2202,193.9066,64.2288,43.6514,123.8502,0.7359,1.4714,0.6796,0.9459
100,,1948,204.0660,56.6564,43.7774,93.1996,0.5878,1.2942,0.7727,0.9370
101,,345,103.3970,42.5509,10.3234,27.6083,0.4055,4.1218,0.2426,0.8636
102,,5036,307.1026,104.3071,61.4727,154.8343,0.6710,1.6968,0.5893,0.9483
103,,1174,179.5391,71.2093,20.9914,96.9130,0.4577,3.3923,0.2948,0.9347
104,,111,50.0416,16.4252,8.6044,67.2330,0.5570,1.9089,0.5239,0.8315
105,,14,15.3137,5.5403,3.2174,111.6493,0.7502,1.7220,0.5807,0.8000
106,Mean,1732.6381,165.8011,56.5920,26.1799,95.8459,0.5108,3.0440,0.4689,0.8702
107,SD,2587.3589,119.3694,40.3055,23.4631,56.2832,0.1652,2.7765,0.2094,0.0858
108,Min,11,11.8995,4.1484,1.8785,0.6485,0.1273,1.0868,0.0601,0.6122
109,Max,14769,572.5168,221.0157,124.1936,178.8963,0.9762,16.6342,0.9201,0.9784
