 ,Angle,Frequency,Normalized Frequency
1,-90,157.0336,0.0006
2,-89,172.0259,0.0007
3,-88,173.1443,0.0007
4,-87,315.3666,0.0013
5,-86,1393.6774,0.0057
6,-85,976.0396,0.0040
7,-84,693.1673,0.0028
8,-83,518.6873,0.0021
9,-82,630.5087,0.0026
10,-81,718.5799,0.0029
11,-80,340.2141,0.0014
12,-79,98.6856,0.0004
13,-78,87.2380,0.0004
14,-77,64.4307,0.0003
15,-76,0.0000,0.0000
16,-75,20.3883,8.306E-5
17,-74,299.3711,0.0012
18,-73,526.9373,0.0021
19,-72,824.5847,0.0034
20,-71,729.5148,0.0030
21,-70,239.2739,0.0010
22,-69,145.2160,0.0006
23,-68,107.1486,0.0004
24,-67,122.5536,0.0005
25,-66,162.8429,0.0007
26,-65,533.8222,0.0022
27,-64,1329.9086,0.0054
28,-63,1060.4398,0.0043
29,-62,624.4140,0.0025
30,-61,352.5904,0.0014
31,-60,295.7172,0.0012
32,-59,289.3665,0.0012
33,-58,336.0251,0.0014
34,-57,308.7618,0.0013
35,-56,311.4095,0.0013
36,-55,343.2744,0.0014
37,-54,389.8118,0.0016
38,-53,491.3444,0.0020
39,-52,631.1017,0.0026
40,-51,790.8057,0.0032
41,-50,775.3334,0.0032
42,-49,962.6697,0.0039
43,-48,1232.9013,0.0050
44,-47,1754.6733,0.0071
45,-46,3358.4089,0.0137
46,-45,3666.9650,0.0149
47,-44,5451.1476,0.0222
48,-43,6681.8034,0.0272
49,-42,6872.9899,0.0280
50,-41,6503.3464,0.0265
51,-40,6071.4582,0.0247
52,-39,4146.5349,0.0169
53,-38,4041.8024,0.0165
54,-37,2654.3901,0.0108
55,-36,1675.9167,0.0068
56,-35,943.4953,0.0038
57,-34,1270.5143,0.0052
58,-33,1419.1586,0.0058
59,-32,1291.3353,0.0053
60,-31,942.5253,0.0038
61,-30,825.2404,0.0034
62,-29,468.5473,0.0019
63,-28,420.6118,0.0017
64,-27,449.5118,0.0018
65,-26,355.5759,0.0014
66,-25,160.4445,0.0007
67,-24,83.5316,0.0003
68,-23,47.3536,0.0002
69,-22,68.1655,0.0003
70,-21,99.7479,0.0004
71,-20,172.6654,0.0007
72,-19,163.1766,0.0007
73,-18,151.8491,0.0006
74,-17,156.6793,0.0006
75,-16,185.0521,0.0008
76,-15,275.2902,0.0011
77,-14,409.1994,0.0017
78,-13,378.9958,0.0015
79,-12,331.3633,0.0013
80,-11,352.5569,0.0014
81,-10,378.7257,0.0015
82,-9,390.9542,0.0016
83,-8,441.9819,0.0018
84,-7,346.8513,0.0014
85,-6,199.4168,0.0008
86,-5,324.5605,0.0013
87,-4,234.5590,0.0010
88,-3,177.7665,0.0007
89,-2,171.6459,0.0007
90,-1,200.6285,0.0008
91,0,278.0200,0.0011
92,1,491.5981,0.0020
93,2,1028.5795,0.0042
94,3,1637.7153,0.0067
95,4,2763.6464,0.0113
96,5,4516.1584,0.0184
97,6,3905.3810,0.0159
98,7,4673.9777,0.0190
99,8,2202.3779,0.0090
100,9,1478.0966,0.0060
101,10,1481.9240,0.0060
102,11,1149.5721,0.0047
103,12,940.4356,0.0038
104,13,859.3122,0.0035
105,14,771.8915,0.0031
106,15,746.7455,0.0030
107,16,798.4597,0.0033
108,17,770.9280,0.0031
109,18,514.2061,0.0021
110,19,425.4960,0.0017
111,20,511.3351,0.0021
112,21,746.5306,0.0030
113,22,1233.2586,0.0050
114,23,3788.0544,0.0154
115,24,2025.9882,0.0083
116,25,1947.2934,0.0079
117,26,2235.9577,0.0091
118,27,492.1223,0.0020
119,28,508.8665,0.0021
120,29,782.9987,0.0032
121,30,1374.0380,0.0056
122,31,1933.3979,0.0079
123,32,2015.6364,0.0082
124,33,2424.2411,0.0099
125,34,2893.2314,0.0118
126,35,1936.7123,0.0079
127,36,1684.5285,0.0069
128,37,1673.7328,0.0068
129,38,1587.4633,0.0065
130,39,1653.0253,0.0067
131,40,1615.5793,0.0066
132,41,1775.5019,0.0072
133,42,2034.2704,0.0083
134,43,2437.4604,0.0099
135,44,3669.4064,0.0149
136,45,2948.6933,0.0120
137,46,1895.0751,0.0077
138,47,1561.4413,0.0064
139,48,1437.8271,0.0059
140,49,1545.0803,0.0063
141,50,1899.5849,0.0077
142,51,1690.3427,0.0069
143,52,1425.3784,0.0058
144,53,1299.6035,0.0053
145,54,1331.7549,0.0054
146,55,1280.6138,0.0052
147,56,847.4142,0.0035
148,57,696.8013,0.0028
149,58,840.2164,0.0034
150,59,1261.8489,0.0051
151,60,1206.1380,0.0049
152,61,1113.2770,0.0045
153,62,1208.8465,0.0049
154,63,1418.8089,0.0058
155,64,1679.7392,0.0068
156,65,2413.7543,0.0098
157,66,2736.8923,0.0112
158,67,2865.2639,0.0117
159,68,4787.2844,0.0195
160,69,6094.4206,0.0248
161,70,2466.3835,0.0100
162,71,2615.7348,0.0107
163,72,2037.1301,0.0083
164,73,2046.5637,0.0083
165,74,2061.1660,0.0084
166,75,1552.4789,0.0063
167,76,1380.8295,0.0056
168,77,1582.2482,0.0064
169,78,1996.7119,0.0081
170,79,1665.6525,0.0068
171,80,1442.9223,0.0059
172,81,1124.5839,0.0046
173,82,813.5019,0.0033
174,83,694.3640,0.0028
175,84,361.3623,0.0015
176,85,196.4833,0.0008
177,86,197.7083,0.0008
178,87,231.6681,0.0009
179,88,221.6597,0.0009
180,89,166.3251,0.0007
