 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,270.9117,1018,435,0,763,472,0,257.6703
2,,1,268.8635,1019,514,0,757,531,0,262.5509
3,,1,208.1127,294,296,0,314,97,0,200.0025
4,,1,205.6985,97,315,0,294,296,0,197.9141
5,,1,196.5513,182,96,0,257,259,0,179.4269
6,,1,193.7229,96,182,0,257,259,0,178.4657
7,,1,183.2965,1023,349,0,870,290,0,163.9817
8,,1,170.3675,790,598,0,938,652,0,157.5436
9,,1,170.3087,312,355,0,400,483,0,155.3319
10,,1,169.7229,354,313,0,483,400,0,155.5956
11,,1,151.3970,427,166,0,468,299,0,139.1761
12,,1,149.9828,165,428,0,298,469,0,139.1761
13,,1,129.4264,153,428,0,175,545,0,119.0504
14,,1,129.4264,428,153,0,545,175,0,119.0504
15,,1,128.2376,936,235,0,995,153,0,101.0198
16,,1,124.8112,197,616,0,242,721,0,114.2366
17,,1,124.8112,614,199,0,721,242,0,115.3170
18,,1,122.2843,124,729,0,238,747,0,115.4123
19,,1,122.2843,729,124,0,747,238,0,115.4123
20,,1,120.7186,66,592,0,66,708,0,116.0000
21,,1,120.7186,592,66,0,708,66,0,116.0000
22,,1,120.6274,298,469,0,312,355,0,114.8564
23,,1,120.6274,354,313,0,468,299,0,114.8564
24,,1,119.0416,183,546,0,295,543,0,112.0402
25,,1,117.6274,543,295,0,545,184,0,111.0180
26,,1,113.4802,405,484,0,484,405,0,111.7229
27,,1,112.3137,725,54,0,834,52,0,109.0183
28,,1,108.4680,916,96,0,995,45,0,94.0319
29,,1,108.2548,1023,724,0,952,668,0,90.4268
30,,1,104.4975,328,616,0,418,651,0,96.5660
31,,1,104.4975,615,329,0,651,418,0,96.0052
32,,1,104.3675,614,199,0,668,117,0,98.1835
33,,1,103.4558,662,494,0,758,476,0,97.6729
34,,1,102.8701,429,514,0,524,531,0,96.5091
35,,1,102.8701,514,429,0,531,524,0,96.5091
36,,1,101.5391,117,668,0,197,616,0,95.4149
37,,1,100.9117,524,556,0,559,641,0,91.9239
38,,1,100.0416,476,755,0,493,662,0,94.5410
39,,1,99.4975,555,525,0,640,560,0,91.9239
40,,1,99.4853,81,507,0,83,410,0,97.0206
41,,1,99.4853,410,83,0,507,81,0,97.0206
42,,1,99.2132,79,222,0,92,315,0,93.9042
43,,1,98.3848,221,80,0,314,93,0,93.9042
44,,1,97.5563,729,124,0,822,135,0,93.6483
45,,1,97.2965,242,721,0,305,658,0,89.0955
46,,1,97.2965,658,305,0,721,242,0,89.0955
47,,1,96.7107,232,606,0,295,543,0,89.0955
48,,1,95.8823,328,616,0,376,540,0,89.8888
49,,1,95.8823,539,377,0,615,329,0,89.8888
50,,1,95.8635,21,23,0,110,36,0,89.9444
