 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,593.8650,1023,73,0,480,86,0,543.1556
2,,1,360.0538,49,28,0,390,74,0,344.0887
3,,1,313.7107,292,429,0,584,404,0,293.0683
4,,1,299.4214,708,615,0,963,512,0,275.0164
5,,1,248.7939,472,714,0,686,630,0,229.8956
6,,1,247.2082,26,173,0,111,385,0,228.4053
7,,1,245.9117,441,250,0,671,235,0,230.4886
8,,1,221.4924,390,74,0,427,252,0,181.8048
9,,1,210.4214,5,719,0,99,550,0,193.3830
10,,1,199.8902,999,313,0,1003,507,0,194.0412
11,,1,192.8701,987,691,0,1003,507,0,184.6943
12,,1,163.1421,99,550,0,109,391,0,159.3142
13,,1,156.1493,220,500,0,109,391,0,155.5699
14,,1,155.9533,298,310,0,427,252,0,141.4390
15,,1,153.8944,224,329,0,235,219,0,110.5486
16,,1,151.6985,1023,173,0,999,313,0,142.0422
17,,1,149.5807,236,659,0,356,589,0,138.9244
18,,1,146.6224,910,205,0,999,313,0,139.9464
19,,1,146.4975,671,235,0,802,215,0,132.5179
20,,1,139.5097,356,589,0,422,698,0,127.4245
21,,1,128.1960,142,634,0,236,659,0,97.2677
22,,1,127.6812,298,310,0,322,402,0,95.0789
23,,1,126.3259,247,693,0,358,730,0,117.0043
24,,1,125.4092,278,500,0,356,589,0,118.3427
25,,1,120.5807,52,705,0,141,697,0,89.3588
26,,1,116.9533,567,767,0,472,714,0,108.7842
27,,1,113.5097,182,386,0,269,450,0,108.0046
28,,1,109.9949,507,332,0,436,252,0,106.9626
29,,1,108.2132,11,71,0,26,173,0,103.0970
30,,1,107.2548,678,376,0,584,404,0,98.0816
31,,1,105.3259,99,550,0,142,634,0,94.3663
32,,1,104.8701,863,707,0,766,688,0,98.8433
33,,1,96.5269,456,172,0,480,86,0,89.2861
34,,1,94.9706,390,74,0,480,86,0,90.7965
35,,1,92.4975,11,71,0,49,28,0,57.3847
36,,1,88.8701,919,323,0,999,313,0,80.6226
37,,1,85.0416,441,250,0,456,172,0,79.4292
38,,1,81.8701,224,329,0,298,310,0,76.4003
39,,1,78.9828,533,352,0,584,404,0,72.8354
40,,1,77.2548,358,730,0,422,698,0,71.5542
41,,1,74.3970,182,386,0,224,329,0,70.8025
42,,1,74.2548,302,767,0,358,730,0,67.1193
43,,1,71.4142,111,385,0,182,386,0,71.0070
44,,1,71.3553,778,748,0,766,688,0,61.1882
45,,1,66.3970,671,235,0,720,277,0,64.5368
46,,1,65.4975,178,716,0,229,681,0,61.8547
47,,1,63.4142,141,697,0,142,634,0,63.0079
48,,1,59.8406,927,766,0,974,735,0,56.3028
49,,1,58.3848,950,459,0,963,512,0,54.5711
50,,1,56.6274,422,698,0,472,714,0,52.4976
51,,1,56.5269,224,740,0,247,693,0,52.3259
52,,1,55.9411,178,716,0,224,740,0,51.8845
53,,1,53.7279,269,450,0,278,500,0,50.8035
54,,1,53.4975,242,538,0,278,500,0,52.3450
55,,1,49.3848,974,735,0,987,691,0,45.8803
56,,1,48.0416,744,723,0,743,682,0,41.0122
57,,1,47.2548,1008,767,0,974,735,0,46.6905
58,,1,44.8701,141,697,0,178,716,0,41.5933
59,,1,43.8701,838,198,0,802,215,0,39.8121
60,,1,42.0711,963,512,0,1003,507,0,40.3113
61,,1,41.1838,292,429,0,322,402,0,40.3609
62,,1,40.7696,254,766,0,224,740,0,39.6989
63,,1,40.0416,844,237,0,811,220,0,37.1214
64,,1,39.5563,686,630,0,717,645,0,34.4384
65,,1,37.0000,419,172,0,456,172,0,37.0000
66,,1,36.2843,54,153,0,26,173,0,34.4093
67,,1,35.1421,708,615,0,717,645,0,31.3209
68,,1,33.7990,221,191,0,235,219,0,31.3050
69,,1,33.4853,695,673,0,725,674,0,30.0167
70,,1,32.6766,717,645,0,725,674,0,30.0832
71,,1,32.5563,667,666,0,695,673,0,28.8617
72,,1,32.5079,717,645,0,744,633,0,29.5466
73,,1,29.2843,29,49,0,49,28,0,29.0000
74,,1,28.2132,28,51,0,11,71,0,26.2488
75,,1,27.8995,260,220,0,235,219,0,25.0200
76,,1,27.4558,1007,709,0,987,691,0,26.9072
77,,1,26.6274,831,204,0,811,220,0,25.6125
78,,1,25.4853,743,682,0,766,688,0,23.7697
79,,1,23.7279,327,382,0,322,402,0,20.6155
80,,1,21.3137,725,674,0,743,682,0,19.6977
81,,1,19.0711,0,736,0,5,719,0,17.7200
82,,1,18.6569,737,281,0,720,277,0,17.4642
83,,1,15.1421,280,440,0,269,450,0,14.8661
84,,1,15.1421,684,683,0,695,673,0,14.8661
85,,1,14.8995,694,619,0,686,630,0,13.6015
86,,1,13.7279,282,438,0,292,429,0,13.4536
87,,1,13.6569,696,619,0,708,615,0,12.6491
88,,1,13.3137,730,269,0,720,277,0,12.8062
89,,1,12.8995,236,671,0,229,681,0,12.2066
90,,1,11.0711,238,686,0,229,681,0,10.2956
91,,1,11.0711,802,215,0,811,220,0,10.2956
92,,1,10.8284,236,669,0,236,659,0,10.0000
93,,1,10.0711,240,687,0,247,693,0,9.2195
94,,1,9.0000,427,252,0,436,252,0,9.0000
95,,1,8.4142,752,632,0,744,633,0,8.0623
96,,1,4.8284,9,719,0,5,719,0,4.0000
97,,1,2.8284,418,173,0,419,172,0,1.4142
98,,1,2.4142,110,387,0,111,385,0,2.2361
99,,1,2.4142,110,389,0,109,391,0,2.2361
100,,1,2.4142,438,251,0,436,252,0,2.2361
