 ,Angle,Frequency,Normalized Frequency
1,-90,10828.9041,0.0263
2,-89,1545.5166,0.0038
3,-88,914.3601,0.0022
4,-87,786.3687,0.0019
5,-86,978.3131,0.0024
6,-85,1069.0682,0.0026
7,-84,1035.6743,0.0025
8,-83,2019.1309,0.0049
9,-82,2233.7356,0.0054
10,-81,865.5693,0.0021
11,-80,652.9655,0.0016
12,-79,544.8453,0.0013
13,-78,521.9839,0.0013
14,-77,570.6780,0.0014
15,-76,695.1761,0.0017
16,-75,750.3271,0.0018
17,-74,498.7335,0.0012
18,-73,426.2525,0.0010
19,-72,596.1071,0.0014
20,-71,709.1250,0.0017
21,-70,1871.2534,0.0045
22,-69,1037.9130,0.0025
23,-68,487.8580,0.0012
24,-67,485.8359,0.0012
25,-66,720.7197,0.0017
26,-65,710.9052,0.0017
27,-64,706.0729,0.0017
28,-63,627.0459,0.0015
29,-62,570.5645,0.0014
30,-61,580.1202,0.0014
31,-60,598.3065,0.0015
32,-59,612.8875,0.0015
33,-58,510.9359,0.0012
34,-57,1407.1296,0.0034
35,-56,1726.1128,0.0042
36,-55,1460.7827,0.0035
37,-54,1491.4757,0.0036
38,-53,1648.9446,0.0040
39,-52,2019.2573,0.0049
40,-51,2767.0632,0.0067
41,-50,3875.4309,0.0094
42,-49,4084.3313,0.0099
43,-48,3772.9822,0.0092
44,-47,5012.3669,0.0122
45,-46,6276.0437,0.0152
46,-45,9673.8357,0.0235
47,-44,4665.9250,0.0113
48,-43,2619.7229,0.0064
49,-42,2225.5718,0.0054
50,-41,2029.4858,0.0049
51,-40,1951.0649,0.0047
52,-39,1418.9327,0.0034
53,-38,910.1750,0.0022
54,-37,757.3417,0.0018
55,-36,876.3132,0.0021
56,-35,981.6780,0.0024
57,-34,975.0962,0.0024
58,-33,929.8276,0.0023
59,-32,807.3655,0.0020
60,-31,757.3179,0.0018
61,-30,722.3352,0.0018
62,-29,718.3489,0.0017
63,-28,834.4454,0.0020
64,-27,1223.0559,0.0030
65,-26,1027.4467,0.0025
66,-25,902.9550,0.0022
67,-24,846.7333,0.0021
68,-23,841.9402,0.0020
69,-22,1001.8149,0.0024
70,-21,773.0212,0.0019
71,-20,619.8391,0.0015
72,-19,1191.0376,0.0029
73,-18,1329.1212,0.0032
74,-17,1334.4017,0.0032
75,-16,1401.3451,0.0034
76,-15,1493.4844,0.0036
77,-14,1459.9489,0.0035
78,-13,1600.5179,0.0039
79,-12,3057.8904,0.0074
80,-11,3086.6643,0.0075
81,-10,3219.7961,0.0078
82,-9,6478.7722,0.0157
83,-8,7025.3826,0.0171
84,-7,7155.8411,0.0174
85,-6,2845.8848,0.0069
86,-5,2742.1240,0.0067
87,-4,2914.6760,0.0071
88,-3,2835.0505,0.0069
89,-2,3217.2424,0.0078
90,-1,4874.5676,0.0118
91,0,4464.6345,0.0108
92,1,4428.2673,0.0108
93,2,9820.3455,0.0238
94,3,10489.9626,0.0255
95,4,15604.1443,0.0379
96,5,8836.0046,0.0215
97,6,11470.5173,0.0279
98,7,12210.4402,0.0296
99,8,8737.8318,0.0212
100,9,5919.4050,0.0144
101,10,5312.0876,0.0129
102,11,4433.9158,0.0108
103,12,5620.7126,0.0136
104,13,4163.0925,0.0101
105,14,2497.9680,0.0061
106,15,3016.2329,0.0073
107,16,3549.9993,0.0086
108,17,2662.7505,0.0065
109,18,3273.1248,0.0079
110,19,4935.1423,0.0120
111,20,6913.6394,0.0168
112,21,10683.0564,0.0259
113,22,6006.4529,0.0146
114,23,1420.5022,0.0034
115,24,664.3698,0.0016
116,25,639.1327,0.0016
117,26,648.7142,0.0016
118,27,679.7162,0.0017
119,28,755.6656,0.0018
120,29,799.8400,0.0019
121,30,689.4526,0.0017
122,31,558.4268,0.0014
123,32,504.0086,0.0012
124,33,497.0479,0.0012
125,34,540.1075,0.0013
126,35,515.8279,0.0013
127,36,660.4432,0.0016
128,37,1140.2491,0.0028
129,38,1006.2201,0.0024
130,39,857.0803,0.0021
131,40,911.2850,0.0022
132,41,1008.2870,0.0024
133,42,1268.8896,0.0031
134,43,1014.8440,0.0025
135,44,739.7528,0.0018
136,45,5806.7185,0.0141
137,46,3561.3567,0.0086
138,47,1612.5488,0.0039
139,48,1100.7133,0.0027
140,49,825.7698,0.0020
141,50,522.5088,0.0013
142,51,355.8505,0.0009
143,52,267.8918,0.0007
144,53,202.3524,0.0005
145,54,155.6676,0.0004
146,55,124.2940,0.0003
147,56,94.5594,0.0002
148,57,69.4208,0.0002
149,58,41.5532,0.0001
150,59,27.4152,6.657E-5
151,60,16.5098,4.009E-5
152,61,7.1888,1.745E-5
153,62,7.2652,1.764E-5
154,63,0.0000,0.0000
155,64,18.1614,4.410E-5
156,65,62.8547,0.0002
157,66,64.2573,0.0002
158,67,84.4981,0.0002
159,68,106.0309,0.0003
160,69,144.5569,0.0004
161,70,193.7763,0.0005
162,71,220.2250,0.0005
163,72,208.4676,0.0005
164,73,194.6025,0.0005
165,74,178.6996,0.0004
166,75,179.8165,0.0004
167,76,193.4621,0.0005
168,77,247.5273,0.0006
169,78,291.3325,0.0007
170,79,378.1132,0.0009
171,80,830.9458,0.0020
172,81,2287.3523,0.0056
173,82,3739.4856,0.0091
174,83,1590.7688,0.0039
175,84,1394.9146,0.0034
176,85,1520.1405,0.0037
177,86,1855.4353,0.0045
178,87,2779.6111,0.0067
179,88,4435.9343,0.0108
180,89,7434.7913,0.0181
