 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,169.0000,47.9411,16.6347,12.9355,129.4379,0.9240,1.2860,0.7776,0.9185
2,,37236.0000,1132.5555,323.7445,146.4437,165.9610,0.3648,2.2107,0.4523,0.8373
3,,777.0000,117.3970,39.6788,24.9329,29.1000,0.7085,1.5914,0.6284,0.9195
4,,500.0000,147.2376,43.2747,14.7111,32.8585,0.2898,2.9416,0.3399,0.6716
5,,7999.0000,440.7595,148.0984,68.7695,117.8365,0.5174,2.1535,0.4643,0.8980
6,,131.0000,42.6274,15.1395,11.0172,11.6676,0.9059,1.3742,0.7277,0.9225
7,,5227.0000,316.8772,112.9502,58.9217,163.4956,0.6542,1.9170,0.5217,0.9583
8,,259.0000,62.7696,23.5977,13.9746,101.6612,0.8261,1.6886,0.5922,0.9234
9,,86.0000,39.4558,16.9050,6.4773,116.7398,0.6942,2.6099,0.3832,0.8776
10,Mean,5820.4444,260.8467,82.2248,39.7982,96.5287,0.6539,1.9748,0.5430,0.8807
11,SD,12113.5306,355.3284,102.1327,45.7653,58.1799,0.2251,0.5583,0.1502,0.0855
12,Min,86.0000,39.4558,15.1395,6.4773,11.6676,0.2898,1.2860,0.3399,0.6716
13,Max,37236.0000,1132.5555,323.7445,146.4437,165.9610,0.9240,2.9416,0.7776,0.9583
