 ,Char. Length,Eucl. Length,File Name
1,308.0366,272.6628,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
2,253.6640,232.2283,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
3,246.1615,233.6001,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
4,234.4092,205.5480,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
5,199.4214,149.4590,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
6,185.3797,156.8949,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
7,183.3087,157.8512,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
8,179.7401,167.9047,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
9,176.0660,159.8499,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
10,173.8823,126.7754,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
11,173.6224,161.9877,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
12,161.7523,135.0741,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
13,158.2670,137.0328,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
14,157.9239,137.2662,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
15,157.2670,145.4132,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
16,154.5219,147.8682,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
17,150.5685,69.4262,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
18,150.5269,121.6553,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
19,150.0071,147.1054,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
20,147.6812,130.1384,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
21,145.3259,135.1629,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
22,141.4386,127.0276,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
23,136.6224,132.4575,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
24,134.0244,115.1347,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
25,133.5685,123.0163,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
26,132.3675,110.8873,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
27,129.9117,120.5031,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
