 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
1,1239,72.2709,21.8282,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
2,3299,96.6007,43.4823,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
3,2333,67.8314,43.7919,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
4,4539,107.1842,53.9187,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
5,31,7.4502,5.2979,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
6,10191,138.6173,93.6072,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
7,2306,66.4068,44.2137,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
8,46,11.2823,5.1912,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
9,608,46.7021,16.5759,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
10,2603,88.9783,37.2478,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
11,3026,106.6188,36.1364,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
12,193,28.1367,8.7336,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
13,12649,167.8410,95.9551,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
14,688,37.6861,23.2444,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
15,278,20.2151,17.5098,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
16,1550,72.2300,27.3227,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
17,2123,73.1283,36.9636,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
18,2608,125.2104,26.5202,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
19,1017,61.5569,21.0356,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
20,324,37.7068,10.9404,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
21,3586,105.6387,43.2213,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
22,59,11.2570,6.6733,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
23,1922,65.4327,37.3998,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
24,2133,72.3297,37.5478,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
25,69,13.4715,6.5214,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
26,7685,218.6641,44.7483,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
27,31,7.5214,5.2478,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
28,3484,95.5634,46.4191,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
29,2525,68.5744,46.8824,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
30,791,51.3732,19.6042,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
31,1617,92.0292,22.3715,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
32,9085,175.8886,65.7654,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
33,1037,134.5428,9.8136,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
34,123,19.1037,8.1978,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
35,672,57.1582,14.9693,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
36,360,31.7811,14.4226,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
37,951,46.5838,25.9930,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
38,450,48.2616,11.8719,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
39,604,41.4216,18.5661,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
40,580,36.4148,20.2796,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
41,21,5.1709,5.1709,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
42,208,23.3493,11.3423,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
43,198,30.8593,8.1694,3 4 pclpeo cam kelli 10k67_S1_Pore Data2.csv
44,1547,73.1513,26.9264,3 4 pclpeo cam kelli 10k71_S1_Pore Data2.csv
45,9885,140.3384,89.6830,3 4 pclpeo cam kelli 10k71_S1_Pore Data2.csv
46,2367,85.1141,35.4085,3 4 pclpeo cam kelli 10k71_S1_Pore Data2.csv
