 ,Angle,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv Normalized,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
1,-90,1629.4495,0.0060,2708.0898,0.0072,2520.9230,0.0069,6858.4623,0.0201
2,-89,1934.4818,0.0071,2303.4939,0.0061,1250.3786,0.0034,5488.3543,0.0166
3,-88,1561.4009,0.0057,2141.1458,0.0057,1042.6915,0.0028,4745.2382,0.0142
4,-87,1339.7459,0.0049,1452.3477,0.0039,821.4865,0.0022,3613.5801,0.0110
5,-86,1620.1751,0.0059,985.8243,0.0026,458.2373,0.0012,3064.2367,0.0097
6,-85,2764.2686,0.0101,629.8018,0.0017,476.4862,0.0013,3870.5566,0.0131
7,-84,2269.2007,0.0083,507.8718,0.0013,659.4929,0.0018,3436.5654,0.0114
8,-83,1636.0806,0.0060,457.2835,0.0012,607.0952,0.0017,2700.4593,0.0089
9,-82,1378.1978,0.0050,416.3392,0.0011,350.7021,0.0010,2145.2391,0.0071
10,-81,2047.0345,0.0075,423.6233,0.0011,267.7287,0.0007,2738.3865,0.0093
11,-80,2286.9932,0.0084,478.7867,0.0013,207.0482,0.0006,2972.8281,0.0103
12,-79,2627.2432,0.0096,303.5057,0.0008,164.2023,0.0004,3094.9512,0.0108
13,-78,3426.5381,0.0125,561.1393,0.0015,133.3768,0.0004,4121.0542,0.0144
14,-77,3669.5821,0.0134,1241.9955,0.0033,115.4974,0.0003,5027.0750,0.0170
15,-76,6436.1143,0.0236,1645.5742,0.0044,140.6819,0.0004,8222.3704,0.0284
16,-75,6838.2398,0.0250,2230.0640,0.0059,489.1452,0.0013,9557.4490,0.0322
17,-74,1810.9070,0.0066,509.5459,0.0014,1136.3042,0.0031,3456.7571,0.0111
18,-73,1045.9208,0.0038,325.0050,0.0009,382.5119,0.0010,1753.4377,0.0057
19,-72,904.3586,0.0033,319.7465,0.0008,119.6903,0.0003,1343.7954,0.0044
20,-71,1062.1480,0.0039,346.6799,0.0009,77.3697,0.0002,1486.1976,0.0050
21,-70,972.7429,0.0036,465.6265,0.0012,45.0030,0.0001,1483.3724,0.0049
22,-69,1016.2410,0.0037,1051.7394,0.0028,25.0325,6.812E-5,2093.0129,0.0066
23,-68,1300.7574,0.0048,1990.4897,0.0053,16.3670,4.454E-5,3307.6141,0.0101
24,-67,1326.2464,0.0049,1508.5403,0.0040,6.0941,1.658E-5,2840.8808,0.0089
25,-66,1919.3541,0.0070,1041.8925,0.0028,2.0207,5.499E-6,2963.2673,0.0098
26,-65,1329.4476,0.0049,953.3717,0.0025,0,0,2282.8193,0.0074
27,-64,1509.3973,0.0055,957.4391,0.0025,1.6977,4.619E-6,2468.5341,0.0080
28,-63,1818.3875,0.0067,1283.3008,0.0034,1.4088,3.833E-6,3103.0971,0.0101
29,-62,2055.6807,0.0075,1031.5856,0.0027,1.1753,3.198E-6,3088.4416,0.0102
30,-61,2226.2078,0.0082,975.8353,0.0026,10.5838,2.880E-5,3212.6269,0.0108
31,-60,2493.1087,0.0091,983.9568,0.0026,18.6875,5.085E-5,3495.7530,0.0118
32,-59,3118.5052,0.0114,1022.2368,0.0027,25.1309,6.838E-5,4165.8729,0.0142
33,-58,2945.6011,0.0108,1019.7147,0.0027,42.1390,0.0001,4007.4548,0.0136
34,-57,1797.1932,0.0066,981.0126,0.0026,64.1824,0.0002,2842.3882,0.0094
35,-56,1390.6946,0.0051,1053.9519,0.0028,86.4463,0.0002,2531.0928,0.0081
36,-55,1360.1104,0.0050,1235.9142,0.0033,103.7310,0.0003,2699.7556,0.0086
37,-54,1762.8958,0.0065,2340.8884,0.0062,123.4085,0.0003,4227.1927,0.0130
38,-53,2636.3626,0.0097,2546.3435,0.0068,165.0002,0.0004,5347.7063,0.0169
39,-52,1926.3829,0.0071,2463.3579,0.0065,213.0816,0.0006,4602.8224,0.0142
40,-51,1423.2520,0.0052,2797.9722,0.0074,291.1988,0.0008,4512.4230,0.0134
41,-50,1209.6717,0.0044,3356.9907,0.0089,401.0374,0.0011,4967.6998,0.0144
42,-49,994.0153,0.0036,5410.8198,0.0144,586.9174,0.0016,6991.7525,0.0196
43,-48,927.9893,0.0034,7165.5498,0.0190,1053.8175,0.0029,9147.3566,0.0253
44,-47,1147.9716,0.0042,5455.8711,0.0145,1486.7377,0.0040,8090.5804,0.0227
