 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,308.0366,628,428,0,647,700,0,272.6628
2,,1,253.6640,103,336,0,200,125,0,232.2283
3,,1,246.1615,1,260,0,188,120,0,233.6001
4,,1,234.4092,563,489,0,578,694,0,205.5480
5,,1,199.4214,461,45,0,608,72,0,149.4590
6,,1,185.3797,915,312,0,961,162,0,156.8949
7,,1,183.3087,470,638,0,516,487,0,157.8512
8,,1,179.7401,166,662,0,202,498,0,167.9047
9,,1,176.0660,751,457,0,835,593,0,159.8499
10,,1,173.8823,1023,706,0,897,720,0,126.7754
11,,1,173.6224,151,357,0,239,221,0,161.9877
12,,1,161.7523,698,269,0,715,135,0,135.0741
13,,1,158.2670,41,137,0,174,104,0,137.0328
14,,1,157.9239,431,281,0,562,240,0,137.2662
15,,1,157.2670,205,485,0,337,424,0,145.4132
16,,1,154.5219,1023,413,0,915,312,0,147.8682
17,,1,150.5685,924,461,0,976,507,0,69.4262
18,,1,150.5269,470,638,0,578,694,0,121.6553
19,,1,150.0071,322,136,0,428,34,0,147.1054
20,,1,147.6812,322,136,0,412,230,0,130.1384
21,,1,145.3259,523,308,0,560,438,0,135.1629
22,,1,141.4386,400,532,0,470,638,0,127.0276
23,,1,136.6224,412,230,0,511,142,0,132.4575
24,,1,134.0244,621,426,0,655,316,0,115.1347
25,,1,133.5685,205,485,0,243,368,0,123.0163
26,,1,132.3675,881,670,0,895,560,0,110.8873
27,,1,129.9117,875,56,0,911,171,0,120.5031
28,,1,129.3610,107,743,0,135,691,0,59.0593
29,,1,128.9949,400,532,0,500,462,0,122.0656
30,,1,127.6985,0,328,0,101,367,0,108.2682
31,,1,127.1543,299,314,0,337,424,0,116.3787
32,,1,125.2670,464,406,0,473,306,0,100.4042
33,,1,124.6396,854,208,0,897,314,0,114.3897
34,,1,121.7817,365,457,0,464,406,0,111.3643
35,,1,120.8112,57,602,0,98,499,0,110.8603
36,,1,120.6396,461,45,0,511,142,0,109.1284
37,,1,119.8406,125,438,0,140,379,0,60.8769
38,,1,117.1665,521,142,0,608,72,0,111.6647
39,,1,115.8112,521,142,0,562,240,0,106.2309
40,,1,111.2965,625,73,0,713,125,0,102.2155
41,,1,108.8701,299,288,0,400,269,0,102.7716
42,,1,107.6102,729,147,0,791,226,0,100.4241
43,,1,106.0244,941,5,0,1000,86,0,100.2098
44,,1,104.7817,13,684,0,52,602,0,90.8020
45,,1,101.9828,0,52,0,41,137,0,94.3716
46,,1,101.8823,822,767,0,741,718,0,94.6678
47,,1,101.7990,2,499,0,98,499,0,96.0000
48,,1,101.2254,239,156,0,322,136,0,85.3756
49,,1,100.4680,625,73,0,704,24,0,92.9624
50,,1,99.5685,835,593,0,881,670,0,89.6939
51,,1,98.3970,25,0,0,106,42,0,91.2414
52,,1,98.3259,655,316,0,694,397,0,89.8999
53,,1,96.5563,151,357,0,243,368,0,92.6553
54,,1,96.5391,239,221,0,299,288,0,89.9389
55,,1,95.0833,961,162,0,1000,86,0,85.4225
56,,1,93.6812,106,42,0,174,104,0,92.0217
57,,1,93.1543,853,386,0,897,314,0,84.3801
58,,1,91.7401,721,409,0,792,410,0,71.0070
59,,1,90.6690,365,457,0,400,532,0,82.7647
60,,1,89.8406,125,467,0,202,498,0,83.0060
61,,1,88.0538,166,662,0,235,708,0,82.9277
62,,1,86.1543,897,550,0,963,507,0,78.7718
63,,1,84.0833,358,0,0,428,34,0,77.8203
64,,1,83.8406,941,5,0,1011,29,0,74.0000
65,,1,83.7107,75,638,0,135,691,0,80.0562
66,,1,83.7107,156,684,0,219,734,0,80.4301
67,,1,80.9411,775,0,0,704,24,0,74.9466
68,,1,80.2548,628,428,0,694,397,0,72.9178
69,,1,78.3675,243,368,0,299,314,0,77.7946
70,,1,76.3553,698,269,0,760,242,0,67.6240
71,,1,75.7107,2,547,0,52,602,0,74.3303
72,,1,74.9411,704,24,0,724,89,0,68.0074
73,,1,74.6690,854,208,0,911,171,0,67.9559
74,,1,74.2426,577,294,0,650,297,0,73.0616
75,,1,72.6396,718,660,0,664,705,0,70.2922
76,,1,71.4853,578,694,0,647,700,0,69.2604
77,,1,70.4853,874,449,0,876,517,0,68.0294
78,,1,70.4558,791,226,0,854,208,0,65.5210
79,,1,70.0122,824,328,0,853,386,0,64.8460
80,,1,67.6274,560,438,0,621,426,0,62.1691
81,,1,67.6274,274,671,0,279,731,0,60.2080
82,,1,66.6274,125,438,0,140,379,0,60.8769
83,,1,65.8284,239,156,0,239,221,0,65.0000
84,,1,65.6985,721,409,0,751,457,0,56.6039
85,,1,65.6690,924,461,0,963,507,0,60.3075
86,,1,65.3553,341,766,0,286,741,0,60.4152
87,,1,64.5563,45,737,0,74,697,0,49.4065
88,,1,62.9117,712,212,0,760,242,0,56.6039
89,,1,62.2132,562,240,0,577,294,0,56.0446
90,,1,61.5685,1,182,0,41,137,0,60.2080
91,,1,60.1838,650,297,0,698,269,0,55.5698
92,,1,60.1421,865,2,0,875,56,0,54.9181
93,,1,59.8701,270,767,0,218,748,0,55.3624
94,,1,59.7990,523,308,0,577,294,0,55.7853
95,,1,59.0711,51,737,0,107,743,0,56.3205
96,,1,57.7401,64,80,0,106,42,0,56.6392
97,,1,57.4558,881,670,0,897,720,0,52.4976
98,,1,56.8701,13,701,0,45,737,0,48.1664
99,,1,55.9117,739,767,0,698,731,0,54.5619
100,,1,54.9706,874,449,0,924,461,0,51.4198
101,,1,54.6690,781,684,0,741,718,0,52.4976
102,,1,54.1838,242,709,0,274,671,0,49.6790
103,,1,53.9117,485,0,0,446,36,0,53.0754
104,,1,53.7279,911,171,0,961,162,0,50.8035
105,,1,53.3259,859,757,0,897,720,0,53.0377
106,,1,53.1127,103,336,0,147,358,0,49.1935
107,,1,53.0711,560,438,0,563,489,0,51.0882
108,,1,52.3553,431,281,0,473,306,0,48.8774
109,,1,51.8701,18,683,0,62,664,0,47.9270
110,,1,51.8406,200,125,0,239,156,0,49.8197
111,,1,50.8284,473,306,0,523,308,0,50.0400
112,,1,50.7279,868,563,0,876,517,0,46.6905
113,,1,49.5269,51,737,0,74,697,0,46.1411
114,,1,48.9706,851,397,0,862,440,0,44.3847
115,,1,48.4558,177,766,0,218,748,0,44.7772
116,,1,48.3848,698,731,0,741,718,0,44.9222
117,,1,47.8284,516,487,0,563,489,0,47.0425
118,,1,46.7990,13,701,0,18,683,0,18.6815
119,,1,46.3553,337,424,0,365,457,0,43.2782
120,,1,46.1127,98,499,0,125,467,0,41.8688
121,,1,45.4264,835,593,0,868,563,0,44.5982
122,,1,45.1421,821,442,0,862,440,0,41.0488
123,,1,44.7990,812,411,0,851,397,0,41.4367
124,,1,44.7696,664,705,0,698,731,0,42.8019
125,,1,44.6274,876,517,0,897,550,0,39.1152
126,,1,44.2843,57,602,0,75,638,0,40.2492
127,,1,43.9706,400,269,0,412,230,0,40.8044
128,,1,42.7990,784,434,0,821,442,0,37.8550
129,,1,42.5269,751,457,0,784,434,0,40.2244
130,,1,41.8701,62,664,0,74,697,0,35.1141
131,,1,40.4558,1023,539,0,997,514,0,36.0694
132,,1,40.0416,1023,490,0,997,514,0,35.3836
133,,1,39.7696,18,763,0,45,737,0,37.4833
134,,1,38.4558,488,431,0,464,406,0,34.6554
135,,1,38.2132,760,242,0,791,226,0,34.8855
136,,1,37.6274,274,671,0,290,640,0,34.8855
137,,1,35.9706,400,269,0,431,281,0,33.2415
138,,1,35.5563,812,411,0,821,442,0,32.2800
139,,1,34.3848,489,433,0,500,462,0,31.0161
140,,1,32.9706,721,114,0,724,89,0,25.1794
141,,1,32.6274,219,734,0,235,708,0,30.5287
142,,1,32.3848,1013,59,0,1000,86,0,29.9666
143,,1,31.9706,694,397,0,721,409,0,29.5466
144,,1,31.8284,101,367,0,103,336,0,31.0644
145,,1,31.7279,1021,2,0,1011,29,0,28.7924
146,,1,30.7990,121,716,0,135,691,0,28.6531
147,,1,30.3848,120,718,0,107,743,0,28.1780
148,,1,29.8284,125,438,0,125,467,0,29.0000
149,,1,28.8284,1013,57,0,1011,29,0,28.0713
150,,1,27.8995,279,766,0,286,741,0,25.9615
151,,1,25.3848,746,131,0,729,147,0,23.3452
152,,1,24.9706,174,104,0,188,120,0,21.2603
153,,1,24.4853,140,379,0,147,358,0,22.1359
154,,1,23.8995,976,507,0,997,514,0,22.1359
155,,1,23.7990,260,723,0,242,709,0,22.8035
156,,1,21.8995,650,297,0,655,316,0,19.6469
157,,1,21.0711,446,36,0,461,45,0,17.4929
158,,1,20.1421,715,135,0,729,147,0,18.4391
159,,1,19.8995,262,724,0,279,731,0,18.3848
160,,1,19.2426,308,639,0,290,640,0,18.0278
161,,1,19.0711,647,700,0,664,705,0,17.7200
162,,1,18.8284,428,34,0,446,36,0,18.1108
163,,1,17.4142,608,72,0,625,73,0,17.0294
164,,1,17.0000,13,684,0,13,701,0,17.0000
165,,1,16.4853,508,474,0,500,462,0,14.4222
166,,1,16.3137,862,440,0,874,449,0,15.0000
167,,1,15.4853,728,102,0,721,114,0,13.8924
168,,1,15.2426,882,560,0,868,563,0,14.3178
169,,1,14.8284,202,498,0,205,485,0,13.3417
170,,1,14.6569,66,651,0,62,664,0,13.6015
171,,1,14.4853,509,476,0,516,487,0,13.0384
172,,1,14.4142,218,748,0,219,734,0,14.0357
173,,1,14.3137,67,649,0,75,638,0,13.6015
174,,1,14.0711,188,120,0,200,125,0,13.0000
175,,1,14.0711,929,0,0,941,5,0,13.0000
176,,1,13.8995,146,684,0,135,691,0,13.0384
177,,1,13.2426,728,100,0,724,89,0,11.7047
178,,1,13.0711,161,673,0,156,684,0,12.0830
179,,1,13.0711,787,421,0,792,410,0,12.0830
180,,1,12.8995,279,731,0,286,741,0,12.2066
181,,1,12.4142,300,300,0,299,288,0,12.0416
182,,1,12.4142,300,302,0,299,314,0,12.0416
183,,1,12.2426,787,423,0,784,434,0,11.4018
184,,1,11.2426,162,671,0,166,662,0,9.8489
185,,1,11.0000,884,560,0,895,560,0,11.0000
186,,1,10.4142,802,411,0,792,410,0,10.0499
187,,1,9.8284,866,54,0,875,56,0,9.2195
188,,1,9.8284,906,312,0,897,314,0,9.2195
189,,1,8.0000,148,684,0,156,684,0,8.0000
190,,1,8.0000,804,411,0,812,411,0,8.0000
191,,1,7.4142,235,708,0,242,709,0,7.0711
192,,1,7.0711,718,120,0,713,125,0,7.0711
193,,1,7.0000,908,312,0,915,312,0,7.0000
194,,1,6.0000,969,507,0,963,507,0,6.0000
195,,1,5.4142,852,392,0,851,397,0,5.0990
196,,1,5.2426,720,118,0,721,114,0,4.1231
197,,1,5.0000,971,507,0,976,507,0,5.0000
198,,1,4.8284,715,129,0,713,125,0,4.4721
199,,1,4.4142,716,131,0,715,135,0,4.1231
200,,1,4.4142,896,554,0,897,550,0,4.1231
201,,1,4.4142,896,556,0,895,560,0,4.1231
202,,1,4.0000,515,142,0,511,142,0,4.0000
203,,1,4.0000,517,142,0,521,142,0,4.0000
204,,1,4.0000,853,390,0,853,386,0,4.0000
205,,1,3.4142,624,427,0,621,426,0,3.1623
206,,1,3.2361,48,738,0,45,737,0,3.1623
207,,1,2.4142,54,603,0,52,602,0,2.2361
208,,1,2.0000,15,684,0,13,684,0,2.0000
209,,1,2.0000,290,638,0,290,640,0,2.0000
210,,1,2.0000,626,428,0,628,428,0,2.0000
211,,1,2.0000,101,367,0,101,367,0,0.0000
212,,1,1.4142,51,737,0,51,737,0,0.0000
213,,1,1.4142,57,602,0,57,602,0,0.0000
214,,1,1.0000,148,358,0,147,358,0,1.0000
215,,1,1.0000,150,357,0,151,357,0,1.0000
216,,1,1.0000,18,683,0,18,683,0,0.0000
217,Mean,1,64.2087,486.5093,411.3056,0,513.0648,412.2685,0,57.4793
218,SD,0,55.1412,321.3299,229.5578,0,314.4365,228.4044,0,48.6935
219,Min,1,1.0000,0,0,0,13,5,0,0.0000
220,Max,1,308.0366,1023,767,0,1011,748,0,272.6628
