 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,1239,178.6934,72.2709,21.8282,132.0523,0.4876,3.3109,0.3020,0.9097
2,,3299,260.3330,96.6007,43.4823,133.4697,0.6117,2.2216,0.4501,0.9165
3,,2333,208.7523,67.8314,43.7919,20.6104,0.6728,1.5489,0.6456,0.9347
4,,4539,288.1320,107.1842,53.9187,133.3171,0.6870,1.9879,0.5030,0.9172
5,,31,19.8995,7.4502,5.2979,91.4177,0.9838,1.4063,0.7111,0.9394
6,,10191,416.6001,138.6173,93.6072,123.3624,0.7379,1.4808,0.6753,0.9605
7,,2306,258.0071,66.4068,44.2137,58.1467,0.4353,1.5020,0.6658,0.8138
8,,46,25.7990,11.2823,5.1912,139.7360,0.8685,2.1733,0.4601,0.9020
9,,608,120.2670,46.7021,16.5759,136.9263,0.5282,2.8175,0.3549,0.8876
10,,2603,250.5929,88.9783,37.2478,54.6380,0.5209,2.3888,0.4186,0.9177
11,,3026,257.5391,106.6188,36.1364,90.3233,0.5733,2.9505,0.3389,0.9446
12,,193,66.0833,28.1367,8.7336,140.8250,0.5554,3.2216,0.3104,0.8713
13,,12649,582.3991,167.8410,95.9551,26.9244,0.4686,1.7492,0.5717,0.9075
14,,688,113.4975,37.6861,23.2444,107.0668,0.6712,1.6213,0.6168,0.9254
15,,278,62.8701,20.2151,17.5098,158.4356,0.8838,1.1545,0.8662,0.9472
16,,1550,182.6518,72.2300,27.3227,131.8141,0.5838,2.6436,0.3783,0.9223
17,,2123,199.2965,73.1283,36.9636,110.0227,0.6717,1.9784,0.5055,0.9400
18,,2608,318.0904,125.2104,26.5202,121.1537,0.3239,4.7213,0.2118,0.8636
19,,1017,160.0244,61.5569,21.0356,119.3270,0.4991,2.9263,0.3417,0.9105
20,,324,88.0416,37.7068,10.9404,82.4015,0.5253,3.4466,0.2901,0.9310
21,,3586,269.5807,105.6387,43.2213,80.3277,0.6201,2.4441,0.4091,0.9340
22,,59,27.7990,11.2570,6.6733,136.5678,0.9594,1.6869,0.5928,0.9219
23,,1922,208.3675,65.4327,37.3998,106.5503,0.5563,1.7495,0.5716,0.9098
24,,2133,195.9239,72.3297,37.5478,127.5643,0.6983,1.9263,0.5191,0.9552
25,,69,32.3848,13.4715,6.5214,157.2819,0.8268,2.0657,0.4841,0.9079
26,,7685,496.5757,218.6641,44.7483,106.5205,0.3916,4.8865,0.2046,0.9350
27,,31,19.8995,7.5214,5.2478,169.8718,0.9838,1.4332,0.6977,0.9394
28,,3484,283.7229,95.5634,46.4191,115.2225,0.5439,2.0587,0.4857,0.9318
29,,2525,228.5929,68.5744,46.8824,118.8672,0.6072,1.4627,0.6837,0.9117
30,,791,139.8823,51.3732,19.6042,171.6252,0.5080,2.6205,0.3816,0.9076
31,,1617,238.5513,92.0292,22.3715,114.6932,0.3571,4.1137,0.2431,0.8374
32,,9085,439.7229,175.8886,65.7654,82.3996,0.5904,2.6745,0.3739,0.9664
33,,1037,270.0660,134.5428,9.8136,106.5525,0.1787,13.7098,0.0729,0.7321
34,,123,46.3848,19.1037,8.1978,98.9228,0.7184,2.3303,0.4291,0.9283
35,,672,143.7817,57.1582,14.9693,110.4794,0.4085,3.8184,0.2619,0.8693
36,,360,81.8406,31.7811,14.4226,159.2763,0.6754,2.2036,0.4538,0.9091
37,,951,127.9828,46.5838,25.9930,82.0615,0.7296,1.7922,0.5580,0.9444
38,,450,107.7817,48.2616,11.8719,144.3803,0.4868,4.0652,0.2460,0.8798
39,,604,136.0833,41.4216,18.5661,20.3223,0.4099,2.2310,0.4482,0.7251
40,,580,104.3259,36.4148,20.2796,74.5860,0.6697,1.7956,0.5569,0.9141
41,,21,15.3137,5.1709,5.1709,0.0000,1.0000,1.0000,1.0000,0.9130
42,,208,59.4558,23.3493,11.3423,6.0279,0.7394,2.0586,0.4858,0.9455
43,,198,69.5980,30.8593,8.1694,62.7899,0.5137,3.7774,0.2647,0.8820
44,Mean,2089.3488,181.4230,67.1173,27.9236,103.8340,0.6154,2.6780,0.4661,0.9061
45,SD,2843.9293,132.5669,49.0382,21.6352,43.4393,0.1852,1.9626,0.1846,0.0504
46,Min,21,15.3137,5.1709,5.1709,0.0000,0.1787,1.0000,0.0729,0.7251
47,Max,12649,582.3991,218.6641,95.9551,171.6252,1.0000,13.7098,1.0000,0.9664
