 ,Angle,Frequency,Normalized Frequency
1,-90,2708.0898,0.0072
2,-89,2303.4939,0.0061
3,-88,2141.1458,0.0057
4,-87,1452.3477,0.0039
5,-86,985.8243,0.0026
6,-85,629.8018,0.0017
7,-84,507.8718,0.0013
8,-83,457.2835,0.0012
9,-82,416.3392,0.0011
10,-81,423.6233,0.0011
11,-80,478.7867,0.0013
12,-79,303.5057,0.0008
13,-78,561.1393,0.0015
14,-77,1241.9955,0.0033
15,-76,1645.5742,0.0044
16,-75,2230.0640,0.0059
17,-74,509.5459,0.0014
18,-73,325.0050,0.0009
19,-72,319.7465,0.0008
20,-71,346.6799,0.0009
21,-70,465.6265,0.0012
22,-69,1051.7394,0.0028
23,-68,1990.4897,0.0053
24,-67,1508.5403,0.0040
25,-66,1041.8925,0.0028
26,-65,953.3717,0.0025
27,-64,957.4391,0.0025
28,-63,1283.3008,0.0034
29,-62,1031.5856,0.0027
30,-61,975.8353,0.0026
31,-60,983.9568,0.0026
32,-59,1022.2368,0.0027
33,-58,1019.7147,0.0027
34,-57,981.0126,0.0026
35,-56,1053.9519,0.0028
36,-55,1235.9142,0.0033
37,-54,2340.8884,0.0062
38,-53,2546.3435,0.0068
39,-52,2463.3579,0.0065
40,-51,2797.9722,0.0074
41,-50,3356.9907,0.0089
42,-49,5410.8198,0.0144
43,-48,7165.5498,0.0190
44,-47,5455.8711,0.0145
45,-46,8298.0830,0.0220
46,-45,25631.1738,0.0681
47,-44,13905.4824,0.0369
48,-43,26461.8281,0.0703
49,-42,15939.1797,0.0423
50,-41,7006.9395,0.0186
51,-40,3274.6072,0.0087
52,-39,3059.5244,0.0081
53,-38,2967.7148,0.0079
54,-37,2680.3567,0.0071
55,-36,3092.9854,0.0082
56,-35,2997.0981,0.0080
57,-34,2331.4875,0.0062
58,-33,2194.2891,0.0058
59,-32,2264.2854,0.0060
60,-31,2140.4255,0.0057
61,-30,2118.7954,0.0056
62,-29,2517.6907,0.0067
63,-28,2110.1694,0.0056
64,-27,2701.3062,0.0072
65,-26,6179.3491,0.0164
66,-25,6628.9297,0.0176
67,-24,2081.4744,0.0055
68,-23,2133.6484,0.0057
69,-22,1732.3225,0.0046
70,-21,1970.0781,0.0052
71,-20,1558.5554,0.0041
72,-19,1333.0791,0.0035
73,-18,1192.3080,0.0032
74,-17,1412.4883,0.0038
75,-16,4813.6851,0.0128
76,-15,9547.3408,0.0254
77,-14,3302.8152,0.0088
78,-13,2529.9929,0.0067
79,-12,2525.6365,0.0067
80,-11,2757.1787,0.0073
81,-10,3387.8235,0.0090
82,-9,1702.8137,0.0045
83,-8,1675.6772,0.0044
84,-7,1890.0261,0.0050
85,-6,889.8116,0.0024
86,-5,772.2755,0.0021
87,-4,973.2368,0.0026
88,-3,1693.3176,0.0045
89,-2,1592.4363,0.0042
90,-1,2353.9500,0.0063
91,0,1978.0491,0.0053
92,1,875.8757,0.0023
93,2,558.6227,0.0015
94,3,533.9637,0.0014
95,4,402.2494,0.0011
96,5,455.6463,0.0012
97,6,497.3840,0.0013
98,7,195.6486,0.0005
99,8,160.7065,0.0004
100,9,102.8440,0.0003
101,10,83.4138,0.0002
102,11,76.8303,0.0002
103,12,81.4692,0.0002
104,13,435.6559,0.0012
105,14,430.5485,0.0011
106,15,333.4886,0.0009
107,16,344.4573,0.0009
108,17,404.6649,0.0011
109,18,418.9534,0.0011
110,19,486.6468,0.0013
111,20,495.0791,0.0013
112,21,395.2087,0.0010
113,22,327.7988,0.0009
114,23,319.1943,0.0008
115,24,364.1612,0.0010
116,25,414.9951,0.0011
117,26,480.2562,0.0013
118,27,537.6287,0.0014
119,28,621.1375,0.0016
120,29,846.9858,0.0022
121,30,1019.7754,0.0027
122,31,919.2423,0.0024
123,32,923.0824,0.0025
124,33,1021.9429,0.0027
125,34,989.3241,0.0026
126,35,1323.3129,0.0035
127,36,1962.3997,0.0052
128,37,3375.3484,0.0090
129,38,1928.8372,0.0051
130,39,1286.3010,0.0034
131,40,1964.0237,0.0052
132,41,2572.2419,0.0068
133,42,3023.0991,0.0080
134,43,2569.4006,0.0068
135,44,2929.1272,0.0078
136,45,1890.1584,0.0050
137,46,760.8378,0.0020
138,47,444.2053,0.0012
139,48,339.8605,0.0009
140,49,283.0190,0.0008
141,50,243.2895,0.0006
142,51,214.4515,0.0006
143,52,471.4977,0.0013
144,53,876.9701,0.0023
145,54,489.0179,0.0013
146,55,255.3420,0.0007
147,56,118.0182,0.0003
148,57,76.6475,0.0002
149,58,34.6282,9.195E-5
150,59,0.0000,0.0000
151,60,14.8049,3.931E-5
152,61,323.4095,0.0009
153,62,379.7994,0.0010
154,63,350.1112,0.0009
155,64,336.7714,0.0009
156,65,297.4665,0.0008
157,66,233.7667,0.0006
158,67,184.2806,0.0005
159,68,150.4421,0.0004
160,69,132.2329,0.0004
161,70,133.2695,0.0004
162,71,150.3008,0.0004
163,72,354.4111,0.0009
164,73,1118.8243,0.0030
165,74,867.3872,0.0023
166,75,887.1068,0.0024
167,76,1025.2390,0.0027
168,77,1054.7991,0.0028
169,78,966.5830,0.0026
170,79,919.2141,0.0024
171,80,866.2220,0.0023
172,81,717.3824,0.0019
173,82,646.2589,0.0017
174,83,767.4062,0.0020
175,84,1604.4563,0.0043
176,85,2923.5327,0.0078
177,86,2483.6362,0.0066
178,87,1864.9016,0.0050
179,88,1971.7446,0.0052
180,89,2327.6096,0.0062
