Radius_Values,Frequency
0,0
1,14
2,183
3,231
4,289
5,345
6,411
7,223
8,204
9,167
10,109
11,225
12,294
13,131
14,53
15,54
16,65
17,67
18,86
19,102
20,85
21,109
22,36
23,31
24,44
25,39
26,26
27,38
28,46
29,34
30,31
31,28
32,23
33,63
34,37
35,52
36,86
37,76
38,70
39,33
40,50
41,53
42,95
43,105
44,29
45,3
46,5
47,11
48,2
49,3
50,8
51,12
52,37
53,29
54,15
55,12
56,14
57,18
58,10
59,11
60,7
61,5
62,3
63,5
64,4
65,3
66,4
67,3
68,0
69,2
70,2
71,2
72,0
73,3
74,2
75,0
76,2
77,2
78,1
79,2
80,0
81,2
82,1
83,2
84,2
85,0
86,2
87,1
88,2
89,1
90,1
91,2
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
