 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,440.3452,274,0,0,80,343,0,394.0622
2,,1,439.3229,498,0,0,819,280,0,425.9589
3,,1,281.1493,899,296,0,1010,62,0,258.9923
4,,1,221.7990,230,594,0,446,582,0,216.3331
5,,1,220.1909,838,475,0,1005,602,0,209.8047
6,,1,212.8061,645,399,0,810,513,0,200.5517
7,,1,212.4975,584,637,0,782,606,0,200.4121
8,,1,210.0244,52,529,0,80,343,0,188.0957
9,,1,186.0366,645,399,0,792,309,0,172.3630
10,,1,150.1249,472,411,0,600,417,0,128.1405
11,,1,145.5685,1022,382,0,899,358,0,125.3196
12,,1,144.0244,919,692,0,1005,602,0,124.4829
13,,1,141.6102,485,475,0,600,417,0,128.7983
14,,1,136.7107,804,743,0,919,692,0,125.8014
15,,1,132.3381,792,309,0,859,413,0,123.7134
16,,1,129.9411,466,613,0,584,637,0,120.4159
17,,1,127.7107,455,721,0,562,743,0,109.2383
18,,1,123.1543,446,582,0,485,475,0,113.8859
19,,1,120.0833,562,743,0,584,637,0,108.2589
20,,1,119.8823,156,668,0,230,594,0,104.6518
21,,1,119.4386,156,668,0,177,573,0,97.2934
22,,1,108.6690,826,657,0,919,692,0,99.3680
23,,1,104.5980,782,606,0,810,513,0,97.1236
24,,1,95.0122,15,751,0,97,721,0,87.3155
25,,1,91.1838,0,316,0,80,343,0,84.4334
26,,1,89.9411,819,280,0,899,296,0,81.5843
27,,1,84.9411,52,529,0,127,553,0,78.7464
28,,1,82.1838,331,729,0,402,738,0,71.5681
29,,1,77.2132,1004,0,0,1010,62,0,62.2896
30,,1,76.5391,0,584,0,52,529,0,75.6902
31,,1,74.4975,101,706,0,156,668,0,66.8506
32,,1,74.4975,859,413,0,899,358,0,68.0074
33,,1,73.3970,169,497,0,127,553,0,70.0000
34,,1,70.6985,838,475,0,859,413,0,65.4599
35,,1,69.8112,782,606,0,826,657,0,67.3573
36,,1,62.8284,899,296,0,899,358,0,62.0000
37,,1,60.0416,402,738,0,455,721,0,55.6597
38,,1,58.8701,127,553,0,177,573,0,53.8516
39,,1,57.4558,386,368,0,436,386,0,53.1413
40,,1,57.1421,456,666,0,466,613,0,53.9351
41,,1,53.4142,456,668,0,455,721,0,53.0094
42,,1,52.4558,600,417,0,645,399,0,48.4665
43,,1,52.4558,105,764,0,97,721,0,43.7379
44,,1,50.6985,805,699,0,826,657,0,46.9574
45,,1,46.3553,436,386,0,472,411,0,43.8292
46,,1,45.0122,604,717,0,573,748,0,43.8406
47,,1,43.6274,439,350,0,436,386,0,36.1248
48,,1,43.2426,805,701,0,804,743,0,42.0119
49,,1,41.4558,1023,568,0,1005,602,0,38.4708
50,,1,37.8701,603,767,0,573,748,0,35.5106
51,,1,34.8995,479,443,0,472,411,0,32.7567
52,,1,32.7990,207,576,0,230,594,0,29.2062
53,,1,32.4853,479,445,0,485,475,0,30.5941
54,,1,32.4558,76,690,0,101,706,0,29.6816
55,,1,32.4558,384,713,0,402,738,0,30.8058
56,,1,30.8701,781,762,0,804,743,0,29.8329
57,,1,29.2426,205,576,0,177,573,0,28.1603
58,,1,24.5563,824,496,0,810,513,0,22.0227
59,,1,24.3848,825,494,0,838,475,0,23.0217
60,,1,21.5563,808,297,0,792,309,0,20.0000
61,,1,20.5563,458,597,0,446,582,0,19.2094
62,,1,19.7279,810,296,0,819,280,0,18.3576
63,,1,16.8995,459,599,0,466,613,0,15.6525
64,,1,16.6569,97,721,0,101,706,0,15.5242
65,,1,14.8995,998,55,0,1010,62,0,13.8924
66,,1,13.2426,372,712,0,384,713,0,12.0416
67,,1,13.0711,562,743,0,573,748,0,12.0830
68,,1,11.4142,385,702,0,384,713,0,11.0454
69,Mean,1,93.7212,519.6029,530.2941,0,561.8235,529.9265,0,86.1295
70,SD,0,86.2651,295.9024,195.9203,0,303.1343,177.0421,0,80.2136
71,Min,1,11.4142,0,0,0,52,62,0,11.0454
72,Max,1,440.3452,1023,767,0,1010,748,0,425.9589
