 ,Angle,Frequency,Normalized Frequency
1,-90,2520.9230,0.0069
2,-89,1250.3786,0.0034
3,-88,1042.6915,0.0028
4,-87,821.4865,0.0022
5,-86,458.2373,0.0012
6,-85,476.4862,0.0013
7,-84,659.4929,0.0018
8,-83,607.0952,0.0017
9,-82,350.7021,0.0010
10,-81,267.7287,0.0007
11,-80,207.0482,0.0006
12,-79,164.2023,0.0004
13,-78,133.3768,0.0004
14,-77,115.4974,0.0003
15,-76,140.6819,0.0004
16,-75,489.1452,0.0013
17,-74,1136.3042,0.0031
18,-73,382.5119,0.0010
19,-72,119.6903,0.0003
20,-71,77.3697,0.0002
21,-70,45.0030,0.0001
22,-69,25.0325,6.812E-5
23,-68,16.3670,4.454E-5
24,-67,6.0941,1.658E-5
25,-66,2.0207,5.499E-6
26,-65,0.0000,0.0000
27,-64,1.6977,4.619E-6
28,-63,1.4088,3.833E-6
29,-62,1.1753,3.198E-6
30,-61,10.5838,2.880E-5
31,-60,18.6875,5.085E-5
32,-59,25.1309,6.838E-5
33,-58,42.1390,0.0001
34,-57,64.1824,0.0002
35,-56,86.4463,0.0002
36,-55,103.7310,0.0003
37,-54,123.4085,0.0003
38,-53,165.0002,0.0004
39,-52,213.0816,0.0006
40,-51,291.1988,0.0008
41,-50,401.0374,0.0011
42,-49,586.9174,0.0016
43,-48,1053.8175,0.0029
44,-47,1486.7377,0.0040
45,-46,5278.8720,0.0144
46,-45,16625.7788,0.0452
47,-44,23689.2768,0.0645
48,-43,11914.5747,0.0324
49,-42,2967.3869,0.0081
50,-41,2375.1181,0.0065
51,-40,2046.4873,0.0056
52,-39,1793.2971,0.0049
53,-38,1470.2219,0.0040
54,-37,1223.6307,0.0033
55,-36,1140.7487,0.0031
56,-35,1108.2075,0.0030
57,-34,1163.5889,0.0032
58,-33,1453.0306,0.0040
59,-32,2228.6435,0.0061
60,-31,2846.8435,0.0077
61,-30,966.2924,0.0026
62,-29,666.5700,0.0018
63,-28,741.4506,0.0020
64,-27,812.7252,0.0022
65,-26,968.7906,0.0026
66,-25,1326.9011,0.0036
67,-24,2013.8386,0.0055
68,-23,3042.7961,0.0083
69,-22,1572.6842,0.0043
70,-21,1139.9886,0.0031
71,-20,913.5576,0.0025
72,-19,812.6813,0.0022
73,-18,835.4639,0.0023
74,-17,1010.1075,0.0027
75,-16,992.4525,0.0027
76,-15,991.9575,0.0027
77,-14,1080.7795,0.0029
78,-13,1280.6217,0.0035
79,-12,1776.8527,0.0048
80,-11,2328.4917,0.0063
81,-10,2170.4890,0.0059
82,-9,2312.2441,0.0063
83,-8,2926.8349,0.0080
84,-7,2570.0844,0.0070
85,-6,1891.2812,0.0051
86,-5,2118.6154,0.0058
87,-4,2450.7038,0.0067
88,-3,2841.9821,0.0077
89,-2,4628.4804,0.0126
90,-1,9697.1840,0.0264
91,0,12366.3530,0.0336
92,1,4650.6328,0.0127
93,2,3226.7136,0.0088
94,3,3091.8129,0.0084
95,4,2506.5683,0.0068
96,5,2286.1528,0.0062
97,6,1525.9506,0.0042
98,7,1035.2092,0.0028
99,8,834.0488,0.0023
100,9,731.9444,0.0020
101,10,667.8017,0.0018
102,11,647.0317,0.0018
103,12,640.0681,0.0017
104,13,721.6550,0.0020
105,14,831.1387,0.0023
106,15,751.8526,0.0020
107,16,761.9556,0.0021
108,17,939.2766,0.0026
109,18,1390.8551,0.0038
110,19,2103.3237,0.0057
111,20,1284.5692,0.0035
112,21,733.6875,0.0020
113,22,753.9340,0.0021
114,23,779.8797,0.0021
115,24,878.6790,0.0024
116,25,863.7934,0.0024
117,26,610.4568,0.0017
118,27,705.6777,0.0019
119,28,938.3061,0.0026
120,29,2615.6013,0.0071
121,30,2965.0859,0.0081
122,31,2327.0459,0.0063
123,32,2361.7231,0.0064
124,33,3470.1943,0.0094
125,34,3803.5446,0.0103
126,35,4011.8730,0.0109
127,36,1206.0103,0.0033
128,37,723.7775,0.0020
129,38,778.8889,0.0021
130,39,865.3418,0.0024
131,40,1103.7542,0.0030
132,41,1930.1528,0.0053
133,42,1875.9314,0.0051
134,43,2079.0522,0.0057
135,44,2422.5568,0.0066
136,45,4555.0800,0.0124
137,46,6848.6665,0.0186
138,47,4592.7900,0.0125
139,48,2578.3772,0.0070
140,49,1881.6311,0.0051
141,50,1187.0361,0.0032
142,51,1007.0380,0.0027
143,52,1036.2534,0.0028
144,53,879.6846,0.0024
145,54,761.7047,0.0021
146,55,704.2211,0.0019
147,56,751.4662,0.0020
148,57,747.4419,0.0020
149,58,704.8607,0.0019
150,59,685.8112,0.0019
151,60,690.1077,0.0019
152,61,708.5741,0.0019
153,62,760.1535,0.0021
154,63,915.4945,0.0025
155,64,1407.8037,0.0038
156,65,2211.9340,0.0060
157,66,7082.9995,0.0193
158,67,14958.0776,0.0407
159,68,12661.9829,0.0345
160,69,2865.9277,0.0078
161,70,1548.5836,0.0042
162,71,1124.7504,0.0031
163,72,1091.3322,0.0030
164,73,1061.8936,0.0029
165,74,1170.7681,0.0032
166,75,1462.8580,0.0040
167,76,1199.0031,0.0033
168,77,1084.5605,0.0030
169,78,1303.7500,0.0035
170,79,1868.8371,0.0051
171,80,1488.9343,0.0041
172,81,2076.7404,0.0057
173,82,3185.9738,0.0087
174,83,1114.8522,0.0030
175,84,939.8597,0.0026
176,85,1006.2198,0.0027
177,86,1163.7119,0.0032
178,87,1311.6951,0.0036
179,88,1070.3232,0.0029
180,89,1529.4239,0.0042
