 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,1564.0000,161.0955,60.4615,32.9358,49.9759,0.7573,1.8357,0.5447,0.9610
2,,8545.0000,420.0732,139.4563,78.0161,39.4853,0.6085,1.7875,0.5594,0.9609
3,,2311.0000,224.0244,70.9243,41.4873,15.2547,0.5787,1.7095,0.5850,0.9377
4,,24476.0000,656.3229,229.3065,135.9046,31.0335,0.7140,1.6873,0.5927,0.9748
5,,5729.0000,328.8772,107.6891,67.7356,172.6357,0.6656,1.5898,0.6290,0.9559
6,,654.0000,108.3259,39.1424,21.2736,29.6618,0.7004,1.8400,0.5435,0.9444
7,,2342.0000,204.8528,71.9030,41.4715,79.7813,0.7013,1.7338,0.5768,0.9563
8,,184.0000,52.2843,19.3920,12.0811,33.0819,0.8458,1.6052,0.6230,0.9246
9,Mean,5725.6250,269.4820,92.2844,53.8632,56.3638,0.6965,1.7236,0.5818,0.9520
10,SD,8074.5114,195.2978,66.8252,39.7476,50.6809,0.0836,0.0954,0.0326,0.0157
11,Min,184.0000,52.2843,19.3920,12.0811,15.2547,0.5787,1.5898,0.5435,0.9246
12,Max,24476.0000,656.3229,229.3065,135.9046,172.6357,0.8458,1.8400,0.6290,0.9748
