Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,64.0180, ,Mean Pore Area,4795.4583
Histogram Mean,13.8370, ,Pore Area SD,6650.3288
Histogram SD,9.4498, ,Min. Pore Area,123.0000
Histogram Mode,12.0000, ,Max. Pore Area,22998.0000
Histogram Median,24.0000, ,Percent Porosity,0.4004
Histogram Min Diam.,2.0000, ,Number of Pores,24.0000
Histogram Max Diam.,184.0000, ,# of Intersections,78.0000
Histogram Integrated Density,85174.0000, ,Intersection Density (100x100px),0.9918
Histogram Raw Integrated Density,85174.0000, ,Char. Length,74.3039
Diameter Skewness,1.3280, ,SD Char. Length,68.4059
Diameter Kurtosis,1.4153, ,Max Span Length,387.6417
Fiber Length,4831.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),95.5318
