Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,68.4715, ,Mean Pore Area,5725.6250
Histogram Mean,5.1412, ,Pore Area SD,8074.5114
Histogram SD,58.2129, ,Min. Pore Area,184.0000
Histogram Mode,8.0000, ,Max. Pore Area,24476.0000
Histogram Median,36.0000, ,Percent Porosity,0.6019
Histogram Min Diam.,2.0000, ,Number of Pores,8.0000
Histogram Max Diam.,134.0000, ,# of Intersections,34.0000
Histogram Integrated Density,68143.0000, ,Intersection Density (100x100px),0.4323
Histogram Raw Integrated Density,68143.0000, ,Char. Length,93.7212
Diameter Skewness,0.4515, ,SD Char. Length,86.2651
Diameter Kurtosis,-0.9054, ,Max Span Length,440.3452
Fiber Length,3087.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),136.4141
