Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,18.0269, ,Mean Pore Area,1753.3819
Histogram Mean,14.6693, ,Pore Area SD,2934.4223
Histogram SD,5.8630, ,Min. Pore Area,10.0000
Histogram Mode,14.0000, ,Max. Pore Area,20234.0000
Histogram Median,16.0000, ,Percent Porosity,0.5561
Histogram Min Diam.,2.0000, ,Number of Pores,144.0000
Histogram Max Diam.,74.0000, ,# of Intersections,387.0000
Histogram Integrated Density,98909.0000, ,Intersection Density (100x100px),4.9210
Histogram Raw Integrated Density,98909.0000, ,Char. Length,35.0240
Diameter Skewness,1.1706, ,SD Char. Length,28.4930
Diameter Kurtosis,2.4057, ,Max Span Length,218.4924
Fiber Length,11418.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),50.6062
