Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,29.6677, ,Mean Pore Area,5497.7353
Histogram Mean,28.9625, ,Pore Area SD,8329.6100
Histogram SD,22.7972, ,Min. Pore Area,38.0000
Histogram Mode,32.0000, ,Max. Pore Area,42541.0000
Histogram Median,32.0000, ,Percent Porosity,0.6140
Histogram Min Diam.,2.0000, ,Number of Pores,34.0000
Histogram Max Diam.,154.0000, ,# of Intersections,97.0000
Histogram Integrated Density,114563.0000, ,Intersection Density (100x100px),1.2334
Histogram Raw Integrated Density,114563.0000, ,Char. Length,70.3708
Diameter Skewness,1.4298, ,SD Char. Length,57.2333
Diameter Kurtosis,2.6275, ,Max Span Length,288.3036
Fiber Length,6006.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),105.8366
