Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,22.1214, ,Mean Pore Area,2645.6040
Histogram Mean,18.0142, ,Pore Area SD,4640.9967
Histogram SD,9.7698, ,Min. Pore Area,10.0000
Histogram Mode,12.0000, ,Max. Pore Area,29004.0000
Histogram Median,18.0000, ,Percent Porosity,0.5437
Histogram Min Diam.,2.0000, ,Number of Pores,101.0000
Histogram Max Diam.,64.0000, ,# of Intersections,281.0000
Histogram Integrated Density,107355.0000, ,Intersection Density (100x100px),3.5731
Histogram Raw Integrated Density,107355.0000, ,Char. Length,40.9027
Diameter Skewness,0.9509, ,SD Char. Length,32.6595
Diameter Kurtosis,0.8777, ,Max Span Length,173.6812
Fiber Length,10270.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),58.2658
