Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,23.3137, ,Mean Pore Area,1732.6381
Histogram Mean,21.2484, ,Pore Area SD,2587.3589
Histogram SD,4.5967, ,Min. Pore Area,11.0000
Histogram Mode,20.0000, ,Max. Pore Area,14769.0000
Histogram Median,20.0000, ,Percent Porosity,0.5316
Histogram Min Diam.,2.0000, ,Number of Pores,105.0000
Histogram Max Diam.,66.0000, ,# of Intersections,364.0000
Histogram Integrated Density,117036.0000, ,Intersection Density (100x100px),4.6285
Histogram Raw Integrated Density,117036.0000, ,Char. Length,37.3018
Diameter Skewness,0.6993, ,SD Char. Length,40.2207
Diameter Kurtosis,5.3902, ,Max Span Length,257.6396
Fiber Length,10641.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),45.1070
