Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,72.0694, ,Mean Pore Area,5820.4444
Histogram Mean,14.1049, ,Pore Area SD,12113.5306
Histogram SD,8.7231, ,Min. Pore Area,86.0000
Histogram Mode,14.0000, ,Max. Pore Area,37236.0000
Histogram Median,24.0000, ,Percent Porosity,0.5601
Histogram Min Diam.,2.0000, ,Number of Pores,9.0000
Histogram Max Diam.,168.0000, ,# of Intersections,53.0000
Histogram Integrated Density,106330.0000, ,Intersection Density (100x100px),0.6739
Histogram Raw Integrated Density,106330.0000, ,Char. Length,72.6688
Diameter Skewness,1.0234, ,SD Char. Length,87.2402
Diameter Kurtosis,-0.3820, ,Max Span Length,593.8650
Fiber Length,4469.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),94.8006
