 ,Char. Length,Eucl. Length,File Name
1,440.7595,338.6001,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
2,350.0782,306.4719,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
3,345.8772,319.5825,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
4,336.3503,237.9664,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
5,304.8894,260.6473,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
6,277.8356,255.1568,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
7,273.2203,240.8527,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
8,249.1076,226.2941,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
9,233.8772,218.2773,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
10,224.7645,208.4250,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
11,220.3087,202.7807,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
12,206.7401,194.7434,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
13,187.1371,173.5396,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
14,182.7229,149.3352,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
15,174.6985,166.6763,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
16,172.6274,166.0482,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
17,171.6224,157.0350,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
18,171.0833,160.6393,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
19,170.5513,156.0128,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
20,155.3553,147.1394,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
21,151.0833,140.4315,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
22,146.8406,134.6291,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
23,142.0660,131.5903,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
24,140.7817,121.5113,Mat1-TUK-3lay-190424_10kx_01_S1_Intersections2.csv
