 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
1,56617,359.0288,200.7833,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
2,3287,167.4654,24.9911,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
3,339,35.9234,12.0152,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
4,55823,298.1804,238.3659,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
5,4026,108.1409,47.4017,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
6,5998,135.1423,56.5100,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
7,5161,100.2681,65.5362,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
8,5053,105.7657,60.8295,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
9,7256,131.6532,70.1740,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
10,12,4.5135,3.3851,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
11,4931,93.6653,67.0295,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
12,4204,138.3643,38.6856,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
13,3289,88.5063,47.3151,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
14,592,41.0824,18.3474,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
15,22,5.5545,5.0430,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
16,194,22.9534,10.7613,Mat1-TUK-3lay-190424_10kx_01_S1_Pore Data2.csv
17,1096,57.3118,24.3488,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
18,3017,79.9886,48.0239,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
19,4142,105.2310,50.1160,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
20,18082,189.9345,121.2140,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
21,27496,232.3035,150.7037,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
22,24895,199.3487,159.0043,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
23,982,50.1567,24.9283,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
24,30921,252.6851,155.8059,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
25,747,54.1251,17.5724,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
26,1604,72.5609,28.1457,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
27,1242,46.6878,33.8710,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
28,21,5.1709,5.1709,Mat1-TUK-3lay-190424_10kx_03_S1_Pore Data2.csv
29,8132,164.3451,63.0015,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
30,1781,54.6775,41.4730,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
31,12327,161.2534,97.3327,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
32,150,27.2098,7.0190,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
33,12835,221.8054,73.6773,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
34,511,34.6506,18.7768,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
35,25363,298.5570,108.1642,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
36,350,31.3883,14.1975,Mat1-TUK-3lay-190424_10kx_05_S1_Pore Data2.csv
37,3379,141.9913,30.2996,test_10k_S1_Pore Data2.csv
38,2803,87.0230,41.0109,test_10k_S1_Pore Data2.csv
39,74724,370.6835,256.6652,test_10k_S1_Pore Data2.csv
40,3680,172.5511,27.1544,test_10k_S1_Pore Data2.csv
41,2612,91.4939,36.3489,test_10k_S1_Pore Data2.csv
42,25,5.6419,5.6419,test_10k_S1_Pore Data2.csv
43,10825,176.6415,78.0271,test_10k_S1_Pore Data2.csv
44,1650,83.3976,25.1907,test_10k_S1_Pore Data2.csv
45,9585,192.6015,63.3640,test_10k_S1_Pore Data2.csv
46,6204,139.8105,56.4992,test_10k_S1_Pore Data2.csv
47,10045,168.0931,76.0869,test_10k_S1_Pore Data2.csv
48,1950,72.9626,34.0286,test_10k_S1_Pore Data2.csv
49,7854,137.1506,72.9127,test_10k_S1_Pore Data2.csv
50,5062,93.3636,69.0327,test_10k_S1_Pore Data2.csv
51,3197,87.9719,46.2710,test_10k_S1_Pore Data2.csv
52,4136,77.8220,67.6688,test_10k_S1_Pore Data2.csv
53,858,42.4541,25.7323,test_10k_S1_Pore Data2.csv
54,15,4.6591,4.0992,test_10k_S1_Pore Data2.csv
