 ,Angle,Mat1-TUK-3lay-190424_10kx_01_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_01_S1_OrientJ Hist.csv Normalized,Mat1-TUK-3lay-190424_10kx_03_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_03_S1_OrientJ Hist.csv Normalized,Mat1-TUK-3lay-190424_10kx_05_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_05_S1_OrientJ Hist.csv Normalized,test_10k_S1_OrientJ Hist.csv,test_10k_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
1,-90,5424.1000,0.0152,12609.1503,0.0348,7945.3508,0.0210,2481.2762,0.0092,28459.8773,0.0802
2,-89,1965.1046,0.0055,6403.5248,0.0177,11642.6760,0.0308,1479.4376,0.0055,21490.7430,0.0595
3,-88,950.5801,0.0027,3656.1854,0.0101,2600.3017,0.0069,1085.3990,0.0040,8292.4662,0.0237
4,-87,547.4598,0.0015,3201.9325,0.0088,1326.7094,0.0035,786.6749,0.0029,5862.7766,0.0167
5,-86,315.7664,0.0009,4969.5966,0.0137,1617.0888,0.0043,415.2779,0.0015,7317.7297,0.0204
6,-85,441.0851,0.0012,991.6766,0.0027,1642.8653,0.0043,176.9333,0.0007,3252.5603,0.0089
7,-84,412.1074,0.0012,535.8478,0.0015,1569.8244,0.0041,64.6827,0.0002,2582.4623,0.0070
8,-83,405.2625,0.0011,432.1119,0.0012,1803.4018,0.0048,31.3498,0.0001,2672.1260,0.0072
9,-82,341.6868,0.0010,441.4816,0.0012,3604.7866,0.0095,48.5274,0.0002,4436.4824,0.0119
10,-81,0.0000,0.0000,532.6566,0.0015,1933.8359,0.0051,747.3826,0.0028,3213.8751,0.0094
11,-80,623.8818,0.0017,773.6439,0.0021,1304.2099,0.0034,2308.8445,0.0085,5010.5801,0.0157
12,-79,2746.9259,0.0077,1035.4994,0.0029,1974.0463,0.0052,2484.3680,0.0092,8240.8396,0.0250
13,-78,1986.7513,0.0056,816.4786,0.0023,738.0134,0.0020,962.2215,0.0036,4503.4648,0.0135
14,-77,973.4894,0.0027,644.6349,0.0018,389.8824,0.0010,521.0569,0.0019,2529.0636,0.0074
15,-76,280.7983,0.0008,684.0613,0.0019,280.8465,0.0007,299.3820,0.0011,1545.0881,0.0045
16,-75,171.9115,0.0005,1887.7386,0.0052,223.4482,0.0006,193.3342,0.0007,2476.4325,0.0070
17,-74,126.6437,0.0004,1331.5795,0.0037,189.1707,0.0005,198.0366,0.0007,1845.4305,0.0053
18,-73,99.2159,0.0003,1327.6906,0.0037,191.9122,0.0005,324.9938,0.0012,1943.8125,0.0057
19,-72,98.8851,0.0003,787.3755,0.0022,242.8375,0.0006,666.7748,0.0025,1795.8729,0.0056
20,-71,121.2028,0.0003,557.6091,0.0015,359.1496,0.0009,940.9033,0.0035,1978.8648,0.0062
21,-70,398.5287,0.0011,518.0377,0.0014,619.4659,0.0016,1547.9361,0.0057,3083.9684,0.0098
22,-69,1707.4928,0.0048,525.3699,0.0015,1507.0303,0.0040,1325.9112,0.0049,5065.8042,0.0152
23,-68,2033.5570,0.0057,656.6863,0.0018,5424.2526,0.0143,1196.8799,0.0044,9311.3758,0.0262
24,-67,3375.0834,0.0095,845.1222,0.0023,7181.1999,0.0190,1388.1673,0.0051,12789.5728,0.0359
25,-66,4464.8441,0.0125,437.4468,0.0012,1038.5430,0.0027,1820.8018,0.0067,7761.6357,0.0231
26,-65,3996.3920,0.0112,338.4302,0.0009,760.5196,0.0020,2551.3482,0.0094,7646.6900,0.0235
27,-64,3295.7069,0.0092,316.0396,0.0009,265.7216,0.0007,3010.9617,0.0111,6888.4298,0.0219
28,-63,1975.5919,0.0055,322.7294,0.0009,237.6072,0.0006,4098.8497,0.0151,6634.7782,0.0221
29,-62,423.4773,0.0012,341.8541,0.0009,661.6738,0.0017,4170.5303,0.0154,5597.5355,0.0192
30,-61,299.2576,0.0008,445.1378,0.0012,874.8376,0.0023,2117.7171,0.0078,3736.9501,0.0121
31,-60,153.5388,0.0004,709.0162,0.0020,1010.3874,0.0027,1401.7879,0.0052,3274.7303,0.0103
32,-59,185.0677,0.0005,634.9980,0.0018,3066.1557,0.0081,915.8172,0.0034,4802.0386,0.0138
33,-58,241.4290,0.0007,650.1156,0.0018,4025.4382,0.0106,493.8796,0.0018,5410.8624,0.0149
34,-57,335.2483,0.0009,628.5459,0.0017,2067.8276,0.0055,357.8398,0.0013,3389.4616,0.0094
