 ,Angle,Frequency,Normalized Frequency
1,-90,5424.1000,0.0152
2,-89,1965.1046,0.0055
3,-88,950.5801,0.0027
4,-87,547.4598,0.0015
5,-86,315.7664,0.0009
6,-85,441.0851,0.0012
7,-84,412.1074,0.0012
8,-83,405.2625,0.0011
9,-82,341.6868,0.0010
10,-81,0.0000,0.0000
11,-80,623.8818,0.0017
12,-79,2746.9259,0.0077
13,-78,1986.7513,0.0056
14,-77,973.4894,0.0027
15,-76,280.7983,0.0008
16,-75,171.9115,0.0005
17,-74,126.6437,0.0004
18,-73,99.2159,0.0003
19,-72,98.8851,0.0003
20,-71,121.2028,0.0003
21,-70,398.5287,0.0011
22,-69,1707.4928,0.0048
23,-68,2033.5570,0.0057
24,-67,3375.0834,0.0095
25,-66,4464.8441,0.0125
26,-65,3996.3920,0.0112
27,-64,3295.7069,0.0092
28,-63,1975.5919,0.0055
29,-62,423.4773,0.0012
30,-61,299.2576,0.0008
31,-60,153.5388,0.0004
32,-59,185.0677,0.0005
33,-58,241.4290,0.0007
34,-57,335.2483,0.0009
35,-56,294.5413,0.0008
36,-55,240.3514,0.0007
37,-54,266.7498,0.0007
38,-53,368.9219,0.0010
39,-52,507.5543,0.0014
40,-51,702.7576,0.0020
41,-50,893.6025,0.0025
42,-49,908.1056,0.0025
43,-48,895.6997,0.0025
44,-47,1225.5446,0.0034
45,-46,2262.4435,0.0063
46,-45,7572.6166,0.0212
47,-44,5379.8075,0.0151
48,-43,3266.4694,0.0092
49,-42,3154.1891,0.0088
50,-41,2744.3075,0.0077
51,-40,2538.8763,0.0071
52,-39,2273.9181,0.0064
53,-38,2324.8087,0.0065
54,-37,2085.8986,0.0058
55,-36,1881.0328,0.0053
56,-35,1869.6859,0.0052
57,-34,2533.5006,0.0071
58,-33,2610.5646,0.0073
59,-32,2341.8593,0.0066
60,-31,1995.2921,0.0056
61,-30,1934.7030,0.0054
62,-29,1398.7028,0.0039
63,-28,1240.9698,0.0035
64,-27,1169.1163,0.0033
65,-26,975.9647,0.0027
66,-25,1025.9586,0.0029
67,-24,653.5656,0.0018
68,-23,615.7963,0.0017
69,-22,874.2075,0.0025
70,-21,746.9008,0.0021
71,-20,616.2091,0.0017
72,-19,717.9512,0.0020
73,-18,1146.9946,0.0032
74,-17,1518.0929,0.0043
75,-16,1218.1077,0.0034
76,-15,620.8896,0.0017
77,-14,1333.7914,0.0037
78,-13,1766.7987,0.0050
79,-12,1468.3956,0.0041
80,-11,1519.9801,0.0043
81,-10,2032.6893,0.0057
82,-9,2475.0526,0.0069
83,-8,3651.0863,0.0102
84,-7,3915.1801,0.0110
85,-6,2881.9042,0.0081
86,-5,5118.3856,0.0143
87,-4,4232.4393,0.0119
88,-3,2762.2906,0.0077
89,-2,4045.2362,0.0113
90,-1,10780.8021,0.0302
91,0,24974.9291,0.0700
92,1,5671.4286,0.0159
93,2,2690.5663,0.0075
94,3,1801.3427,0.0050
95,4,1296.0665,0.0036
96,5,990.5712,0.0028
97,6,842.8909,0.0024
98,7,701.8870,0.0020
99,8,615.6375,0.0017
100,9,642.8292,0.0018
101,10,896.1824,0.0025
102,11,618.3925,0.0017
103,12,340.0896,0.0010
104,13,600.4182,0.0017
105,14,507.6302,0.0014
106,15,378.4774,0.0011
107,16,345.0018,0.0010
108,17,366.1479,0.0010
109,18,594.8096,0.0017
110,19,1386.9503,0.0039
111,20,2022.7858,0.0057
112,21,2603.2887,0.0073
113,22,1855.5997,0.0052
114,23,2079.0272,0.0058
115,24,2224.8436,0.0062
116,25,1334.2377,0.0037
117,26,751.5795,0.0021
118,27,262.0758,0.0007
119,28,451.5281,0.0013
120,29,750.1774,0.0021
121,30,704.0427,0.0020
122,31,698.4495,0.0020
123,32,764.5757,0.0021
124,33,884.8047,0.0025
125,34,849.1516,0.0024
126,35,944.0261,0.0026
127,36,1009.9810,0.0028
128,37,1344.7938,0.0038
129,38,2114.6295,0.0059
130,39,1520.4261,0.0043
131,40,1696.2220,0.0048
132,41,2443.6295,0.0069
133,42,3431.3187,0.0096
134,43,3549.9481,0.0100
135,44,3207.8695,0.0090
136,45,1820.7775,0.0051
137,46,2595.2062,0.0073
138,47,2821.6840,0.0079
139,48,3705.0209,0.0104
140,49,2058.3617,0.0058
141,50,1782.3131,0.0050
142,51,1750.8197,0.0049
143,52,1524.5306,0.0043
144,53,1344.3800,0.0038
145,54,1283.1023,0.0036
146,55,1378.0648,0.0039
147,56,1659.4664,0.0047
148,57,1645.9825,0.0046
149,58,1119.0623,0.0031
150,59,901.5724,0.0025
151,60,790.9989,0.0022
152,61,802.9536,0.0023
153,62,812.8208,0.0023
154,63,816.8246,0.0023
155,64,674.8756,0.0019
156,65,634.8928,0.0018
157,66,714.4410,0.0020
158,67,810.7953,0.0023
159,68,966.0359,0.0027
160,69,1107.8688,0.0031
161,70,822.2751,0.0023
162,71,856.7079,0.0024
163,72,1118.7445,0.0031
164,73,1439.5316,0.0040
165,74,2362.2386,0.0066
166,75,1404.7086,0.0039
167,76,1155.2047,0.0032
168,77,1186.7346,0.0033
169,78,1436.3190,0.0040
170,79,2191.5323,0.0061
171,80,4994.4310,0.0140
172,81,7225.4003,0.0203
173,82,7363.1171,0.0206
174,83,4925.1283,0.0138
175,84,1639.3519,0.0046
176,85,1306.6854,0.0037
177,86,1107.4611,0.0031
178,87,1145.0378,0.0032
179,88,1660.4506,0.0047
180,89,3216.6573,0.0090
