 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance
1,,1,478.4874,13,433,0,374,225,0,416.6353
2,,1,372.6589,397,540,0,617,288,0,334.5206
3,,1,345.7178,397,540,0,681,391,0,320.7133
4,,1,284.7889,542,0,0,418,203,0,237.8760
5,,1,278.1838,922,680,0,941,413,0,267.6752
6,,1,242.6812,1023,610,0,941,413,0,213.3846
7,,1,240.5219,611,130,0,799,23,0,216.3169
8,,1,223.2376,418,203,0,611,130,0,206.3444
9,,1,220.7279,0,514,0,9,731,0,217.1866
10,,1,219.6518,738,501,0,810,690,0,202.2498
11,,1,218.8944,66,748,0,249,669,0,199.3239
12,,1,207.2914,249,669,0,397,540,0,196.3288
13,,1,190.7939,222,137,0,374,225,0,175.6360
14,,1,179.6224,617,288,0,716,157,0,164.2011
15,,1,158.4802,537,290,0,414,210,0,146.7276
16,,1,153.6102,1022,160,0,907,232,0,135.6798
17,,1,151.6396,806,349,0,929,386,0,128.4445
18,,1,147.8528,806,349,0,906,266,0,129.9577
19,,1,142.1371,745,154,0,849,69,0,134.3168
20,,1,135.3675,681,391,0,738,501,0,123.8911
21,,1,131.5269,906,266,0,929,386,0,122.1843
22,,1,122.2426,685,346,0,806,349,0,121.0372
23,,1,108.7523,804,202,0,885,135,0,105.1190
24,,1,103.9533,814,221,0,896,178,0,92.5905
25,,1,97.4975,169,202,0,222,137,0,83.8689
26,,1,96.1249,617,288,0,685,346,0,89.3756
27,,1,88.9706,9,731,0,66,748,0,59.4811
28,,1,88.5685,321,691,0,249,669,0,75.2861
29,,1,85.6569,834,736,0,918,732,0,84.0952
30,,1,84.7401,745,154,0,804,202,0,76.0592
31,,1,78.1543,222,137,0,265,79,0,72.2011
32,,1,73.7401,799,23,0,849,69,0,67.9412
33,,1,68.9117,304,28,0,265,79,0,64.2028
34,,1,67.1838,766,446,0,738,501,0,61.7171
35,,1,66.8406,780,767,0,834,736,0,62.2656
36,,1,63.6985,633,145,0,688,142,0,55.0818
37,,1,61.3137,879,77,0,885,135,0,58.3095
38,,1,59.7279,896,178,0,907,232,0,55.1090
39,,1,57.6985,810,690,0,834,736,0,51.8845
40,,1,53.6569,918,732,0,922,680,0,52.1536
41,,1,51.8406,781,729,0,810,690,0,48.6004
42,,1,51.4975,955,767,0,918,732,0,50.9313
43,,1,50.5269,758,0,0,799,23,0,47.0106
44,,1,49.5563,885,135,0,896,178,0,44.3847
45,,1,48.5563,966,669,0,922,680,0,45.3542
46,,1,47.1127,902,40,0,879,77,0,43.5660
47,,1,46.6569,681,391,0,685,346,0,45.1774
48,,1,46.2132,374,225,0,414,210,0,42.7200
49,,1,34.4142,906,266,0,907,232,0,34.0147
50,,1,34.2132,688,142,0,716,157,0,31.7648
51,,1,33.6274,39,732,0,66,748,0,31.3847
52,,1,33.3137,849,69,0,879,77,0,31.0483
53,,1,30.2426,716,157,0,745,154,0,29.1548
54,,1,28.4142,37,732,0,9,731,0,28.0179
55,,1,23.7990,828,239,0,814,221,0,22.8035
56,,1,20.3137,696,125,0,688,142,0,18.7883
57,,1,18.1421,647,135,0,633,145,0,17.2047
58,,1,17.8995,938,399,0,929,386,0,15.8114
59,,1,15.1421,622,140,0,611,130,0,14.8661
60,,1,12.8284,939,401,0,941,413,0,12.1655
61,,1,10.6569,808,211,0,804,202,0,9.8489
62,,1,10.2426,624,142,0,633,145,0,9.4868
63,,1,10.0711,809,213,0,814,221,0,9.4340
64,,1,8.6569,414,210,0,418,203,0,8.0623
65,,1,6.2426,270,82,0,265,79,0,5.8310
66,,2,249.0488,20,445,0,138,644,0,231.3547
67,,4,161.3087,162,121,0,248,0,0,148.4486
68,,5,207.7351,576,611,0,690,766,0,192.4084
69,,6,32.5563,1002,766,0,1022,747,0,27.5862
70,Mean,1.1884,110.7556,617.6087,348.4058,0,661.1594,340.7536,0,101.0812
71,SD,0.8450,98.6422,298.0266,243.9642,0,277.4732,243.8742,0,88.9795
72,Min,1,6.2426,0,0,0,9,0,0,5.8310
73,Max,6,478.4874,1023,767,0,1022,766,0,416.6353
