 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,8132.0000,454.5584,164.3451,63.0015,18.9195,0.4946,2.6086,0.3833,0.8563
2,,1781.0000,186.4092,54.6775,41.4730,9.8152,0.6441,1.3184,0.7585,0.8999
3,,12327.0000,567.1097,161.2534,97.3327,174.3961,0.4817,1.6567,0.6036,0.7931
4,,150.0000,60.8701,27.2098,7.0190,108.8698,0.5087,3.8766,0.2580,0.8596
5,,12835.0000,609.3351,221.8054,73.6773,43.1815,0.4344,3.0105,0.3322,0.9093
6,,511.0000,112.6690,34.6506,18.7768,74.1582,0.5058,1.8454,0.5419,0.7713
7,,25363.0000,907.6123,298.5570,108.1642,108.4862,0.3869,2.7602,0.3623,0.9276
8,,350.0000,81.6985,31.3883,14.1975,15.8421,0.6589,2.2108,0.4523,0.9472
9,Mean,7681.1250,372.5328,124.2359,52.9552,69.2086,0.5144,2.4109,0.4615,0.8706
10,SD,8925.7571,309.5765,102.6682,38.6560,58.2931,0.0941,0.8273,0.1643,0.0629
11,Min,150.0000,60.8701,27.2098,7.0190,9.8152,0.3869,1.3184,0.2580,0.7713
12,Max,25363.0000,907.6123,298.5570,108.1642,174.3961,0.6589,3.8766,0.7585,0.9472
