Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,55.4636, ,Mean Pore Area,7681.1250
Histogram Mean,8.5517, ,Pore Area SD,8925.7571
Histogram SD,3.9090, ,Min. Pore Area,150.0000
Histogram Mode,8.0000, ,Max. Pore Area,25363.0000
Histogram Median,34.0000, ,Percent Porosity,0.6068
Histogram Min Diam.,2.0000, ,Number of Pores,8.0000
Histogram Max Diam.,116.0000, ,# of Intersections,34.0000
Histogram Integrated Density,88174.0000, ,Intersection Density (100x100px),0.4323
Histogram Raw Integrated Density,88174.0000, ,Char. Length,110.7556
Diameter Skewness,0.3049, ,SD Char. Length,98.6422
Diameter Kurtosis,-1.3241, ,Max Span Length,478.4874
Fiber Length,4435.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),163.9889
