 ,Char. Length,Eucl. Length,File Name
1,18.8995,16.6433,Bimodal_2_m02_S1_Intersections2.csv
2,303.1249,274.6434,Bimodal_2_m02_S1_Intersections2.csv
3,278.6051,257.7693,Bimodal_2_m02_S1_Intersections2.csv
4,271.7645,233.6835,Bimodal_2_m02_S1_Intersections2.csv
5,257.5807,227.0551,Bimodal_2_m02_S1_Intersections2.csv
6,256.9188,240.2082,Bimodal_2_m02_S1_Intersections2.csv
7,243.1371,224.0179,Bimodal_2_m02_S1_Intersections2.csv
8,231.0071,214.2452,Bimodal_2_m02_S1_Intersections2.csv
9,221.7351,204.8316,Bimodal_2_m02_S1_Intersections2.csv
10,211.1076,188.3534,Bimodal_2_m02_S1_Intersections2.csv
11,199.3675,175.1028,Bimodal_2_m02_S1_Intersections2.csv
12,197.7939,183.3712,Bimodal_2_m02_S1_Intersections2.csv
13,190.4264,179.6107,Bimodal_2_m02_S1_Intersections2.csv
14,185.3381,171.2308,Bimodal_2_m02_S1_Intersections2.csv
15,175.6985,167.0269,Bimodal_2_m02_S1_Intersections2.csv
16,171.1543,157.6959,Bimodal_2_m02_S1_Intersections2.csv
17,169.7696,159.3142,Bimodal_2_m02_S1_Intersections2.csv
18,167.9361,158.6726,Bimodal_2_m02_S1_Intersections2.csv
19,161.3797,149.6262,Bimodal_2_m02_S1_Intersections2.csv
20,155.9949,142.5798,Bimodal_2_m02_S1_Intersections2.csv
21,155.7229,144.6167,Bimodal_2_m02_S1_Intersections2.csv
22,155.7229,145.0862,Bimodal_2_m02_S1_Intersections2.csv
23,154.7107,140.7693,Bimodal_2_m02_S1_Intersections2.csv
24,154.5269,111.3194,Bimodal_2_m02_S1_Intersections2.csv
25,152.5807,138.6542,Bimodal_2_m02_S1_Intersections2.csv
26,151.6985,144.5337,Bimodal_2_m02_S1_Intersections2.csv
27,150.0416,143.2829,Bimodal_2_m02_S1_Intersections2.csv
28,146.5391,126.2894,Bimodal_2_m02_S1_Intersections2.csv
29,145.1960,131.5295,Bimodal_2_m02_S1_Intersections2.csv
30,144.2132,138.0906,Bimodal_2_m02_S1_Intersections2.csv
31,143.3675,132.5028,Bimodal_2_m02_S1_Intersections2.csv
32,139.5980,128.5613,Bimodal_2_m02_S1_Intersections2.csv
33,139.1371,132.1363,Bimodal_2_m02_S1_Intersections2.csv
34,136.9117,122.0656,Bimodal_2_m02_S1_Intersections2.csv
35,135.8112,112.4500,Bimodal_2_m02_S1_Intersections2.csv
36,134.7817,124.7758,Bimodal_2_m02_S1_Intersections2.csv
37,134.2254,116.0689,Bimodal_2_m02_S1_Intersections2.csv
38,132.9706,128.5613,Bimodal_2_m02_S1_Intersections2.csv
39,132.2843,125.6025,Bimodal_2_m02_S1_Intersections2.csv
