 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
1,1179,55.8115,26.8968,Bimodal_2_m02_S1_Pore Data2.csv
2,34987,249.5481,178.5100,Bimodal_2_m02_S1_Pore Data2.csv
3,648,36.4191,22.6546,Bimodal_2_m02_S1_Pore Data2.csv
4,528,40.8626,16.4520,Bimodal_2_m02_S1_Pore Data2.csv
5,1333,57.8478,29.3395,Bimodal_2_m02_S1_Pore Data2.csv
6,1256,61.3288,26.0756,Bimodal_2_m02_S1_Pore Data2.csv
7,15314,235.2620,82.8795,Bimodal_2_m02_S1_Pore Data2.csv
8,868,45.3585,24.3653,Bimodal_2_m02_S1_Pore Data2.csv
9,3823,166.8790,29.1684,Bimodal_2_m02_S1_Pore Data2.csv
10,9894,161.7840,77.8657,Bimodal_2_m02_S1_Pore Data2.csv
11,31,7.6722,5.1446,Bimodal_2_m02_S1_Pore Data2.csv
12,1655,73.0345,28.8523,Bimodal_2_m02_S1_Pore Data2.csv
13,754,41.4904,23.1384,Bimodal_2_m02_S1_Pore Data2.csv
14,3079,150.9021,25.9791,Bimodal_2_m02_S1_Pore Data2.csv
15,22729,315.1717,91.8213,Bimodal_2_m02_S1_Pore Data2.csv
16,8031,157.7667,64.8133,Bimodal_2_m02_S1_Pore Data2.csv
17,5073,143.2478,45.0907,Bimodal_2_m02_S1_Pore Data2.csv
18,2171,124.0134,22.2896,Bimodal_2_m02_S1_Pore Data2.csv
19,8453,122.1939,88.0788,Bimodal_2_m02_S1_Pore Data2.csv
20,81,12.2552,8.4154,Bimodal_2_m02_S1_Pore Data2.csv
21,34,7.8320,5.5273,Bimodal_2_m02_S1_Pore Data2.csv
22,1148,55.0815,26.5367,Bimodal_2_m02_S1_Pore Data2.csv
23,35214,235.5847,190.3173,Bimodal_2_m02_S1_Pore Data2.csv
24,2551,102.1463,31.7979,Bimodal_2_m02_S1_Pore Data2.csv
25,917,66.3637,17.5934,Bimodal_2_m02_S1_Pore Data2.csv
26,11900,205.7627,73.6360,Bimodal_2_m02_S1_Pore Data2.csv
27,4502,106.6364,53.7539,Bimodal_2_m02_S1_Pore Data2.csv
28,757,47.0313,20.4936,Bimodal_2_m02_S1_Pore Data2.csv
29,712,37.1923,24.3746,Bimodal_2_m02_S1_Pore Data2.csv
30,158,19.5262,10.3026,Bimodal_2_m02_S1_Pore Data2.csv
31,2309,72.5489,40.5231,Bimodal_2_m02_S1_Pore Data2.csv
32,9103,166.4430,69.6352,Bimodal_2_m02_S1_Pore Data2.csv
33,845,74.5492,14.4319,Bimodal_2_m02_S1_Pore Data2.csv
34,1962,75.6151,33.0370,Bimodal_2_m02_S1_Pore Data2.csv
35,64,15.1569,5.3763,Bimodal_2_m02_S1_Pore Data2.csv
36,1277,49.4596,32.8739,Bimodal_2_m02_S1_Pore Data2.csv
37,8178,152.8415,68.1265,Bimodal_2_m02_S1_Pore Data2.csv
38,959,51.3939,23.7584,Bimodal_2_m02_S1_Pore Data2.csv
39,10061,154.1389,83.1073,Bimodal_2_m02_S1_Pore Data2.csv
40,3138,69.1211,57.8033,Bimodal_2_m02_S1_Pore Data2.csv
41,32483,274.2936,150.7824,Bimodal_2_m02_S1_Pore Data2.csv
42,5719,90.5132,80.4486,Bimodal_2_m02_S1_Pore Data2.csv
43,11443,184.9887,78.7598,Bimodal_2_m02_S1_Pore Data2.csv
44,2998,75.2452,50.7298,Bimodal_2_m02_S1_Pore Data2.csv
45,10310,162.9179,80.5749,Bimodal_2_m02_S1_Pore Data2.csv
46,615,44.0983,17.7567,Bimodal_2_m02_S1_Pore Data2.csv
47,1021,112.7013,11.5347,Bimodal_2_m02_S1_Pore Data2.csv
48,22192,209.4779,134.8865,Bimodal_2_m02_S1_Pore Data2.csv
49,18551,264.1277,89.4260,Bimodal_2_m02_S1_Pore Data2.csv
50,5437,119.8773,57.7474,Bimodal_2_m02_S1_Pore Data2.csv
51,9286,171.9549,68.7582,Bimodal_2_m02_S1_Pore Data2.csv
52,607,39.9532,19.3440,Bimodal_2_m02_S1_Pore Data2.csv
53,4588,157.3926,37.1150,Bimodal_2_m02_S1_Pore Data2.csv
54,4586,99.4508,58.7132,Bimodal_2_m02_S1_Pore Data2.csv
55,2426,69.4943,44.4479,Bimodal_2_m02_S1_Pore Data2.csv
56,7835,150.0200,66.4967,Bimodal_2_m02_S1_Pore Data2.csv
57,1038,57.0162,23.1798,Bimodal_2_m02_S1_Pore Data2.csv
58,2095,59.1120,45.1251,Bimodal_2_m02_S1_Pore Data2.csv
59,1571,73.6784,27.1485,Bimodal_2_m02_S1_Pore Data2.csv
60,1091,51.0207,27.2263,Bimodal_2_m02_S1_Pore Data2.csv
