 ,Angle,Bimodal_2_m02_S1_OrientJ Hist.csv,Bimodal_2_m02_S1_OrientJ Hist.csv Normalized,Bimodal_m06_S1_OrientJ Hist.csv,Bimodal_m06_S1_OrientJ Hist.csv Normalized,Bimodal_m10_S1_OrientJ Hist.csv,Bimodal_m10_S1_OrientJ Hist.csv Normalized,Biomodal_m02_S1_OrientJ Hist.csv,Biomodal_m02_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
1,-90,9735.8130,0.0232,9906.4512,0.0187,7362.8876,0.0162,6602.9520,0.0156,33608.1038,0.0737
2,-89,5879.6377,0.0140,6077.9214,0.0115,5089.1615,0.0112,6515.8182,0.0153,23562.5388,0.0520
3,-88,5452.6982,0.0130,8065.4238,0.0152,3461.7113,0.0076,4413.9530,0.0104,21393.7863,0.0462
4,-87,4583.7607,0.0109,7040.1367,0.0133,2589.4913,0.0057,5042.5135,0.0119,19255.9022,0.0418
5,-86,3163.8647,0.0075,5980.4399,0.0113,3050.6234,0.0067,4335.5487,0.0102,16530.4767,0.0357
6,-85,2348.8914,0.0056,5592.8789,0.0106,3407.0702,0.0075,4461.1688,0.0105,15810.0093,0.0342
7,-84,2478.1414,0.0059,4996.6191,0.0094,2099.9694,0.0046,3288.8685,0.0077,12863.5984,0.0276
8,-83,2730.1177,0.0065,4270.8813,0.0081,2147.6935,0.0047,2511.0721,0.0059,11659.7646,0.0252
9,-82,2397.4277,0.0057,3765.7788,0.0071,1633.2904,0.0036,2633.0958,0.0062,10429.5927,0.0226
10,-81,2349.8223,0.0056,3524.9126,0.0067,1168.3568,0.0026,2616.0304,0.0062,9659.1221,0.0211
11,-80,3145.1021,0.0075,3783.3765,0.0071,850.3116,0.0019,2232.6532,0.0053,10011.4434,0.0218
12,-79,2779.7332,0.0066,3851.2139,0.0073,681.7135,0.0015,2780.4213,0.0065,10093.0819,0.0219
13,-78,2230.0513,0.0053,2963.1616,0.0056,581.2327,0.0013,3121.0560,0.0074,8895.5016,0.0196
14,-77,2863.8057,0.0068,2692.5547,0.0051,577.8816,0.0013,1834.9723,0.0043,7969.2143,0.0175
15,-76,2608.5925,0.0062,2630.2896,0.0050,674.7291,0.0015,1505.8248,0.0035,7419.4360,0.0162
16,-75,1179.7954,0.0028,2597.5388,0.0049,861.0736,0.0019,910.0641,0.0021,5548.4719,0.0117
17,-74,1153.6177,0.0028,2726.9980,0.0051,800.7281,0.0018,793.2291,0.0019,5474.5729,0.0116
18,-73,993.4451,0.0024,3036.2507,0.0057,615.5919,0.0014,1074.0011,0.0025,5719.2888,0.0120
19,-72,945.4832,0.0023,3264.8198,0.0062,541.2666,0.0012,1959.3204,0.0046,6710.8900,0.0143
20,-71,852.4734,0.0020,3698.0786,0.0070,506.2145,0.0011,2117.1410,0.0050,7173.9075,0.0151
21,-70,763.9410,0.0018,4713.3057,0.0089,487.1324,0.0011,1457.5748,0.0034,7421.9539,0.0152
22,-69,707.2579,0.0017,5568.4688,0.0105,531.2659,0.0012,985.0690,0.0023,7792.0616,0.0157
23,-68,755.4932,0.0018,5276.5898,0.0100,722.7927,0.0016,794.1776,0.0019,7549.0533,0.0153
24,-67,940.9856,0.0022,4371.3760,0.0083,883.1254,0.0019,710.3252,0.0017,6905.8122,0.0141
25,-66,1067.9895,0.0025,4046.8188,0.0076,3025.8656,0.0066,613.1265,0.0014,8753.8004,0.0181
26,-65,1261.5652,0.0030,3818.3062,0.0072,2069.8129,0.0045,500.7407,0.0012,7650.4250,0.0159
27,-64,1365.9033,0.0033,3737.4829,0.0071,754.1105,0.0017,421.4410,0.0010,6278.9377,0.0131
28,-63,3699.1431,0.0088,4096.5698,0.0077,645.6307,0.0014,496.6414,0.0012,8937.9850,0.0191
29,-62,6416.4053,0.0153,3507.2603,0.0066,821.0864,0.0018,309.1971,0.0007,11053.9491,0.0244
30,-61,2293.5742,0.0055,3065.9985,0.0058,1412.1991,0.0031,167.0895,0.0004,6938.8613,0.0148
31,-60,1267.3879,0.0030,3180.8716,0.0060,1247.8842,0.0027,140.9121,0.0003,5837.0558,0.0120
32,-59,1021.2830,0.0024,3370.6799,0.0064,1062.1078,0.0023,209.5055,0.0005,5663.5762,0.0116
33,-58,1323.2153,0.0032,3375.9233,0.0064,1062.4313,0.0023,435.9764,0.0010,6197.5463,0.0129
34,-57,1850.7810,0.0044,3619.6855,0.0068,1063.5314,0.0023,385.0615,0.0009,6919.0594,0.0144
35,-56,2542.7397,0.0061,3991.3271,0.0075,1255.4686,0.0028,735.4852,0.0017,8525.0206,0.0181
36,-55,2581.8311,0.0062,4039.2251,0.0076,1432.0128,0.0031,1474.7010,0.0035,9527.7700,0.0204
37,-54,1933.9724,0.0046,4391.8262,0.0083,1461.1810,0.0032,1444.4535,0.0034,9231.4331,0.0195
38,-53,2485.5737,0.0059,5404.3350,0.0102,1472.3737,0.0032,1097.3075,0.0026,10459.5899,0.0219
39,-52,3862.2251,0.0092,6679.7588,0.0126,1671.3146,0.0037,1123.1486,0.0026,13336.4471,0.0281
40,-51,3359.2251,0.0080,7867.4746,0.0149,2150.6520,0.0047,1099.1261,0.0026,14476.4778,0.0302
41,-50,3508.9062,0.0084,7638.3447,0.0144,3024.9188,0.0066,1037.1632,0.0024,15209.3329,0.0318
42,-49,5853.0273,0.0140,8062.8486,0.0152,6120.3275,0.0134,1085.0033,0.0026,21121.2067,0.0452
43,-48,3630.8604,0.0087,9700.4199,0.0183,9216.6171,0.0202,1358.7538,0.0032,23906.6512,0.0504
44,-47,2148.6802,0.0051,12672.7246,0.0239,7751.3983,0.0170,2194.6715,0.0052,24767.4746,0.0512
45,-46,2836.4539,0.0068,11328.6055,0.0214,11621.4530,0.0255,3595.2987,0.0085,29381.8111,0.0622
46,-45,3113.8271,0.0074,16290.7725,0.0308,22048.0331,0.0484,6339.9808,0.0149,47792.6135,0.1015
47,-44,3678.5029,0.0088,12559.1514,0.0237,14459.3807,0.0317,8330.9091,0.0196,39027.9441,0.0838
48,-43,3482.2065,0.0083,8828.5059,0.0167,8326.9764,0.0183,5351.9252,0.0126,25989.6140,0.0559
49,-42,3941.2363,0.0094,6380.8364,0.0120,7424.7372,0.0163,4566.0350,0.0108,22312.8449,0.0485
50,-41,3233.3760,0.0077,4480.3198,0.0085,6807.8485,0.0149,4086.0189,0.0096,18607.5632,0.0407
51,-40,2518.4041,0.0060,3162.1997,0.0060,4960.1136,0.0109,3811.6180,0.0090,14452.3354,0.0319
52,-39,3105.7642,0.0074,2554.7026,0.0048,3743.7621,0.0082,3311.9301,0.0078,12716.1590,0.0282
53,-38,2887.3047,0.0069,2502.6995,0.0047,3785.5594,0.0083,2724.5565,0.0064,11900.1201,0.0263
54,-37,2187.1179,0.0052,2313.7998,0.0044,4069.9125,0.0089,2417.7230,0.0057,10988.5532,0.0242
55,-36,1398.1772,0.0033,1747.1030,0.0033,3206.0760,0.0070,2260.3915,0.0053,8611.7477,0.0189
56,-35,884.3718,0.0021,1472.5461,0.0028,2158.9335,0.0047,2278.6757,0.0054,6794.5271,0.0150
57,-34,673.5638,0.0016,1294.8215,0.0024,1934.7906,0.0042,2423.7904,0.0057,6326.9663,0.0139
58,-33,575.8929,0.0014,1184.8022,0.0022,1694.1949,0.0037,3097.4388,0.0073,6552.3288,0.0146
