 ,Radius,Bimodal_2_m02_S1_Radius Histo.csv,Bimodal_m06_S1_Radius Histo.csv,Bimodal_m10_S1_Radius Histo.csv,Biomodal_m02_S1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
1,0,0,0,0,0,0,21.4022,14.3199,1.4577,3.3296
2,1,36,53,24,25,138,0,0,0,0
3,2,495,206,118,427,1246,0,0,0,0
4,3,253,182,103,209,747,0,0,0,0
5,4,280,182,170,193,825,0,0,0,0
6,5,374,233,154,166,927,0,0,0,0
7,6,595,614,222,434,1865,0,0,0,0
8,7,607,629,423,575,2234,0,0,0,0
9,8,734,835,559,539,2667,0,0,0,0
10,9,967,940,551,466,2924,0,0,0,0
11,10,481,700,261,370,1812,0,0,0,0
12,11,644,600,264,349,1857,0,0,0,0
13,12,595,444,211,244,1494,0,0,0,0
14,13,492,384,370,230,1476,0,0,0,0
15,14,365,388,315,239,1307,0,0,0,0
16,15,170,478,294,324,1266,0,0,0,0
17,16,303,418,363,409,1493,0,0,0,0
18,17,327,263,203,237,1030,0,0,0,0
19,18,249,262,142,268,921,0,0,0,0
20,19,203,172,144,208,727,0,0,0,0
21,20,205,155,195,187,742,0,0,0,0
22,21,229,191,239,183,842,0,0,0,0
23,22,153,179,149,151,632,0,0,0,0
24,23,72,253,179,108,612,0,0,0,0
25,24,77,148,171,86,482,0,0,0,0
26,25,130,170,151,131,582,0,0,0,0
27,26,177,238,128,117,660,0,0,0,0
28,27,334,158,149,170,811,0,0,0,0
29,28,393,284,164,160,1001,0,0,0,0
30,29,227,385,95,116,823,0,0,0,0
31,30,206,337,72,136,751,0,0,0,0
32,31,93,138,77,120,428,0,0,0,0
33,32,65,110,93,117,385,0,0,0,0
34,33,52,113,88,214,467,0,0,0,0
35,34,104,146,99,145,494,0,0,0,0
36,35,44,66,85,110,305,0,0,0,0
37,36,42,113,37,78,270,0,0,0,0
