 ,Angle,Frequency,Normalized Frequency
1,-90,9735.8130,0.0232
2,-89,5879.6377,0.0140
3,-88,5452.6982,0.0130
4,-87,4583.7607,0.0109
5,-86,3163.8647,0.0075
6,-85,2348.8914,0.0056
7,-84,2478.1414,0.0059
8,-83,2730.1177,0.0065
9,-82,2397.4277,0.0057
10,-81,2349.8223,0.0056
11,-80,3145.1021,0.0075
12,-79,2779.7332,0.0066
13,-78,2230.0513,0.0053
14,-77,2863.8057,0.0068
15,-76,2608.5925,0.0062
16,-75,1179.7954,0.0028
17,-74,1153.6177,0.0028
18,-73,993.4451,0.0024
19,-72,945.4832,0.0023
20,-71,852.4734,0.0020
21,-70,763.9410,0.0018
22,-69,707.2579,0.0017
23,-68,755.4932,0.0018
24,-67,940.9856,0.0022
25,-66,1067.9895,0.0025
26,-65,1261.5652,0.0030
27,-64,1365.9033,0.0033
28,-63,3699.1431,0.0088
29,-62,6416.4053,0.0153
30,-61,2293.5742,0.0055
31,-60,1267.3879,0.0030
32,-59,1021.2830,0.0024
33,-58,1323.2153,0.0032
34,-57,1850.7810,0.0044
35,-56,2542.7397,0.0061
36,-55,2581.8311,0.0062
37,-54,1933.9724,0.0046
38,-53,2485.5737,0.0059
39,-52,3862.2251,0.0092
40,-51,3359.2251,0.0080
41,-50,3508.9062,0.0084
42,-49,5853.0273,0.0140
43,-48,3630.8604,0.0087
44,-47,2148.6802,0.0051
45,-46,2836.4539,0.0068
46,-45,3113.8271,0.0074
47,-44,3678.5029,0.0088
48,-43,3482.2065,0.0083
49,-42,3941.2363,0.0094
50,-41,3233.3760,0.0077
51,-40,2518.4041,0.0060
52,-39,3105.7642,0.0074
53,-38,2887.3047,0.0069
54,-37,2187.1179,0.0052
55,-36,1398.1772,0.0033
56,-35,884.3718,0.0021
57,-34,673.5638,0.0016
58,-33,575.8929,0.0014
59,-32,484.4525,0.0012
60,-31,306.8651,0.0007
61,-30,251.8739,0.0006
62,-29,231.4381,0.0006
63,-28,211.6423,0.0005
64,-27,284.6755,0.0007
65,-26,503.5293,0.0012
66,-25,422.3766,0.0010
67,-24,174.5449,0.0004
68,-23,565.4279,0.0013
69,-22,489.4568,0.0012
70,-21,0.0000,0.0000
71,-20,54.2432,0.0001
72,-19,236.0852,0.0006
73,-18,1233.4563,0.0029
74,-17,1618.6201,0.0039
75,-16,805.2532,0.0019
76,-15,572.8116,0.0014
77,-14,697.2114,0.0017
78,-13,821.6265,0.0020
79,-12,1081.8872,0.0026
80,-11,2314.5808,0.0055
81,-10,1582.6460,0.0038
82,-9,1546.1611,0.0037
83,-8,1551.0793,0.0037
84,-7,1539.9443,0.0037
85,-6,1741.3865,0.0042
86,-5,2272.5579,0.0054
87,-4,2160.3240,0.0052
88,-3,2899.9229,0.0069
89,-2,5559.8247,0.0133
90,-1,6942.0220,0.0166
91,0,8013.2827,0.0191
92,1,4394.8809,0.0105
93,2,2741.1196,0.0065
94,3,2547.6367,0.0061
95,4,2557.4045,0.0061
96,5,3605.9624,0.0086
97,6,3857.7148,0.0092
98,7,3280.8315,0.0078
99,8,2985.7490,0.0071
100,9,2078.9204,0.0050
101,10,1416.8547,0.0034
102,11,971.9360,0.0023
103,12,562.3356,0.0013
104,13,388.9023,0.0009
105,14,604.4436,0.0014
106,15,1403.6167,0.0033
107,16,1702.3508,0.0041
108,17,1672.1545,0.0040
109,18,1927.4309,0.0046
110,19,3635.8071,0.0087
111,20,3580.5054,0.0085
112,21,2173.1882,0.0052
113,22,2233.6108,0.0053
114,23,1390.7568,0.0033
115,24,1202.9663,0.0029
116,25,1283.8914,0.0031
117,26,1634.3545,0.0039
118,27,1954.1487,0.0047
119,28,2379.3127,0.0057
120,29,1913.5664,0.0046
121,30,2343.8613,0.0056
122,31,3279.9385,0.0078
123,32,1839.0042,0.0044
124,33,2409.6230,0.0057
125,34,2072.8811,0.0049
126,35,1461.5894,0.0035
127,36,1412.6863,0.0034
128,37,1492.8159,0.0036
129,38,1707.3179,0.0041
130,39,2012.9080,0.0048
131,40,2832.0918,0.0068
132,41,3328.0269,0.0079
133,42,2082.3079,0.0050
134,43,2396.7905,0.0057
135,44,2859.3923,0.0068
136,45,3516.1465,0.0084
137,46,4979.3447,0.0119
138,47,4753.6797,0.0113
139,48,3302.3398,0.0079
140,49,3234.0278,0.0077
141,50,3189.5317,0.0076
142,51,2498.9634,0.0060
143,52,1994.0967,0.0048
144,53,1891.5559,0.0045
145,54,2700.9758,0.0064
146,55,2698.3628,0.0064
147,56,1411.1548,0.0034
148,57,952.2334,0.0023
149,58,776.7025,0.0019
150,59,625.0754,0.0015
151,60,794.3605,0.0019
152,61,865.5544,0.0021
153,62,741.0242,0.0018
154,63,650.4980,0.0016
155,64,807.4286,0.0019
156,65,830.3860,0.0020
157,66,794.2235,0.0019
158,67,1241.3457,0.0030
159,68,1731.0271,0.0041
160,69,1370.1743,0.0033
161,70,1580.4778,0.0038
162,71,1499.2512,0.0036
163,72,1553.0530,0.0037
164,73,2423.1885,0.0058
165,74,2071.8220,0.0049
166,75,1452.1179,0.0035
167,76,1257.5093,0.0030
168,77,2580.6987,0.0062
169,78,2747.4851,0.0066
170,79,2046.0427,0.0049
171,80,1888.8418,0.0045
172,81,1871.0791,0.0045
173,82,1953.7031,0.0047
174,83,2337.4998,0.0056
175,84,2581.4482,0.0062
176,85,3430.6128,0.0082
177,86,4482.8911,0.0107
178,87,6551.2207,0.0156
179,88,9815.0513,0.0234
180,89,8449.1694,0.0202
