 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,1179,143.3797,55.8115,26.8968,129.3079,0.7207,2.0750,0.4819,0.9324
2,,34987,1424.0530,249.5481,178.5100,115.4928,0.2168,1.3980,0.7153,0.7418
3,,648,102.5685,36.4191,22.6546,124.5906,0.7740,1.6076,0.6221,0.9488
4,,528,101.3970,40.8626,16.4520,23.4771,0.6453,2.4837,0.4026,0.9271
5,,1333,163.3970,57.8478,29.3395,78.6653,0.6274,1.9717,0.5072,0.9451
6,,1256,170.9533,61.3288,26.0756,15.6405,0.5401,2.3520,0.4252,0.8217
7,,15314,623.8549,235.2620,82.8795,107.1061,0.4945,2.8386,0.3523,0.9298
8,,868,129.2965,45.3585,24.3653,14.7605,0.6525,1.8616,0.5372,0.9298
9,,3823,383.2376,166.8790,29.1684,88.9627,0.3271,5.7212,0.1748,0.8054
10,,9894,430.8772,161.7840,77.8657,82.0610,0.6697,2.0777,0.4813,0.9767
11,,31,19.8995,7.6722,5.1446,108.5609,0.9838,1.4913,0.6705,0.9538
12,,1655,201.7817,73.0345,28.8523,95.2872,0.5108,2.5313,0.3950,0.9438
13,,754,114.2254,41.4904,23.1384,75.1404,0.7262,1.7931,0.5577,0.9390
14,,3079,412.8600,150.9021,25.9791,24.8440,0.2270,5.8086,0.1722,0.6740
15,,22729,749.6610,315.1717,91.8213,119.8498,0.5082,3.4324,0.2913,0.9712
16,,8031,439.1859,157.7667,64.8133,32.9818,0.5232,2.4342,0.4108,0.9548
17,,5073,368.6346,143.2478,45.0907,105.2918,0.4691,3.1769,0.3148,0.9595
18,,2171,289.6468,124.0134,22.2896,52.8071,0.3252,5.5637,0.1797,0.8867
19,,8453,421.0854,122.1939,88.0788,91.0296,0.5991,1.3873,0.7208,0.8699
20,,81,33.2132,12.2552,8.4154,13.0255,0.9227,1.4563,0.6867,0.9101
21,,34,21.3137,7.8320,5.5273,24.0229,0.9405,1.4170,0.7057,0.9067
22,,1148,155.4386,55.0815,26.5367,55.6604,0.5971,2.0757,0.4818,0.9147
23,,35214,802.7250,235.5847,190.3173,175.1481,0.6867,1.2379,0.8079,0.9700
24,,2551,258.7939,102.1463,31.7979,75.4127,0.4786,3.2124,0.3113,0.9379
25,,917,169.0538,66.3637,17.5934,98.5145,0.4032,3.7721,0.2651,0.8506
26,,11900,630.1808,205.7627,73.6360,152.6347,0.3766,2.7943,0.3579,0.8680
27,,4502,298.1493,106.6364,53.7539,96.5799,0.6364,1.9838,0.5041,0.9575
28,,757,122.7107,47.0313,20.4936,120.6693,0.6317,2.2949,0.4357,0.8651
29,,712,128.8528,37.1923,24.3746,170.7486,0.5389,1.5259,0.6554,0.8100
