 ,Angle,Frequency,Normalized Frequency
1,-90,9906.4512,0.0187
2,-89,6077.9214,0.0115
3,-88,8065.4238,0.0152
4,-87,7040.1367,0.0133
5,-86,5980.4399,0.0113
6,-85,5592.8789,0.0106
7,-84,4996.6191,0.0094
8,-83,4270.8813,0.0081
9,-82,3765.7788,0.0071
10,-81,3524.9126,0.0067
11,-80,3783.3765,0.0071
12,-79,3851.2139,0.0073
13,-78,2963.1616,0.0056
14,-77,2692.5547,0.0051
15,-76,2630.2896,0.0050
16,-75,2597.5388,0.0049
17,-74,2726.9980,0.0051
18,-73,3036.2507,0.0057
19,-72,3264.8198,0.0062
20,-71,3698.0786,0.0070
21,-70,4713.3057,0.0089
22,-69,5568.4688,0.0105
23,-68,5276.5898,0.0100
24,-67,4371.3760,0.0083
25,-66,4046.8188,0.0076
26,-65,3818.3062,0.0072
27,-64,3737.4829,0.0071
28,-63,4096.5698,0.0077
29,-62,3507.2603,0.0066
30,-61,3065.9985,0.0058
31,-60,3180.8716,0.0060
32,-59,3370.6799,0.0064
33,-58,3375.9233,0.0064
34,-57,3619.6855,0.0068
35,-56,3991.3271,0.0075
36,-55,4039.2251,0.0076
37,-54,4391.8262,0.0083
38,-53,5404.3350,0.0102
39,-52,6679.7588,0.0126
40,-51,7867.4746,0.0149
41,-50,7638.3447,0.0144
42,-49,8062.8486,0.0152
43,-48,9700.4199,0.0183
44,-47,12672.7246,0.0239
45,-46,11328.6055,0.0214
46,-45,16290.7725,0.0308
47,-44,12559.1514,0.0237
48,-43,8828.5059,0.0167
49,-42,6380.8364,0.0120
50,-41,4480.3198,0.0085
51,-40,3162.1997,0.0060
52,-39,2554.7026,0.0048
53,-38,2502.6995,0.0047
54,-37,2313.7998,0.0044
55,-36,1747.1030,0.0033
56,-35,1472.5461,0.0028
57,-34,1294.8215,0.0024
58,-33,1184.8022,0.0022
59,-32,1117.7218,0.0021
60,-31,1129.0092,0.0021
61,-30,1174.7864,0.0022
62,-29,1361.8424,0.0026
63,-28,1640.4058,0.0031
64,-27,1432.0560,0.0027
65,-26,1286.3951,0.0024
66,-25,1350.1479,0.0025
67,-24,1124.7334,0.0021
68,-23,926.9717,0.0017
69,-22,909.0812,0.0017
70,-21,824.1396,0.0016
71,-20,802.5537,0.0015
72,-19,774.4275,0.0015
73,-18,782.2440,0.0015
74,-17,917.4271,0.0017
75,-16,1100.8267,0.0021
76,-15,1217.3181,0.0023
77,-14,1222.0707,0.0023
78,-13,1098.0928,0.0021
79,-12,1277.4031,0.0024
80,-11,2063.3479,0.0039
81,-10,1665.2815,0.0031
82,-9,1867.8975,0.0035
83,-8,1749.2568,0.0033
84,-7,1723.3044,0.0033
85,-6,1841.1621,0.0035
86,-5,2362.5237,0.0045
87,-4,2854.8081,0.0054
88,-3,2243.2180,0.0042
89,-2,2406.7412,0.0045
90,-1,2360.8267,0.0045
91,0,2045.3787,0.0039
92,1,1615.7358,0.0030
93,2,1270.8979,0.0024
94,3,964.9086,0.0018
95,4,829.3120,0.0016
96,5,915.1328,0.0017
97,6,663.6492,0.0013
98,7,520.3125,0.0010
99,8,517.7395,0.0010
100,9,1090.9479,0.0021
101,10,603.2192,0.0011
102,11,322.0833,0.0006
103,12,226.2986,0.0004
104,13,169.6613,0.0003
105,14,154.0807,0.0003
106,15,152.7430,0.0003
107,16,124.2560,0.0002
108,17,118.1746,0.0002
109,18,29.7524,5.616E-5
110,19,0.0000,0.0000
111,20,70.2868,0.0001
112,21,547.0052,0.0010
113,22,913.7695,0.0017
114,23,894.6902,0.0017
115,24,760.3477,0.0014
116,25,448.5477,0.0008
117,26,396.8644,0.0007
118,27,435.1014,0.0008
119,28,727.3521,0.0014
120,29,1401.5570,0.0026
121,30,1213.8973,0.0023
122,31,967.9199,0.0018
123,32,840.4185,0.0016
124,33,902.2203,0.0017
125,34,893.3656,0.0017
126,35,839.7938,0.0016
127,36,917.0721,0.0017
128,37,1164.4508,0.0022
129,38,1289.6089,0.0024
130,39,1396.8938,0.0026
131,40,1387.8232,0.0026
132,41,1474.0356,0.0028
133,42,1759.7434,0.0033
134,43,1872.8928,0.0035
135,44,1997.6436,0.0038
136,45,2942.2827,0.0056
137,46,3999.3130,0.0075
138,47,5238.6792,0.0099
139,48,3993.1338,0.0075
140,49,2121.1130,0.0040
141,50,1996.2883,0.0038
142,51,2133.2756,0.0040
143,52,2507.3982,0.0047
144,53,2554.0168,0.0048
145,54,2810.3901,0.0053
146,55,3137.2083,0.0059
147,56,3908.3340,0.0074
148,57,3434.5522,0.0065
149,58,2158.8359,0.0041
150,59,1650.9619,0.0031
151,60,1407.1261,0.0027
152,61,1318.1039,0.0025
153,62,1426.1699,0.0027
154,63,1529.4050,0.0029
155,64,1547.1267,0.0029
156,65,1214.4353,0.0023
157,66,1236.4949,0.0023
158,67,1204.0840,0.0023
159,68,1255.9882,0.0024
160,69,1555.7302,0.0029
161,70,2758.1794,0.0052
162,71,4747.9771,0.0090
163,72,3949.8506,0.0075
164,73,2932.1248,0.0055
165,74,3390.0400,0.0064
166,75,3376.7458,0.0064
167,76,3370.2542,0.0064
168,77,3139.2844,0.0059
169,78,3577.4604,0.0068
170,79,2856.5571,0.0054
171,80,2549.1780,0.0048
172,81,2677.6169,0.0051
173,82,2775.5254,0.0052
174,83,2908.6875,0.0055
175,84,3410.6016,0.0064
176,85,4593.7065,0.0087
177,86,4957.8555,0.0094
178,87,4539.4951,0.0086
179,88,4574.8062,0.0086
180,89,6126.1777,0.0116
