 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,5605,310.0488,118.9305,60.0057,119.5804,0.7327,1.9820,0.5045,0.9759
2,,678,109.4975,38.0508,22.6869,34.5822,0.7106,1.6772,0.5962,0.9476
3,,1691,352.4092,136.3469,15.7910,91.7918,0.1711,8.6345,0.1158,0.5720
4,,3856,314.9361,91.0662,53.9125,20.0162,0.4885,1.6891,0.5920,0.7965
5,,2402,242.7767,98.0316,31.1973,129.6850,0.5121,3.1423,0.3182,0.9045
6,,234,81.5980,36.7764,8.1013,69.6264,0.4416,4.5396,0.2203,0.8357
7,,4226,370.5513,151.2006,35.5866,95.6357,0.3868,4.2488,0.2354,0.9494
8,,18008,573.8061,195.8434,117.0756,100.4903,0.6873,1.6728,0.5978,0.9559
9,,10968,460.2742,171.3310,81.5083,74.3222,0.6506,2.1020,0.4757,0.9722
10,,275,86.5269,37.1041,9.4367,168.1104,0.4616,3.9319,0.2543,0.8580
11,,380,76.7696,29.2455,16.5438,103.4665,0.8102,1.7678,0.5657,0.9418
12,,6074,334.7767,108.1117,71.5339,129.8634,0.6810,1.5113,0.6617,0.9608
13,,7555,385.4874,149.1964,64.4742,130.6909,0.6389,2.3140,0.4321,0.9661
14,,4138,340.2914,135.0798,39.0041,67.2129,0.4491,3.4632,0.2887,0.9310
15,,1997,177.3797,63.2777,40.1826,131.6078,0.7976,1.5748,0.6350,0.9562
16,,329,75.8406,26.6061,15.7443,98.3499,0.7188,1.6899,0.5918,0.9294
17,,49,24.7279,8.3641,7.4591,10.6185,1.0000,1.1213,0.8918,0.9423
18,,3299,269.1371,88.0225,47.7198,100.3356,0.5723,1.8446,0.5421,0.9540
19,,16381,848.7494,216.9767,96.1252,105.4510,0.2858,2.2572,0.4430,0.7821
20,,7529,356.7939,119.3362,80.3295,107.3162,0.7432,1.4856,0.6731,0.9772
21,,1585,214.2498,78.4030,25.7399,55.3586,0.4339,3.0460,0.3283,0.7993
22,,7044,460.9432,126.0108,71.1740,145.8957,0.4166,1.7705,0.5648,0.8966
23,,279,64.7696,24.6646,14.4026,24.7760,0.8357,1.7125,0.5839,0.9347
24,,23483,1320.6387,241.3741,123.8720,102.3439,0.1692,1.9486,0.5132,0.6492
25,,50,25.3137,9.7133,6.5541,90.0000,0.9805,1.4820,0.6748,0.9615
26,,928,148.9533,53.0711,22.2638,107.6280,0.5256,2.3837,0.4195,0.7969
27,,5437,303.5807,115.1572,60.1144,91.7763,0.7413,1.9156,0.5220,0.9767
28,,541,99.8406,38.5945,17.8477,93.1873,0.6820,2.1624,0.4624,0.9376
29,,446,86.0833,31.3650,18.1050,53.5378,0.7563,1.7324,0.5772,0.9331
30,,8715,591.4041,168.7826,65.7431,98.1670,0.3131,2.5673,0.3895,0.8464
31,,4675,327.8478,105.3524,56.4999,96.9381,0.5466,1.8646,0.5363,0.9223
32,,10777,765.4529,236.4018,58.0440,112.7626,0.2311,4.0728,0.2455,0.6315
33,,11420,443.2031,155.3961,93.5699,85.5356,0.7306,1.6607,0.6021,0.9715
34,,427,100.4680,26.6677,20.3870,35.1532,0.5316,1.3081,0.7645,0.7864
35,,31,19.3137,6.8698,5.7455,136.3132,1.0000,1.1957,0.8363,0.9394
36,,14996,503.1270,170.9929,111.6625,71.5594,0.7444,1.5313,0.6530,0.9789
37,,2410,216.9949,81.1770,37.8002,70.1133,0.6432,2.1475,0.4657,0.9539
38,,4064,338.7178,131.0753,39.4769,130.1454,0.4451,3.3203,0.3012,0.8325
39,,1407,155.6396,50.0069,35.8240,97.5975,0.7299,1.3959,0.7164,0.9411
40,,4568,290.3503,100.8332,57.6810,101.4132,0.6809,1.7481,0.5720,0.9559
41,,17208,571.4701,210.8480,103.9133,97.3500,0.6621,2.0291,0.4928,0.9702
42,,5625,306.4752,100.1494,71.5129,137.3341,0.7526,1.4004,0.7141,0.9660
43,,1537,205.4386,75.0649,26.0704,104.3778,0.4576,2.8793,0.3473,0.9095
44,,4296,263.8234,97.1453,56.3057,73.3085,0.7756,1.7253,0.5796,0.9703
45,,1714,294.0732,127.9188,17.0603,133.8549,0.2491,7.4980,0.1334,0.7805
46,,1572,200.7939,61.5578,32.5147,46.3399,0.4900,1.8932,0.5282,0.8628
47,,351,91.1543,35.7241,12.5100,119.3696,0.5308,2.8556,0.3502,0.8688
48,,4182,272.9188,89.8821,59.2408,105.0970,0.7055,1.5172,0.6591,0.9593
49,,1986,182.3087,64.6144,39.1345,96.6527,0.7509,1.6511,0.6057,0.9523
50,,5932,361.0193,128.0554,58.9812,95.8504,0.5719,2.1711,0.4606,0.9579
51,,3858,328.7939,105.9312,46.3712,104.3166,0.4485,2.2844,0.4377,0.8729
52,,11929,459.0854,140.1344,108.3851,89.8388,0.7113,1.2929,0.7734,0.9514
53,,4651,295.1371,100.0147,59.2097,68.1722,0.6710,1.6892,0.5920,0.9670
54,,7646,521.2864,122.6817,79.3532,45.7448,0.3536,1.5460,0.6468,0.8181
55,,8744,428.1148,156.8142,70.9962,111.2041,0.5995,2.2088,0.4527,0.9678
56,,3366,321.0782,131.0151,32.7117,110.2540,0.4103,4.0051,0.2497,0.8653
57,,15288,768.2468,166.4386,116.9517,103.4754,0.3255,1.4231,0.7027,0.9043
58,,8095,370.9605,116.5013,88.4700,46.6626,0.7392,1.3168,0.7594,0.9739
59,,352,76.7696,26.4898,16.9190,33.9878,0.7505,1.5657,0.6387,0.9412
60,,12430,495.3869,135.8978,116.4579,89.5308,0.6365,1.1669,0.8570,0.9505
61,,210,56.0416,18.2648,14.6391,13.1460,0.8402,1.2477,0.8015,0.9292
62,,3687,246.7107,83.4298,56.2681,112.0761,0.7612,1.4827,0.6744,0.9620
63,,3022,246.3087,78.4506,49.0465,130.1115,0.6260,1.5995,0.6252,0.9612
64,,3891,353.2203,100.7324,49.1815,66.7032,0.3919,2.0482,0.4882,0.8225
65,,2003,214.9949,82.0578,31.0793,117.8491,0.5445,2.6403,0.3787,0.9258
66,,6101,324.8600,107.0702,72.5509,63.7344,0.7265,1.4758,0.6776,0.9623
67,,3140,263.6224,89.5505,44.6449,120.7329,0.5678,2.0058,0.4985,0.8978
68,,271,66.4264,22.2847,15.4836,146.2305,0.7718,1.4392,0.6948,0.8900
